Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
102452,1100 E 57th St,60637,Commercial,"> 250,000 Sq Ft",2018,HYDE PARK,41,5,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
158526,540 N Michigan Ave,60611,Residential,"> 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.89213144,-87.62485893,"(41.89213144, -87.62485893)"
160382,1931 S Indiana Ave,60616,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.85619357,-87.62223804,"(41.85619357, -87.62223804)"
254168,1050 W Sheridan,60660,Commercial,"50,000 - 250,000 Sq Ft",2020,Rogers Park,1,49,41.9982817,-87.65758,"(41.9982817, -87.65758)"
172795,1100 S MICHIGAN AVE,60605,Residential,"50,000 - 250,000 Sq Ft",2018,LOOP,32,4,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
174197,5969 W PETERSON AVE,60660,Residential,"50,000 - 250,000 Sq Ft",2018,Jefferson Park,11,39,41.9909006,-87.66661,"(41.9909006, -87.66661)"
175025,2600 W BALMORAL AVE,60625,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN SQUARE,4,40,41.97208235,-87.70234945,"(41.97208235, -87.70234945)"
175097,5220 S KENWOOD AVE,60615,Residential,"50,000 - 250,000 Sq Ft",2018,HYDE PARK,41,4,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
175212,6950 S CREIGER AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,5,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
175219,7834 7844 S ELLIS AVE,60619,Residential,"50,000 - 250,000 Sq Ft",2018,GREATER GRAND CROSSING,69,8,41.74401302,-87.60549928,"(41.74401302, -87.60549928)"
175221,7646 S ESSEX AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
175257,2255 S MICHIGAN AVE,60616,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
104836,445 W BARRY AVE,60657,Residential,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
101263,900 W ARGYLE ST,60640,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,48,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
101410,2400 W BALMORAL AVE,60625,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN SQUARE,4,40,41.97208235,-87.70234945,"(41.97208235, -87.70234945)"
106046,162 E OHIO ST,60611,Residential,"50,000 - 250,000 Sq Ft",2020,NEAR NORTH SIDE,8,42,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
105852,7100 S SOUTH SHORE DR,60649,Residential,"50,000 - 250,000 Sq Ft",2020,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
116171,4724 S VINCENNES AVE,60615,Residential,"50,000 - 250,000 Sq Ft",2018,GRAND BOULEVARD,38,3,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
114228,331 S PEORIA ST,60607,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,25,41.87399385,-87.651678,"(41.87399385, -87.651678)"
173863,5650 N KENMORE AVE,60660,Municipal,"50,000 - 250,000 Sq Ft",2020,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
151285,4651 N GREENVIEW AVE,60640,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,47,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
144107,140 W 62ND ST,60621,Residential,"50,000 - 250,000 Sq Ft",2018,ENGLEWOOD,68,20,41.7761313,-87.64068948,"(41.7761313, -87.64068948)"
172157,437 E 60TH ST,60637,Residential,"50,000 - 250,000 Sq Ft",2018,WOODLAWN,42,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
172704,4116 N NARRAGANSETT AVE,60634,Residential,"50,000 - 250,000 Sq Ft",2018,DUNNING,17,38,41.94530408,-87.80186746,"(41.94530408, -87.80186746)"
101329,340 E 38TH ST,60653,Residential,"50,000 - 250,000 Sq Ft",2018,DOUGLAS,35,3,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
173955,6310 N KEDZIE AVE,60659,Residential,"50,000 - 250,000 Sq Ft",2018,WEST RIDGE,2,50,41.99046172,-87.70620782,"(41.99046172, -87.70620782)"
101899,6830 N SHERIDAN RD,60626,Residential,"50,000 - 250,000 Sq Ft",2020,ROGERS PARK,1,49,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
173935,6920 S CRANDON AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2019,SOUTH SHORE,43,5,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
117179,3318 N LAKE SHORE DR,60657,Residential,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
117367,6526 W IRVING PARK RD,60634,Residential,"50,000 - 250,000 Sq Ft",2018,DUNNING,17,38,41.94530408,-87.80186746,"(41.94530408, -87.80186746)"
173944,1950 E 70TH ST,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,5,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
147565,2025 S INDIANA AVE,60616,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
105488,5600 N SHERIDAN RD,60660,Residential,"50,000 - 250,000 Sq Ft",2020,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
175567,233 E ONTARIO ST,60611,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
101448,1401 W ROOSEVELT RD,60608,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR WEST SIDE,28,28,41.84915346,-87.67089596,"(41.84915346, -87.67089596)"
102380,4600 N CUMBERLAND AVE,60656,Residential,"50,000 - 250,000 Sq Ft",2020,OHARE,76,38,41.97087009,-87.79892589,"(41.97087009, -87.79892589)"
116122,4520 N CLARENDON AVE,60640,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
140247,3443 W ADDISON ST,60618,Commercial,"50,000 - 250,000 Sq Ft",2018,AVONDALE,21,35,41.94672055,-87.70319673,"(41.94672055, -87.70319673)"
147738,437 W DIVISION ST,60610,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,27,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
103593,6145 S MICHIGAN AVE,60637,Residential,"50,000 - 250,000 Sq Ft",2018,WASHINGTON PARK,40,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
104505,5730 N SHERIDAN RD,60660,Residential,"50,000 - 250,000 Sq Ft",2018,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
175294,540 W SURF ST,60657,Residential,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
175358,2232 W FARWELL AVE,60645,Residential,"50,000 - 250,000 Sq Ft",2018,WEST RIDGE,2,50,42.00880199,-87.69502812,"(42.00880199, -87.69502812)"
175532,4000 N KEYSTONE AVE,60641,Residential,"50,000 - 250,000 Sq Ft",2018,IRVING PARK,16,39,41.94615136,-87.74707694,"(41.94615136, -87.74707694)"
175699,6700 S CONSTANCE AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,5,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
175931,2403 E 72ND ST,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
175959,5100 S HYDE PARK BLVD,60615,Residential,"50,000 - 250,000 Sq Ft",2018,HYDE PARK,41,5,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
112622,5918 N KENMORE AVE,60660,Residential,"50,000 - 250,000 Sq Ft",2018,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
114316,6433 W BELLE PLAINE AVE,60634,Residential,"50,000 - 250,000 Sq Ft",2020,DUNNING,17,38,41.94530408,-87.80186746,"(41.94530408, -87.80186746)"
114252,607 W WRIGHTWOOD AVE,60614,Residential,"50,000 - 250,000 Sq Ft",2020,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
