electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
2310408.2,3589,1100 CATHARINE ST,Palumbo,781043800,19147,1,1980,K-12 School,185206,3330829,407768.5,4970622,,97,41.5,68.6,672.8,646.8,
23297409,4560,4100 CITY AVE,WPVI-TV,883080200,19131,1,2009,Office,69698,3681504,1242178.2,,,1,352.1,1068.3,2322,2650.4,
,4573,4343 WHITAKER AVE,ECI Building,884184500,19124,1,1950,Distribution Center,93000,3956329,663312.3,,,100,7.1,7.5,68.1,35.2,
4749439.2,4153,3801 MARKET ST,First District Plaza,883805600,19104,1,1986,Other,87830,6432105,432235.7,,,,59.3,175.9,1838.1,549.8,
1168752.3,3450,1100 TYSON AVE,Moore,786543400,19111,1,1980,K-12 School,67701,3490894,3762754.7,,,32,72.8,112.6,1456.4,329.5,
1569666.7,3519,1660 COMLY ST,Ziegler,786076410,19149,1,1956,K-12 School,59025,3330753,2350806.1,,,72,66.4,125.3,1381.6,299,
3216953,3794,5600-54 VINE ST,Daroff,783541800,19139,1,1972,K-12 School,85080,3330853,2866908.9,,,53,71.5,154.1,1656.7,509.1,
1190593.2,3453,2600-20 N BROAD ST,Garage - Broad St,884073907,19132,1,1980,Parking,128600,3783002,8649804.7,,,,76.5,99.7,695.5,591.5,
143478.2,3135,3501 CEDAR ST,Kawin LLC,882059600,19134,2,1983,Strip Mall,52495,3635022,,,,,2.7,8.6,3.7,15.9,
1918311.7,3537,11550 E ROOSEVELT BLVD,RAMADA,883763500,19116,1,1964,Hotel,64796,3877095,1433527.2,,,31,51.7,116.2,4190.6,288.9,
3357568.4,3803,9501 STATE RD,rivers edge,881435201,19114,1,1986,Senior Care Community,53009,3672870,2086369.4,,,29,102.7,240.2,4910.6,483.3,
925771.1,3304,1700 BIGLER ST,Bregy,782008600,19145,1,1923,K-12 School,66000,4123951,4373857,,,57,80.3,113.6,618.7,335,
407853.4,3192,1330 VERNON RD,St. Raymond of Penafort,775329000,19150,2,1950,K-12 School,61900,3736431,,,,100,6.6,20.7,953.6,45.2,
1267680.8,4142,3525 I ST,U All No LLC,884107500,19134,1,1910,Other,90132,6385296,1206468.2,,,,27.5,58.2,133.8,204.7,
39896618.4,4311,1301-19 FILBERT ST,Criminal Justice Center (CJC),781092450,19107,1,1994,Courthouse,600000,4830342,11750313.2,0,70489.4,56,86.2,229.5,11361,5054.6,
3690920.8,3863,215 S BROAD ST,215 S. Broad,883026005,19107,1,1930,Office,50456,3597476,77111.6,,979995.5,40,94.1,254.7,1502.9,478.6,
