"","btype","X","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"1","office","R2","E1","SOURCE_EUI","Reg",1,"meanCent",628,7,7,0.199,0.191,14663.462,121.093,76.829,0.678
"2","office","R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",628,7,7,0.235,0.227,16268.599,127.548,76.902,0.573
"3","office","R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296
"4","office","R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",628,7,7,0.582,0.578,607217641372872,24641786.489,6571600.598,1.153
"5","office","R28","E2","SOURCE_EUI","RegInt",2,"meanCent",628,22,22,0.231,0.204,14404.903,120.02,76.411,0.669
"6","office","R215","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",628,22,22,0.268,0.242,16194.667,127.258,77.017,0.558
"7","office","R225","E2","SOURCE_ENERGY","RegInt",2,"meanCent",628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703
"8","office","R235","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",628,22,22,0.604,0.59,2215581284827274,47069961.598,8697486.026,1.101
"9","office","R24","E2","SOURCE_EUI","RegInt",3,"meanCent",628,42,42,0.263,0.212,14175.874,119.062,75.766,0.669
"10","office","R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",628,42,42,0.286,0.236,16004.033,126.507,76.782,0.553
"11","office","R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716
"12","office","R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",628,42,42,0.615,0.588,101892133039718848,319205471.507,19747620.477,1.223
"13","office","R25","E2","SOURCE_EUI","RegInt",4,"meanCent",628,57,57,0.29,0.22,15166.918,123.154,76.648,0.678
"14","office","R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",628,57,57,0.299,0.23,18720.33,136.822,78.906,0.56
"15","office","R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761
