"","btype","exp","dependent","model","interaction","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","data"
"1","Office","E1","TotalEnergy","OLS",1,628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296,"CBECS"
"2","Office","E2","TotalEnergy","OLSi2",2,628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703,"CBECS"
"3","Office","E2","TotalEnergy","OLSi3",3,628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716,"CBECS"
"4","Office","E2","TotalEnergy","OLSi4",4,628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761,"CBECS"
"5","Office","E3a","TotalEnergy","DT",1,628,7,7,0.794,0.792,15111285040533.4,3887323.635,1558605.534,0.586,"CBECS"
"6","Office","E3b","TotalEnergy","GBT",1,628,7,7,0.876,0.875,5425856746751.72,2329346.85,1205673.516,0.706,"CBECS"
"7","Retail","E1","TotalEnergy","OLS",1,179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838,"CBECS"
"8","Retail","E2","TotalEnergy","OLSi2",2,179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404,"CBECS"
"9","Retail","E2","TotalEnergy","OLSi3",3,179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407,"CBECS"
"10","Retail","E2","TotalEnergy","OLSi4",4,179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384,"CBECS"
"11","Retail","E3a","TotalEnergy","DT",1,179,9,9,0.899,0.894,116987995218915,10816098.891,4534213.045,0.447,"CBECS"
"12","Retail","E3b","TotalEnergy","GBT",1,179,6,6,0.92,0.918,41425154868241,6436237.633,3605451.326,0.521,"CBECS"
"13","K12school","E1","TotalEnergy","OLS",1,333,8,8,0.821,0.817,36001169102348,6000097.424,3594345.117,0.421,"CBECS"
"14","K12school","E2","TotalEnergy","OLSi2",2,333,29,29,0.845,0.831,31951161597646.3,5652535.855,3457551.825,0.361,"CBECS"
"15","K12school","E2","TotalEnergy","OLSi3",3,333,64,64,0.872,0.841,26888813043307.4,5185442.415,3121463.957,0.321,"CBECS"
"16","K12school","E2","TotalEnergy","OLSi4",4,333,98,99,0.892,0.847,25083478731767,5008340.916,2946131.7,0.287,"CBECS"
"17","K12school","E3a","TotalEnergy","DT",1,333,10,10,0.839,0.834,33599828494890.9,5796535.905,3600006.153,0.462,"CBECS"
"18","K12school","E3b","TotalEnergy","GBT",1,333,7,7,0.859,0.857,26681313613082.6,5165395.785,3241803.124,0.423,"CBECS"
"19","Warehouse","E1","TotalEnergy","OLS",1,420,7,7,0.515,0.508,144029282608859,12001220.047,5802406.758,2.031,"CBECS"
"20","Warehouse","E2","TotalEnergy","OLSi2",2,420,22,22,0.716,0.702,98988591279446.7,9949301.045,4465793.387,1.396,"CBECS"
"21","Warehouse","E2","TotalEnergy","OLSi3",3,420,42,42,0.812,0.791,77038870382118.6,8777178.954,4016845.488,1.02,"CBECS"
"22","Warehouse","E2","TotalEnergy","OLSi4",4,420,57,57,0.846,0.822,71067014352638.5,8430125.406,3770239.166,0.94,"CBECS"
"23","Warehouse","E3a","TotalEnergy","DT",1,420,6,6,0.795,0.793,113642809468780,10660338.15,4486765.246,0.846,"CBECS"
"24","Warehouse","E3b","TotalEnergy","GBT",1,420,6,6,0.976,0.976,12313628954760.1,3509078.078,1755012.747,0.565,"CBECS"
"25","Hotel","E1","TotalEnergy","OLS",1,104,8,8,0.896,0.888,183674576201346,13552659.377,9300485.937,0.368,"CBECS"
"26","Hotel","E2","TotalEnergy","OLSi2",2,104,29,29,0.953,0.935,127509219902540,11291998.047,7490974.231,0.231,"CBECS"
"27","Hotel","E2","TotalEnergy","OLSi3",3,104,64,64,0.973,0.931,69652768155349.8,8345823.396,4916744.166,0.164,"CBECS"
"28","Hotel","E2","TotalEnergy","OLSi4",4,104,99,99,0.997,0.937,9440469622870.95,3072534.723,1502250.338,0.031,"CBECS"
"29","Hotel","E3a","TotalEnergy","DT",1,104,8,8,0.869,0.859,287749862656426,16963191.405,11491994.041,0.419,"CBECS"
"30","Hotel","E3b","TotalEnergy","GBT",1,104,7,7,0.944,0.94,135324353342282,11632899.61,7721067.374,0.263,"CBECS"
"31","Worship","E1","TotalEnergy","OLS",1,249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,"CBECS"
"32","Worship","E2","TotalEnergy","OLSi2",2,249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691,"CBECS"
"33","Worship","E2","TotalEnergy","OLSi3",3,249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672,"CBECS"
"34","Worship","E2","TotalEnergy","OLSi4",4,249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653,"CBECS"
"35","Worship","E3a","TotalEnergy","DT",1,249,5,5,0.728,0.723,1777828600271.37,1333352.392,609727.511,0.839,"CBECS"
"36","Worship","E3b","TotalEnergy","GBT",1,249,5,5,0.793,0.79,1491594381455.44,1221308.471,559876.875,0.783,"CBECS"
"37","Multifamily","E1","TotalEnergy","OLS",1,319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,"CBECS"
"38","Multifamily","E2","TotalEnergy","OLSi2",2,319,22,22,0.944,0.94,44541661544054.3,6673953.966,3672219.691,0.254,"CBECS"
"39","Multifamily","E2","TotalEnergy","OLSi3",3,319,42,42,0.95,0.943,41111393472693.3,6411816.706,3509281.151,0.248,"CBECS"
"40","Multifamily","E2","TotalEnergy","OLSi4",4,319,57,57,0.96,0.951,39676189743388.6,6298903.853,3335976.359,0.228,"CBECS"
"41","Multifamily","E3a","TotalEnergy","DT",1,319,7,7,0.905,0.903,63290809514360,7955552.119,3744312.589,0.221,"CBECS"
"42","Multifamily","E3b","TotalEnergy","GBT",1,319,7,7,0.984,0.984,14961694569048.2,3868034.975,2149007.295,0.172,"CBECS"
"43","Office","C1","TotalEnergy","OLS",1,1681,8,8,0.866,0.866,194852850134623,13958970.239,6376162.756,Inf,"NYC"
"44","Office","C2","TotalEnergy","OLSi2",2,1681,29,29,0.885,0.883,167736514029978,12951313.216,5788537.768,Inf,"NYC"
"45","Office","C2","TotalEnergy","OLSi3",3,1681,63,64,0.897,0.893,150679241665940,12275147.317,5713401.767,Inf,"NYC"
"46","Office","C2","TotalEnergy","OLSi4",4,1681,94,99,0.904,0.898,139970122300992,11830896.936,5419667.154,Inf,"NYC"
"47","Office","C3a","TotalEnergy","DT",1,1681,7,7,0.897,0.897,150451488909283,12265866.823,5074822.167,Inf,"NYC"
"48","Office","E3b","TotalEnergy","GBT",1,1681,7,7,0.917,0.917,109142676471468,10447137.238,5293694.05,Inf,"NYC"
"49","Retail","C1","TotalEnergy","OLS",1,1243,8,8,0.793,0.792,8449705394103.48,2906837.697,1139187.628,1.25,"NYC"
"50","Retail","C2","TotalEnergy","OLSi2",2,1243,29,29,0.83,0.826,6938337319303.17,2634072.383,1016892.563,1.049,"NYC"
"51","Retail","C2","TotalEnergy","OLSi3",3,1243,64,64,0.848,0.839,6232791226943.25,2496555.873,967556.044,1.026,"NYC"
"52","Retail","C2","TotalEnergy","OLSi4",4,1243,97,99,0.856,0.843,5909880663073.7,2431024.612,927184.052,0.956,"NYC"
"53","Retail","C3a","TotalEnergy","DT",1,1243,6,6,0.636,0.634,14901430334067.8,3860237.083,1349877.957,1.517,"NYC"
"54","Retail","E3b","TotalEnergy","GBT",1,1243,7,7,0.762,0.761,7419433124720.87,2723863.639,920130.905,0.951,"NYC"
"55","K12school","C1","TotalEnergy","OLS",1,118,8,8,0.696,0.677,8982050878081.42,2997006.987,1921467.549,0.84,"NYC"
"56","K12school","C2","TotalEnergy","OLSi2",2,118,26,29,0.828,0.781,5086481695900.46,2255322.969,1503179.716,0.781,"NYC"
"57","K12school","C2","TotalEnergy","OLSi3",3,118,44,64,0.874,0.801,3718074875030.21,1928231.022,1242634.659,0.546,"NYC"
"58","K12school","C2","TotalEnergy","OLSi4",4,118,53,99,0.891,0.803,3236544482644.41,1799039.878,1091633.629,0.535,"NYC"
"59","K12school","C3a","TotalEnergy","DT",1,118,6,6,0.73,0.718,7991606370515.39,2826942.937,1876305.435,0.747,"NYC"
"60","K12school","E3b","TotalEnergy","GBT",1,118,7,7,0.895,0.89,2524543650980.6,1588881.258,1045123.334,0.402,"NYC"
"61","Warehouse","C1","TotalEnergy","OLS",1,309,8,8,0.401,0.387,32576139901721.7,5707551.13,3144559.438,2.113,"NYC"
"62","Warehouse","C2","TotalEnergy","OLSi2",2,309,27,29,0.446,0.395,30136235591889.7,5489648.039,3095518.77,2.388,"NYC"
"63","Warehouse","C2","TotalEnergy","OLSi3",3,309,49,64,0.507,0.417,26772820950309.6,5174245.931,2852301.692,1.911,"NYC"
"64","Warehouse","C2","TotalEnergy","OLSi4",4,309,57,99,0.519,0.412,26146455072722,5113360.448,2789602.002,1.996,"NYC"
"65","Warehouse","C3a","TotalEnergy","DT",1,309,6,6,0.352,0.342,35205593280980.9,5933430.145,3341669.405,3.504,"NYC"
"66","Warehouse","E3b","TotalEnergy","GBT",1,309,7,7,0.551,0.542,16759428774784.4,4093828.132,2407906.859,2.272,"NYC"
"67","Hotel","C1","TotalEnergy","OLS",1,213,8,8,0.752,0.744,303936639155715,17433778.683,7775892.581,0.54,"NYC"
"68","Hotel","C2","TotalEnergy","OLSi2",2,213,29,29,0.763,0.727,291046155429371,17060074.895,7589461.315,0.549,"NYC"
"69","Hotel","C2","TotalEnergy","OLSi3",3,213,63,64,0.803,0.722,241496865959924,15540169.432,6551962.559,0.456,"NYC"
"70","Hotel","C2","TotalEnergy","OLSi4",4,213,77,99,0.809,0.702,234243213653102,15305006.163,6231601.002,0.425,"NYC"
"71","Hotel","C3a","TotalEnergy","DT",1,213,6,6,0.763,0.757,291159079801755,17063384.184,7037997.874,0.513,"NYC"
"72","Hotel","E3b","TotalEnergy","GBT",1,213,7,7,0.847,0.843,142766836355307,11948507.704,6322677.924,0.548,"NYC"
"73","Worship","C2","TotalEnergy","OLSi2",2,29,22,29,0.798,0.19,2481584029595.23,1575304.424,875579.559,0.361,"NYC"
"74","Worship","C2","TotalEnergy","OLSi3",3,29,26,64,0.959,0.62,498773168414.734,706238.747,395911.945,0.18,"NYC"
"75","Worship","C2","TotalEnergy","OLSi4",4,29,27,99,0.997,0.964,31830354534,178410.635,101043.556,0.045,"NYC"
"76","Worship","C3a","TotalEnergy","DT",1,29,4,4,0.35,0.272,7969470491752.99,2823025.06,2150509.219,1.598,"NYC"
