"","btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"1","office","R2","C1",1,"Reg","SourceEUI",1681,8,8,0.063,0.059,9853.459,99.265,61.702,Inf
"2","office","R21","C1",1,"Reg","SiteEnergy",1681,8,8,0.866,0.866,194852850134623,13958970.239,6376162.756,Inf
"3","office","R27","C2",2,"RegInt","SourceEUI",1681,29,29,0.097,0.082,9495.502,97.445,60.693,Inf
"4","office","R216","C2",2,"RegInt","SiteEnergy",1681,29,29,0.885,0.883,167736514029978,12951313.216,5788537.768,Inf
"5","office","R22","C2",3,"RegInt","SourceEUI",1681,63,64,0.149,0.116,8950.777,94.609,58.959,Inf
"6","office","R211","C2",3,"RegInt","SiteEnergy",1681,63,64,0.897,0.893,150679241665940,12275147.317,5713401.767,Inf
"7","office","R23","C2",4,"RegInt","SourceEUI",1681,94,99,0.167,0.118,8765.438,93.624,57.968,Inf
"8","office","R212","C2",4,"RegInt","SiteEnergy",1681,94,99,0.904,0.898,139970122300992,11830896.936,5419667.154,Inf
"9","office","R24","C2",5,"RegInt","SourceEUI",1681,107,120,0.172,0.116,8708.812,93.321,57.259,Inf
"10","office","R213","C2",5,"RegInt","SiteEnergy",1681,107,120,0.905,0.899,138304545289504,11760295.289,5283400.421,Inf
"11","office","R25","C2",6,"RegInt","SourceEUI",1681,109,127,0.173,0.116,8701.36,93.281,57.224,Inf
"12","office","R214","C2",6,"RegInt","SiteEnergy",1681,109,127,0.905,0.899,138279486929647,11759229.861,5278078.087,Inf
"13","office","R26","C2",7,"RegInt","SourceEUI",1681,109,128,0.173,0.116,8701.36,93.281,57.224,Inf
"14","office","R215","C2",7,"RegInt","SiteEnergy",1681,109,128,0.905,0.899,138279486929647,11759229.861,5278078.087,Inf
"15","office","R28","C3a",1,"rpart","SourceEUI",1681,7,7,0.063,0.059,9857.251,99.284,62.003,Inf
"16","office","R217","C3a",1,"rpart","SiteEnergy",1681,7,7,0.897,0.897,150451488909283,12265866.823,5074822.167,Inf
"17","office","R29","C3b",1,"xgboost","SourceEUI",1681,7,7,0.13,0.127,7682.379,87.649,53.345,Inf
"18","office","R218","E3b",1,"xgboost","SiteEnergy",1681,7,7,0.917,0.917,109142676471468,10447137.238,5293694.05,Inf
"19","retail","R2","C1",1,"Reg","SourceEUI",1243,8,8,0.059,0.054,7753.474,88.054,56.565,0.493
"20","retail","R21","C1",1,"Reg","SiteEnergy",1243,8,8,0.793,0.792,8449705394103.48,2906837.697,1139187.628,1.25
"21","retail","R27","C2",2,"RegInt","SourceEUI",1243,29,29,0.142,0.122,7071.321,84.091,54.514,0.48
"22","retail","R216","C2",2,"RegInt","SiteEnergy",1243,29,29,0.83,0.826,6938337319303.17,2634072.383,1016892.563,1.049
"23","retail","R22","C2",3,"RegInt","SourceEUI",1243,64,64,0.183,0.14,6729.265,82.032,52.597,0.453
"24","retail","R211","C2",3,"RegInt","SiteEnergy",1243,64,64,0.848,0.839,6232791226943.25,2496555.873,967556.044,1.026
"25","retail","R23","C2",4,"RegInt","SourceEUI",1243,97,99,0.212,0.146,6490.002,80.561,51.199,0.444
"26","retail","R212","C2",4,"RegInt","SiteEnergy",1243,97,99,0.856,0.843,5909880663073.7,2431024.612,927184.052,0.956
"27","retail","R24","C2",5,"RegInt","SourceEUI",1243,108,120,0.219,0.145,6434.675,80.216,50.577,0.44
"28","retail","R213","C2",5,"RegInt","SiteEnergy",1243,108,120,0.857,0.843,5850643604725.31,2418810.37,919285.078,0.954
"29","retail","R25","C2",6,"RegInt","SourceEUI",1243,110,127,0.22,0.145,6428.002,80.175,50.496,0.439
"30","retail","R214","C2",6,"RegInt","SiteEnergy",1243,110,127,0.857,0.843,5850573655321.7,2418795.91,919537.506,0.955
"31","retail","R26","C2",7,"RegInt","SourceEUI",1243,110,128,0.22,0.145,6428.002,80.175,50.496,0.439
"32","retail","R215","C2",7,"RegInt","SiteEnergy",1243,110,128,0.857,0.843,5850573655321.7,2418795.91,919537.506,0.955
"33","retail","R28","C3a",1,"rpart","SourceEUI",1243,6,6,0.155,0.152,6958.036,83.415,53.853,0.504
"34","retail","R217","C3a",1,"rpart","SiteEnergy",1243,6,6,0.636,0.634,14901430334067.8,3860237.083,1349877.957,1.517
"35","retail","R29","C3b",1,"xgboost","SourceEUI",1243,7,7,0.217,0.214,5421.23,73.629,46.741,0.402
"36","retail","R218","E3b",1,"xgboost","SiteEnergy",1243,7,7,0.762,0.761,7419433124720.87,2723863.639,920130.905,0.951
"37","k12school","R2","C1",1,"Reg","SourceEUI",118,8,8,0.182,0.13,4621.067,67.978,48.369,0.641
"38","k12school","R21","C1",1,"Reg","SiteEnergy",118,8,8,0.696,0.677,8982050878081.42,2997006.987,1921467.549,0.84
"39","k12school","R27","C2",2,"RegInt","SourceEUI",118,26,29,0.424,0.267,3255.768,57.059,41.811,0.601
"40","k12school","R216","C2",2,"RegInt","SiteEnergy",118,26,29,0.828,0.781,5086481695900.46,2255322.969,1503179.716,0.781
"41","k12school","R22","C2",3,"RegInt","SourceEUI",118,44,64,0.631,0.417,2085.041,45.662,30.908,0.348
"42","k12school","R211","C2",3,"RegInt","SiteEnergy",118,44,64,0.874,0.801,3718074875030.21,1928231.022,1242634.659,0.546
"43","k12school","R23","C2",4,"RegInt","SourceEUI",118,53,99,0.67,0.406,1865.181,43.188,27.094,0.299
"44","k12school","R212","C2",4,"RegInt","SiteEnergy",118,53,99,0.891,0.803,3236544482644.41,1799039.878,1091633.629,0.535
"45","k12school","R24","C2",5,"RegInt","SourceEUI",118,55,120,0.671,0.389,1860.052,43.128,27.468,0.304
"46","k12school","R213","C2",5,"RegInt","SiteEnergy",118,55,120,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"47","k12school","R25","C2",6,"RegInt","SourceEUI",118,55,127,0.671,0.389,1860.052,43.128,27.468,0.304
"48","k12school","R214","C2",6,"RegInt","SiteEnergy",118,55,127,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"49","k12school","R26","C2",7,"RegInt","SourceEUI",118,55,128,0.671,0.389,1860.052,43.128,27.468,0.304
"50","k12school","R215","C2",7,"RegInt","SiteEnergy",118,55,128,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"51","k12school","R28","C3a",1,"rpart","SourceEUI",118,6,6,0.239,0.205,4298.947,65.566,47.829,0.593
"52","k12school","R217","C3a",1,"rpart","SiteEnergy",118,6,6,0.73,0.718,7991606370515.39,2826942.937,1876305.435,0.747
"53","k12school","R29","C3b",1,"xgboost","SourceEUI",118,7,7,0.409,0.377,2070.846,45.507,30.865,0.333
"54","k12school","R218","E3b",1,"xgboost","SiteEnergy",118,7,7,0.895,0.89,2524543650980.6,1588881.258,1045123.334,0.402
"55","warehouse","R2","C1",1,"Reg","SourceEUI",309,8,8,0.029,0.006,10632.132,103.112,67.055,1.705
"56","warehouse","R21","C1",1,"Reg","SiteEnergy",309,8,8,0.401,0.387,32576139901721.7,5707551.13,3144559.438,2.113
"57","warehouse","R27","C2",2,"RegInt","SourceEUI",309,27,29,0.105,0.022,9801.842,99.004,64.931,1.653
"58","warehouse","R216","C2",2,"RegInt","SiteEnergy",309,27,29,0.446,0.395,30136235591889.7,5489648.039,3095518.77,2.388
"59","warehouse","R22","C2",3,"RegInt","SourceEUI",309,49,64,0.209,0.063,8663.902,93.08,58.738,1.447
"60","warehouse","R211","C2",3,"RegInt","SiteEnergy",309,49,64,0.507,0.417,26772820950309.6,5174245.931,2852301.692,1.911
"61","warehouse","R23","C2",4,"RegInt","SourceEUI",309,57,99,0.239,0.07,8326.093,91.247,57.698,1.458
"62","warehouse","R212","C2",4,"RegInt","SiteEnergy",309,57,99,0.519,0.412,26146455072722,5113360.448,2789602.002,1.996
"63","warehouse","R24","C2",5,"RegInt","SourceEUI",309,58,120,0.244,0.072,8275.581,90.97,57.964,1.473
"64","warehouse","R213","C2",5,"RegInt","SiteEnergy",309,58,120,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"65","warehouse","R25","C2",6,"RegInt","SourceEUI",309,58,127,0.244,0.072,8275.581,90.97,57.964,1.473
"66","warehouse","R214","C2",6,"RegInt","SiteEnergy",309,58,127,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"67","warehouse","R26","C2",7,"RegInt","SourceEUI",309,58,128,0.244,0.072,8275.581,90.97,57.964,1.473
"68","warehouse","R215","C2",7,"RegInt","SiteEnergy",309,58,128,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"69","warehouse","R28","C3a",1,"rpart","SourceEUI",309,6,6,0.315,0.304,7500.662,86.606,57.869,1.607
"70","warehouse","R217","C3a",1,"rpart","SiteEnergy",309,6,6,0.352,0.342,35205593280980.9,5933430.145,3341669.405,3.504
"71","warehouse","R29","C3b",1,"xgboost","SourceEUI",309,7,7,0.096,0.078,7440.194,86.257,53.281,1.315
"72","warehouse","R218","E3b",1,"xgboost","SiteEnergy",309,7,7,0.551,0.542,16759428774784.4,4093828.132,2407906.859,2.272
"73","hotel","R2","C1",1,"Reg","SourceEUI",213,8,8,0.053,0.02,7733.225,87.939,64.582,0.457
"74","hotel","R21","C1",1,"Reg","SiteEnergy",213,8,8,0.752,0.744,303936639155715,17433778.683,7775892.581,0.54
"75","hotel","R27","C2",2,"RegInt","SourceEUI",213,29,29,0.12,-0.014,7182.591,84.75,62.093,0.442
"76","hotel","R216","C2",2,"RegInt","SiteEnergy",213,29,29,0.763,0.727,291046155429371,17060074.895,7589461.315,0.549
"77","hotel","R22","C2",3,"RegInt","SourceEUI",213,63,64,0.31,0.025,5631.653,75.044,51.094,0.349
"78","hotel","R211","C2",3,"RegInt","SiteEnergy",213,63,64,0.803,0.722,241496865959924,15540169.432,6551962.559,0.456
"79","hotel","R23","C2",4,"RegInt","SourceEUI",213,77,99,0.384,0.039,5029.79,70.921,44.732,0.313
"80","hotel","R212","C2",4,"RegInt","SiteEnergy",213,77,99,0.809,0.702,234243213653102,15305006.163,6231601.002,0.425
"81","hotel","R24","C2",5,"RegInt","SourceEUI",213,79,120,0.42,0.082,4734.304,68.806,42.376,0.286
"82","hotel","R213","C2",5,"RegInt","SiteEnergy",213,79,120,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"83","hotel","R25","C2",6,"RegInt","SourceEUI",213,79,127,0.42,0.082,4734.304,68.806,42.376,0.286
"84","hotel","R214","C2",6,"RegInt","SiteEnergy",213,79,127,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"85","hotel","R26","C2",7,"RegInt","SourceEUI",213,79,128,0.42,0.082,4734.304,68.806,42.376,0.286
"86","hotel","R215","C2",7,"RegInt","SiteEnergy",213,79,128,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"87","hotel","R28","C3a",1,"rpart","SourceEUI",213,0,0,0,0.005,8162.904,90.349,65.461,0.497
"88","hotel","R217","C3a",1,"rpart","SiteEnergy",213,6,6,0.763,0.757,291159079801755,17063384.184,7037997.874,0.513
"89","hotel","R29","C3b",1,"xgboost","SourceEUI",213,7,7,0.081,0.054,6042.657,77.735,55.949,0.381
"90","hotel","R218","E3b",1,"xgboost","SiteEnergy",213,7,7,0.847,0.843,142766836355307,11948507.704,6322677.924,0.548
"91","worship","R2","C1",1,"Reg","SourceEUI",29,8,8,0.184,-0.088,4144.078,64.375,54.568,0.803
"92","worship","R21","C1",1,"Reg","SiteEnergy",29,8,8,0.235,-0.02,9377135615833.44,3062210.903,2376584.766,1.867
"93","worship","R27","C2",2,"RegInt","SourceEUI",29,22,29,0.766,0.064,1187.969,34.467,20.326,0.333
"94","worship","R216","C2",2,"RegInt","SiteEnergy",29,22,29,0.798,0.19,2481584029595.23,1575304.424,875579.559,0.361
"95","worship","R22","C2",3,"RegInt","SourceEUI",29,26,64,0.92,0.251,407.661,20.191,11.541,0.177
"96","worship","R211","C2",3,"RegInt","SiteEnergy",29,26,64,0.959,0.62,498773168414.734,706238.747,395911.945,0.18
"97","worship","R23","C2",4,"RegInt","SourceEUI",29,27,99,1,0.994,2.215,1.488,0.627,0.012
"98","worship","R212","C2",4,"RegInt","SiteEnergy",29,27,99,0.997,0.964,31830354534,178410.635,101043.556,0.045
"99","worship","R24","C2",5,"RegInt","SourceEUI",29,27,120,1,0.994,2.215,1.488,0.627,0.012
"100","worship","R213","C2",5,"RegInt","SiteEnergy",29,27,120,0.997,0.964,31830354534,178410.635,101043.556,0.045
"101","worship","R25","C2",6,"RegInt","SourceEUI",29,27,127,1,0.994,2.215,1.488,0.627,0.012
"102","worship","R214","C2",6,"RegInt","SiteEnergy",29,27,127,0.997,0.964,31830354534,178410.635,101043.556,0.045
"103","worship","R26","C2",7,"RegInt","SourceEUI",29,27,128,1,0.994,2.215,1.488,0.627,0.012
"104","worship","R215","C2",7,"RegInt","SiteEnergy",29,27,128,0.997,0.964,31830354534,178410.635,101043.556,0.045
"105","worship","R28","C3a",1,"rpart","SourceEUI",29,4,4,0.274,0.187,3685.749,60.71,48.568,0.695
"106","worship","R217","C3a",1,"rpart","SiteEnergy",29,4,4,0.35,0.272,7969470491752.99,2823025.06,2150509.219,1.598
"107","worship","R29","C3b",1,"xgboost","SourceEUI",29,6,6,0.378,0.242,2042.36,45.192,31.928,0.383
"108","worship","R218","E3b",1,"xgboost","SiteEnergy",29,7,7,0.765,0.701,1767638653888.41,1329525.725,834903.76,0.377
"109","multifamily","R2","C1",1,"Reg","SourceEUI",8311,8,8,0.062,0.061,2575.832,50.753,32.134,Inf
"110","multifamily","R21","C1",1,"Reg","SiteEnergy",8311,8,8,0.558,0.558,231319333732148,15209185.834,3546022.023,Inf
"111","multifamily","R27","C2",2,"RegInt","SourceEUI",8311,29,29,0.095,0.092,2484.886,49.849,31.75,Inf
"112","multifamily","R216","C2",2,"RegInt","SiteEnergy",8311,29,29,0.776,0.776,117029094566792,10817998.64,3887323.533,Inf
"113","multifamily","R22","C2",3,"RegInt","SourceEUI",8311,64,64,0.121,0.114,2415.235,49.145,31.321,Inf
"114","multifamily","R211","C2",3,"RegInt","SiteEnergy",8311,64,64,0.897,0.897,53657422728009.8,7325122.711,3232717.795,Inf
"115","multifamily","R23","C2",4,"RegInt","SourceEUI",8311,98,99,0.138,0.128,2366.046,48.642,30.992,Inf
"116","multifamily","R212","C2",4,"RegInt","SiteEnergy",8311,98,99,0.927,0.926,38345800197388.5,6192398.582,2921403.257,Inf
"117","multifamily","R24","C2",5,"RegInt","SourceEUI",8311,114,120,0.141,0.13,2357.778,48.557,30.927,Inf
"118","multifamily","R213","C2",5,"RegInt","SiteEnergy",8311,114,120,0.931,0.93,35898307223520.2,5991519.609,2878505.088,Inf
"119","multifamily","R25","C2",6,"RegInt","SourceEUI",8311,116,127,0.142,0.13,2356.195,48.541,30.916,Inf
"120","multifamily","R214","C2",6,"RegInt","SiteEnergy",8311,116,127,0.932,0.931,35507455861329.9,5958813.293,2872800.237,Inf
"121","multifamily","R26","C2",7,"RegInt","SourceEUI",8311,116,128,0.142,0.13,2356.195,48.541,30.916,Inf
"122","multifamily","R215","C2",7,"RegInt","SiteEnergy",8311,116,128,0.932,0.931,35507455861329.9,5958813.293,2872800.237,Inf
"123","multifamily","R28","C3a",1,"rpart","SourceEUI",8311,6,6,0.081,0.08,2524.425,50.244,32.262,Inf
"124","multifamily","R217","C3a",1,"rpart","SiteEnergy",8311,7,7,0.702,0.702,155756106644328,12480228.629,2723708.805,Inf
"125","multifamily","R29","C3b",1,"xgboost","SourceEUI",8311,7,7,0.325,0.325,1446.218,38.029,24.959,Inf
"126","multifamily","R218","E3b",1,"xgboost","SiteEnergy",8311,7,7,0.646,0.645,126197069703760,11233746.913,3193542.121,Inf
