"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
37500,68,0.667,0.747,7.965,"No",187.32,7024363.5,653.843
71000,60,1.746,2.887,6.468,"No",131.16,9312410.82,360.218
16500,45,0.727,1.455,7.358,"No",314.87,5195395.1,1117.742
10250,40,1.366,2.049,5.45,"No",215.84,2212380.97,1155.428
9900,40,1.717,1.717,6.851,"No",80.86,800482.9,1559.829
1200,40,2.5,2.5,6.004,"No",149.25,179100.25,1667.755
4950,44,1.212,1.616,6.047,"No",63.11,312379.9,1868.403
3100,168,0.968,1.613,6.553,"No",87.92,272554.74,1868.403
20000,40,1,1.4,3.063,"No",36.71,734197.1,692.221
41000,60,2.439,3.244,8.295,"No",188.45,7726446,74.845
2300,55,2.609,6.087,6.709,"Yes",230.81,530866,1851.67
6000,81,1.167,1.833,5.459,"No",145.91,875481.6,1807.463
15000,40,1.333,2.2,2.245,"No",404.03,6060468.4,1807.463
1200,59,0.833,1.667,2.301,"No",20.32,24379.6,1451.617
7500,36,0.4,1.067,4.725,"No",19.28,144607.4,1729.173
14000,40,4.643,9.429,7.182,"No",512.96,7181507.2,1117.742
80000,50,0.625,0.388,6.836,"No",33.12,2649803.1,312.367
90000,50,2.778,3.6,7.269,"No",257.33,23159661.28,158.3
15000,84,2,3.6,8.2,"No",284.04,4260629.8,624.954
42000,55,2.167,3.476,7.718,"No",286.99,12053461,385.908
3650,55,1.918,2.192,7.472,"No",123.91,452273.5,1828.052
30000,50,1.667,5.833,8.327,"No",179.49,5384610,48.841
25000,44,2,2.84,6.942,"No",128.2,3204948.25,908.283
2600,40,2.692,3.077,7.127,"No",113.69,295601.6,1667.755
8200,60,0.976,1.463,3.201,"No",54.02,442976.1,1868.403
76000,60,0.987,1.211,6.586,"No",156.66,11906000.4,126.267
2200,45,3.182,4.091,6.777,"No",106.77,234901.8,1667.755
3300,44,0.303,0.303,2.071,"No",65.04,214624.2,1559.829
20000,40,3.25,1.15,8.024,"No",118.87,2377311.65,657.711
3800,40,2.105,2.632,6.52,"No",109.11,414603,1162.263
1001,48,7.992,3.996,8.32,"No",163.5,163667.7,48.841
71000,40,0.451,0.465,7.197,"No",184.85,13124206.2,9.285
65000,168,0.154,0.2,6.037,"No",47.38,3079830.81,356.198
