"Unit.Density","Bedrooms.Unit","CDD","HDD","Building.Type..Property.Level.","Source.EUI...using.Total.gross.floor.area.","Total.gross.floor.area","Total.number.of.units","Total.SITE.kBtu","Total.SOURCE.kBtu","Site.EUI..using.Total.gross.floor.area.","Source.EUI...using.Total.gross.floor.area.","Survey.Weights.for.ENERGY.STAR.score.analysis"
1.44,1.3,458,2263,"Low-rise",102.9,13900,20,620098,1429787,44.6,102.9,925.04
1.27,1,148,2939,"Low-rise",73,15710,20,774264,1147266,49.3,73,925.04
1.01,1.4,669,2994,"Low-rise",54.8,19740,20,509444,1082169,25.8,54.8,925.04
1.57,1,2055,3348,"Low-rise",163.3,12730,20,698558,2078417,54.9,163.3,925.04
1,1,456,6104,"Low-rise",103,20908,21,1442340,2153634,69,103,925.04
1.31,1,3089,1730,"Low-rise",126.5,18288,24,736787,2313510,40.3,126.5,925.04
1.53,1.3,391,2339,"Low-rise",88.4,15704,24,798440,1388045,50.8,88.4,925.04
1.13,1.3,356,2340,"Low-rise",67.2,21187,24,779466,1424802,36.8,67.2,925.04
1.63,1,358,2621,"Low-rise",99.7,14687,24,581188,1463930,39.6,99.7,925.04
0.68,2,148,2939,"High-rise",161.7,35253,24,3458779,5699938,98.1,161.7,925.04
1.54,1,2132,3306,"Mid-rise",136.4,15617,24,678542,2130623,43.4,136.4,925.04
1.29,1.8,48,5282,"Low-rise",133.6,18561,24,789609,2479371,42.5,133.6,925.04
0.97,2.8,588,5882,"Low-rise",131.7,24624,24,1032959,3243490,41.9,131.7,925.04
1.28,1,1115,5955,"Low-rise",202.5,18789,24,2275960,3805484,121.1,202.5,925.04
0.45,2.8,1272,4423,"High-rise",217.7,55339,25,6124064,12047915,110.7,217.7,433
0.4,2.9,1272,4423,"High-rise",142.8,67685,27,5880144,9664594,86.9,142.8,433
0.37,1.7,1272,4423,"Mid-rise",155.7,72090,27,4511794,11223685,62.6,155.7,433
1.43,1.9,802,5117,"Low-rise",147.6,20972,30,986032,3096141,47,147.6,925.04
1.57,1,34,3345,"Mid-rise",148,20330,32,2082717,3008704,102.4,148,925.04
0.54,1.6,1272,4423,"High-rise",142.2,59244,32,5168747,8422252,87.2,142.2,433
0.68,1.5,1272,4423,"High-rise",114.8,53297,36,4576754,6119294,85.9,114.8,433
1.16,2.1,256,4715,"Low-rise",107.1,30976,36,1056516,3317459,34.1,107.1,925.04
1.43,1.1,725,5140,"Low-rise",135.5,25200,36,1087108,3413518,43.1,135.5,433
1.19,2.3,30,5269,"Low-rise",99.9,30231,36,962133,3021097,31.8,99.9,925.04
0.63,1.9,1272,4423,"High-rise",98.1,60115,38,4092624,5894903,68.1,98.1,433
0.5,1.8,1165,4570,"Mid-rise",78.1,76595,38,5231029,5979919,68.3,78.1,433
1.26,2,30,5269,"Low-rise",115.8,30212,38,1114309,3498930,36.9,115.8,925.04
1.33,1,1217,5412,"High-rise",195.3,28672,38,3226932,5600982,112.5,195.3,925.04
1.48,1,686,6950,"Low-rise",109.3,25627,38,1435354,2801630,56,109.3,925.04
1.1,1,379,8326,"Low-rise",56.3,34540,38,641559,1943310,18.6,56.3,925.04
1.5,1,2362,2543,"Low-rise",138.1,25992,39,1864399,3589632,71.7,138.1,925.04
1.34,1,3339,927,"High-rise",94.7,29880,40,1020221,2828753,34.1,94.7,925.04
0.97,1,871,1021,"High-rise",140.9,41417,40,2651661,5836531,64,140.9,925.04
1.59,1.3,2676,1987,"Low-rise",144.5,25135,40,1157016,3633031,46,144.5,925.04
1.42,1.5,2676,1987,"Low-rise",127.2,28207,40,1664607,3586618,59,127.2,925.04
1.35,1,2080,2743,"Low-rise",124.7,29647,40,1736829,3696575,58.6,124.7,925.04
1.43,1,2870,3425,"Low-rise",140.6,27971,40,1514203,3931543,54.1,140.6,925.04
1.65,1,1603,3715,"Low-rise",127.9,24300,40,990033,3108704,40.7,127.9,925.04
1.56,1,1551,3954,"Low-rise",108,25636,40,881373,2767512,34.4,108,925.04
0.62,1.5,1272,4423,"High-rise",190.3,64660,40,6167304,12307250,95.4,190.3,433
1.28,1,905,5888,"Low-rise",127.9,31177,40,2097428,3986121,67.3,127.9,925.04
2.25,1,1162,5895,"Low-rise",190.3,17803,40,2459569,3387678,138.2,190.3,925.04
1.14,1,655,7520,"Low-rise",112.3,34968,40,2256459,3928257,64.5,112.3,925.04
1.34,1,467,2274,"High-rise",70.7,30680,41,1001815,2168705,32.7,70.7,925.04
1.7,1,2362,2543,"Low-rise",148.9,24108,41,1864399,3589632,77.3,148.9,925.04
1.17,1,2130,3482,"Low-rise",98.3,35100,41,1099034,3450967,31.3,98.3,925.04
1.13,1,924,5179,"Low-rise",132.5,36330,41,2886192,4814103,79.4,132.5,433
1.71,1,2273,2838,"Low-rise",152.1,24615,42,2125565,3744681,86.4,152.1,925.04
0.52,1,1272,4423,"Mid-rise",101.7,81180,42,4847229,8254033,59.7,101.7,433
1.16,1,250,8032,"Low-rise",104.1,36189,42,2188757,3768065,60.5,104.1,925.04
1.7,1,3112,1849,"Low-rise",182,25866,44,1498994,4706841,58,182,925.04
1.17,1,1835,4855,"Mid-rise",85.8,37584,44,1319404,3225935,35.1,85.8,925.04
1.6,1,924,5221,"Mid-rise",127.8,27554,44,2046119,3521954,74.3,127.8,433
0.63,1.9,1272,4423,"Mid-rise",147.6,72520,46,7826047,10704462,107.9,147.6,433
1.13,1,393,6387,"High-rise",131.9,40822,46,2880372,5383739,70.6,131.9,433
1.02,2,1272,4423,"Mid-rise",158.9,46305,47,4333488,7359629,93.6,158.9,433
1.2,1,3209,2241,"High-rise",118.1,40142,48,1888836,4740732,47.1,118.1,925.04
1.3,1,2837,2369,"Low-rise",205.6,36792,48,4617372,7562707,125.5,205.6,925.04
1.18,1,1522,5227,"Low-rise",113.3,40846,48,1473394,4626456,36.1,113.3,925.04
1.49,1,588,5882,"High-rise",104.6,32158,48,1071234,3363676,33.3,104.6,925.04
0.6,1.4,1070,5456,"Low-rise",101.4,82091,49,5147756,8322947,62.7,101.4,925.04
1.39,1.1,2563,3245,"Low-rise",121,36087,50,1667814,4365271,46.2,121,925.04
0.99,1.2,1165,4570,"Mid-rise",138.6,50463,50,4929679,6993583,97.7,138.6,433
1.52,1,1522,5227,"Low-rise",152.6,32865,50,1918322,5015621,58.4,152.6,925.04
1.09,1,520,5352,"Low-rise",98,46061,50,2331734,4511797,50.6,98,433
1.38,1,783,6008,"Low-rise",125.7,36300,50,2573214,4563169,70.9,125.7,925.04
0.83,1,393,6387,"Low-rise",95.9,60196,50,3036345,5771639,50.4,95.9,433
1.1,1,763,6294,"Low-rise",171.3,46389,51,4671797,7948437,100.7,171.3,925.04
1.55,1,2120,2960,"Low-rise",145.5,34265,53,1587252,4983972,46.3,145.5,925.04
0.28,1.7,1272,4423,"High-rise",167.3,188889,53,15814323,31607252,83.7,167.3,433
1.17,1.3,100,5094,"Mid-rise",106.4,45423,53,2082877,4832295,45.9,106.4,925.04
0.97,1,1055,5180,"Low-rise",112.2,54596,53,2975442,6123699,54.5,112.2,433
0.64,2.1,1272,4423,"Mid-rise",139.3,84102,54,8109095,11717790,96.4,139.3,433
1.29,1,1642,3932,"Mid-rise",147.9,42534,55,3061344,6290240,72,147.9,925.04
