"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGSTP","RWSEAT","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
19000,2,NA,NA,NA,12,1,20,19,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,0,2,NA,1,6838,631,21,12,647.9871845,1221138,353783,867355,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,800,990592.4,910722.75,NA,NA,1901315.15,100.07,64.27
5000,1,NA,NA,NA,12,1,18,1,1,2,75,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,0,NA,NA,NA,392,3432,21,12,1879.4560061,48379,48379,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,300,135461.2,NA,NA,NA,135461.2,27.09,9.68
10500,1,NA,NA,NA,12,1,12,9,2,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,1122,931,21,12,1667.7551609,184275,184275,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,250,515970,NA,NA,NA,515970,49.14,17.55
29500,2,1,NA,NA,12,1,20,8,1,2,75,75,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,0,2,NA,2,4929,1304,21,12,63.073938349,2191894,1264474,927420,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1250,3540527.2,973791,NA,NA,4514318.2,153.03,74.3
13000,1,NA,NA,NA,12,1,12,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,1405,2811,21,12,1107.7533448,102490,102490,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,200,286972,NA,NA,NA,286972,22.07,7.88
16000,1,NA,NA,NA,12,1,20,19,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,0,2,NA,1,4931,1131,21,12,657.71092576,654332,213069,441263,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1250,596593.2,463326.15,NA,NA,1059919.35,66.24,40.9
10001,3,1,NA,NA,12,1,72,1,1,2,100,5,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,1,4862,1181,21,12,1162.262962,694910,151455,543455,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,450,424074,570627.75,NA,NA,994701.75,99.46,69.48
10000,1,NA,NA,NA,12,1,42,2,1,2,100,90,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,1,2,1,1,1613,1349,21,12,2249.135161,95160,55390,39770,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,150,155092,41758.5,NA,NA,196850.5,19.69,9.52
25000,1,NA,NA,NA,12,1,20,20,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,0,2,NA,1,4930,1231,21,12,519.50232556,511748,245350,266398,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1500,686980,279717.9,NA,NA,966697.9,38.67,20.47
5400,1,NA,NA,NA,12,1,6,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,2188,1981,21,12,1729.17335,74470,74470,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,200,208516,NA,NA,NA,208516,38.61,13.79
