"","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","E1","SOURCE_EUI","Reg",1,"meanCent",420,7,7,0.354,0.345,3235.39,56.88,37.001,1.026
"R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",420,7,7,0.321,0.311,3715.921,60.958,36.265,0.786
"R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",420,7,7,0.515,0.508,144029282608859,12001220.047,5802406.758,2.031
"R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",420,7,7,0.444,0.436,14708423853734647808,3835156301.083,416169057.302,10.119
"R28","E2","SOURCE_EUI","RegInt",2,"meanCent",420,22,22,0.43,0.4,2926.718,54.099,35.517,0.927
"R215","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",420,22,22,0.385,0.352,5416,73.593,38.6,0.75
"R225","E2","SOURCE_ENERGY","RegInt",2,"meanCent",420,22,22,0.716,0.702,98988591279446.7,9949301.045,4465793.387,1.396
"R235","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",420,22,22,0.546,0.522,1.26335055694282e+20,11239886818.571,932707071.993,38.325
"R24","E2","SOURCE_EUI","RegInt",3,"meanCent",420,42,42,0.477,0.42,2940.348,54.225,35.767,0.902
"R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",420,42,42,0.428,0.366,3140.45,56.04,35.392,0.724
"R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",420,42,42,0.812,0.791,77038870382118.6,8777178.954,4016845.488,1.02
"R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",420,42,42,0.587,0.542,1.28171034769747e+20,11321264716,624208997.596,13.801
"R25","E2","SOURCE_EUI","RegInt",4,"meanCent",420,57,57,0.494,0.416,2740.884,52.353,34.85,0.868
"R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",420,57,57,0.447,0.361,3159.764,56.212,34.121,0.678
"R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",420,57,57,0.846,0.822,71067014352638.5,8430125.406,3770239.166,0.94
"R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",420,57,57,0.608,0.547,6.5821668034952e+20,25655733868.855,1315576430.699,27.052
"R26","E2","SOURCE_EUI","RegInt",5,"meanCent",420,63,63,0.505,0.419,2737.05,52.317,34.753,0.85
"R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",420,63,63,0.46,0.366,3221.443,56.758,35.525,0.697
"R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",420,63,63,0.85,0.824,71562021809553.6,8459433.894,3807177.01,0.921
"R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",420,63,63,0.613,0.546,5.61956728715508e+20,23705626520.206,1255539899.982,26.551
"R27","E2","SOURCE_EUI","RegInt",6,"meanCent",420,64,64,0.505,0.418,2740.466,52.349,34.678,0.849
"R214","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",420,64,64,0.46,0.364,3234.046,56.869,35.553,0.697
"R224","E2","SOURCE_ENERGY","RegInt",6,"meanCent",420,64,64,0.852,0.825,72082752583116.4,8490156.217,3810986.472,0.915
"R234","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",420,64,64,0.614,0.546,5.12069373019362e+20,22628949887.685,1192719090.771,25.128
"R29","E3a","SOURCE_EUI","rpart",1,"meanCent",420,6,6,0.35,0.342,3310.089,57.533,38.368,1.121
"R216","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",420,6,6,0.147,0.137,4305.361,65.615,39.19,0.852
"R226","E3a","SOURCE_ENERGY","rpart",1,"meanCent",420,6,6,0.795,0.793,113642809468780,10660338.15,4486765.246,0.846
"R236","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",420,6,6,0.685,0.681,92977126627790.3,9642464.759,4045735.122,0.574
"R210","E3b","SOURCE_EUI","xgboost",1,"meanCent",420,6,6,0.425,0.418,3034.433,55.086,35.623,0.991
"R217","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",420,6,6,0,-0.012,9219.75,96.02,70.721,0.893
"R227","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",420,6,6,0.976,0.976,12313628954760.1,3509078.078,1755012.747,0.565
"R237","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",420,6,6,0,-0.012,347788702309951,18649093.874,8741736.045,1
