"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"office","E1","SOURCE_EUI","Reg",1,"meanCent",628,7,7,0.199,0.191,14663.462,121.093,76.829,0.678,94.298,10.9,68.902
"office","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",628,7,7,0.235,0.227,16268.599,127.548,76.902,0.573,0,0,0
"office","E1","SOURCE_ENERGY","Reg",1,"meanCent",628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296,91.421,5.102,108.764
"office","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",628,7,7,0.582,0.578,607217641372872,24641786.489,6571600.598,1.153,0,0,0
"office","E2","SOURCE_EUI","RegInt",2,"meanCent",628,22,22,0.231,0.204,14404.903,120.02,76.411,0.669,93.463,10.804,68.292
"office","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",628,22,22,0.268,0.242,16194.667,127.258,77.017,0.558,0,0,0
"office","E2","SOURCE_ENERGY","RegInt",2,"meanCent",628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703,77.568,4.329,92.283
"office","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",628,22,22,0.604,0.59,2215581284827274,47069961.598,8697486.026,1.101,0,0,0
"office","E2","SOURCE_EUI","RegInt",3,"meanCent",628,42,42,0.263,0.212,14175.874,119.062,75.766,0.669,92.717,10.717,67.747
"office","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",628,42,42,0.286,0.236,16004.033,126.507,76.782,0.553,0,0,0
"office","E2","SOURCE_ENERGY","RegInt",3,"meanCent",628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716,71.092,3.967,84.578
"office","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",628,42,42,0.615,0.588,101892133039718848,319205471.507,19747620.477,1.223,0,0,0
"office","E2","SOURCE_EUI","RegInt",4,"meanCent",628,57,57,0.29,0.22,15166.918,123.154,76.648,0.678,95.903,11.086,70.075
"office","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",628,57,57,0.299,0.23,18720.33,136.822,78.906,0.56,0,0,0
"office","E2","SOURCE_ENERGY","RegInt",4,"meanCent",628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761,64.346,3.591,76.553
"office","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",628,57,57,0.623,0.586,2035614568460002,45117785.5,8059408.706,1.104,0,0,0
"office","E2","SOURCE_EUI","RegInt",5,"meanCent",628,63,63,0.305,0.229,15061.223,122.724,75.819,0.666,95.568,11.047,69.83
"office","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",628,63,63,0.315,0.24,17943.544,133.954,78.305,0.552,0,0,0
"office","E2","SOURCE_ENERGY","RegInt",5,"meanCent",628,63,63,0.782,0.758,9438226185380.96,3072169.622,1461917.526,0.743,63.762,3.558,75.857
"office","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",628,63,63,0.631,0.59,2475552598717868,49754925.371,7577896.01,1.074,0,0,0
"office","E2","SOURCE_EUI","RegInt",6,"meanCent",628,64,64,0.306,0.228,15067.813,122.751,75.856,0.667,95.589,11.049,69.846
"office","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",628,64,64,0.315,0.239,17924.189,133.881,78.265,0.552,0,0,0
"office","E2","SOURCE_ENERGY","RegInt",6,"meanCent",628,64,64,0.782,0.757,9436466680306.79,3071883.247,1459930.368,0.746,63.756,3.558,75.85
"office","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",628,64,64,0.632,0.591,2477010870466431,49769577.761,7562798.899,1.069,0,0,0
"office","E3a","SOURCE_EUI","rpart",1,"meanCent",628,0,0,0,0.002,17658.89,132.887,86.868,0.806,103.482,11.962,75.613
"office","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",628,7,7,0.144,0.136,18622.474,136.464,84.656,0.579,0,0,0
"office","E3a","SOURCE_ENERGY","rpart",1,"meanCent",628,7,7,0.794,0.792,15111285040533.4,3887323.635,1558605.534,0.586,80.68,4.502,95.985
"office","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",628,7,7,0.741,0.739,16825089453021.5,4101839.764,1498978.784,0.473,0,0,0
"office","E3b","SOURCE_EUI","xgboost",1,"meanCent",628,6,6,0.244,0.238,14354.263,119.809,75.802,0.643,93.298,10.785,68.172
"office","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",628,7,7,0,-0.01,46286.505,215.143,170.908,0.954,0,0,0
"office","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",628,7,7,0.876,0.875,5425856746751.72,2329346.85,1205673.516,0.706,48.345,2.698,57.516
"office","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",628,6,6,0,-0.008,64408149111792.7,8025468.778,4049926.215,1,0,0,0
"retail","E1","SOURCE_EUI","Reg",1,"meanCent",179,9,9,0.776,0.766,6910.967,83.132,59.508,0.387,53.415,11.734,38.899
"retail","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",179,9,9,0.648,0.631,10446.259,102.207,69.701,0.383,0,0,0
"retail","E1","SOURCE_ENERGY","Reg",1,"meanCent",179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838,35.247,6.482,50.873
"retail","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",179,9,9,0.764,0.753,8.74680631805483e+21,93524362163.315,7020619857.396,60.582,0,0,0
"retail","E2","SOURCE_EUI","RegInt",2,"meanCent",179,35,37,0.824,0.783,5277.196,72.644,54.353,0.381,46.676,10.254,33.991
"retail","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",179,35,37,0.712,0.644,6904.517,83.093,59.346,0.341,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",2,"meanCent",179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404,31.4,5.775,45.32
"retail","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",179,35,37,0.837,0.799,20461814357379940,143044798.428,24344287.045,0.726,0,0,0
"retail","E2","SOURCE_EUI","RegInt",3,"meanCent",179,69,93,0.876,0.799,3553.439,59.611,39.841,0.321,38.302,8.414,27.893
"retail","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",179,69,93,0.77,0.627,4096.338,64.003,41.464,0.287,0,0,0
"retail","E2","SOURCE_ENERGY","RegInt",3,"meanCent",179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407,29.48,5.421,42.549
"retail","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",179,69,93,0.879,0.804,15483710644643260,124433559.158,14984352.235,0.49,0,0,0
