"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",319,7,7,0.235,0.22,1277.454,35.741,27.542,0.249,71.197,14.654,27.237
"E1","SOURCE_EUI","Reg",1,"meanCent_logDV",319,7,7,0.268,0.254,1310.295,36.198,27.449,0.238,0,0,0
"E1","SOURCE_ENERGY","Reg",1,"meanCent",319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,56.518,5.353,43.605
"E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",319,7,7,0.665,0.659,12316292835781632,110978794.532,13998013.818,0.431,0,0,0
"E2","SOURCE_EUI","RegInt",2,"meanCent",319,22,22,0.32,0.272,1161.925,34.087,25.973,0.236,67.902,13.976,25.977
"E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",319,22,22,0.356,0.311,1167.79,34.173,25.796,0.226,0,0,0
"E2","SOURCE_ENERGY","RegInt",2,"meanCent",319,22,22,0.944,0.94,44541661544054.3,6673953.966,3672219.691,0.254,48.391,4.584,37.335
"E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",319,22,22,0.803,0.789,5748020324090868,75815699.72,12097478.748,0.378,0,0,0
"E2","SOURCE_EUI","RegInt",3,"meanCent",319,42,42,0.387,0.297,1097.746,33.132,25.501,0.234,66,13.584,25.249
"E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",319,42,42,0.419,0.333,1098.374,33.142,25.342,0.219,0,0,0
"E2","SOURCE_ENERGY","RegInt",3,"meanCent",319,42,42,0.95,0.943,41111393472693.3,6411816.706,3509281.151,0.248,46.49,4.404,35.868
"E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",319,42,42,0.86,0.839,2592806657065159,50919609.75,8930583.528,0.314,0,0,0
"E2","SOURCE_EUI","RegInt",4,"meanCent",319,57,57,0.441,0.321,1027.518,32.055,24.689,0.224,63.855,13.143,24.428
"E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",319,57,57,0.479,0.367,1023.515,31.992,24.569,0.21,0,0,0
"E2","SOURCE_ENERGY","RegInt",4,"meanCent",319,57,57,0.96,0.951,39676189743388.6,6298903.853,3335976.359,0.228,45.671,4.326,35.237
"E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",319,57,57,0.884,0.859,3514304096508333,59281566.245,8618321.81,0.291,0,0,0
"E2","SOURCE_EUI","RegInt",5,"meanCent",319,63,63,0.461,0.33,998.95,31.606,24.201,0.214,62.96,12.959,24.086
"E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",319,63,63,0.508,0.389,982.8,31.35,23.868,0.199,0,0,0
"E2","SOURCE_ENERGY","RegInt",5,"meanCent",319,63,63,0.963,0.954,35623465232356,5968539.623,3185549.057,0.218,43.276,4.099,33.388
"E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",319,63,63,0.888,0.861,2952788411183623,54339565.799,8181250.196,0.284,0,0,0
"E2","SOURCE_EUI","RegInt",6,"meanCent",319,64,64,0.461,0.328,992.054,31.497,24.113,0.213,62.743,12.914,24.003
"E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",319,64,64,0.508,0.386,981.825,31.334,23.86,0.199,0,0,0
"E2","SOURCE_ENERGY","RegInt",6,"meanCent",319,64,64,0.963,0.954,35508952762943.2,5958938.896,3181773.814,0.218,43.206,4.093,33.335
"E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",319,64,64,0.888,0.861,2634994565654714,51332198.138,7957829.106,0.283,0,0,0
"E3a","SOURCE_EUI","rpart",1,"meanCent",319,7,7,0.22,0.205,1377.232,37.111,28.4,0.269,73.926,15.216,28.281
"E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",319,5,5,0.163,0.153,1396.13,37.365,28.923,0.256,0,0,0
"E3a","SOURCE_ENERGY","rpart",1,"meanCent",319,7,7,0.905,0.903,63290809514360,7955552.119,3744312.589,0.221,57.683,5.464,44.504
"E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",319,7,7,0.779,0.775,82658409608412.6,9091667.042,4552317.513,0.264,0,0,0
"E3b","SOURCE_EUI","xgboost",1,"meanCent",319,6,6,0.297,0.286,1107.71,33.282,25.365,0.234,66.299,13.646,25.363
"E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",319,6,6,0,-0.016,17552.904,132.487,126.393,0.959,0,0,0
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent",319,7,7,0.984,0.984,14961694569048.2,3868034.975,2149007.295,0.172,28.046,2.657,21.638
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",319,6,6,0,-0.016,733490516821033,27083030.052,17876033.167,1,0,0,0
