"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",319,7,7,0.235,0.22,1277.454,35.741,27.542,0.249,71.197,14.654,27.237
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",319,6,6,0.223,0.211,1273.255,35.683,27.382,0.246,71.082,14.63,27.193
"E1","SOURCE_ENERGY","Reg",1,"meanCent",319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,56.518,5.353,43.605
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",319,7,7,0.918,0.917,60760020255594.1,7794871.407,4203115.708,0.298,56.518,5.353,43.605
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",319,22,22,0.32,0.272,1161.925,34.087,25.973,0.236,67.902,13.976,25.977
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",319,12,12,0.307,0.282,1150.274,33.916,25.879,0.231,67.562,13.906,25.846
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",319,22,22,0.944,0.94,44541661544054.3,6673953.966,3672219.691,0.254,48.391,4.584,37.335
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",319,13,13,0.939,0.936,41629062421331.9,6452058.774,3670569.86,0.288,46.782,4.431,36.093
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",319,42,42,0.387,0.297,1097.746,33.132,25.501,0.234,66,13.584,25.249
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",319,23,23,0.348,0.3,1085.299,32.944,25.354,0.227,65.625,13.507,25.105
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",319,42,42,0.95,0.943,41111393472693.3,6411816.706,3509281.151,0.248,46.49,4.404,35.868
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",319,27,27,0.945,0.94,38257047921793.4,6185228.203,3576125.831,0.278,44.847,4.248,34.601
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",319,57,57,0.441,0.321,1027.518,32.055,24.689,0.224,63.855,13.143,24.428
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",319,51,51,0.424,0.317,978.903,31.287,23.957,0.21,62.325,12.828,23.843
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",319,57,57,0.96,0.951,39676189743388.6,6298903.853,3335976.359,0.228,45.671,4.326,35.237
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",319,46,46,0.951,0.943,35281753345804.4,5939844.556,3455201.813,0.287,43.068,4.079,33.228
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",319,63,63,0.461,0.33,998.95,31.606,24.201,0.214,62.96,12.959,24.086
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",319,60,60,0.446,0.32,917.74,30.294,23.151,0.199,60.347,12.421,23.086
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",319,63,63,0.963,0.954,35623465232356,5968539.623,3185549.057,0.218,43.276,4.099,33.388
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",319,63,63,0.963,0.954,35623465232356,5968539.623,3185549.057,0.218,43.276,4.099,33.388
"E2","SOURCE_EUI","Reg_Int",6,"meanCent",319,64,64,0.461,0.328,992.054,31.497,24.113,0.213,62.743,12.914,24.003
"E2","SOURCE_EUI","Reg_AIC_Int",6,"meanCent",319,60,60,0.446,0.32,917.74,30.294,23.151,0.199,60.347,12.421,23.086
"E2","SOURCE_ENERGY","Reg_Int",6,"meanCent",319,64,64,0.963,0.954,35508952762943.2,5958938.896,3181773.814,0.218,43.206,4.093,33.335
"E2","SOURCE_ENERGY","Reg_AIC_Int",6,"meanCent",319,53,53,0.954,0.946,32260087832832.3,5679796.461,3268521.88,0.245,41.182,3.901,31.773
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",319,6,6,0.802,0.799,533.656,23.101,15.89,0.143,46.018,9.472,17.604
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",319,6,6,0.944,0.943,233.768,15.289,9.735,0.085,30.456,6.269,11.651
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",319,6,6,0.779,0.775,440.779,20.995,15.227,0.125,41.823,8.608,16
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",319,6,6,0.396,0.387,952.968,30.87,23.606,0.216,61.494,12.657,23.525
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",319,6,6,0.518,0.511,838.348,28.954,22.169,0.198,57.677,11.871,22.065
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",319,6,6,0.71,0.705,563.203,23.732,17.078,0.147,47.275,9.73,18.085
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",319,6,6,0.987,0.987,13571216163707.6,3683913.159,1929262.477,0.142,26.711,2.53,20.608
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",319,6,6,0.997,0.997,3162651349969.28,1778384.478,990660.462,0.073,12.894,1.221,9.948
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",319,6,6,0.974,0.974,27009643027006,5197080.241,2690785.5,0.201,37.682,3.569,29.073
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",319,6,6,0.984,0.984,12684868490302.7,3561582.301,2234231.588,0.18,25.824,2.446,19.924
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",319,6,6,0.981,0.981,20880143233518.3,4569479.536,2355550.253,0.169,33.132,3.138,25.562
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",319,6,6,1,1,182945.041,427.721,255.163,0,0.003,0,0.002
