"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",628,7,7,0.199,0.191,14663.462,121.093,76.829,0.678,94.298,10.9,68.902
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",628,7,7,0.199,0.191,14663.462,121.093,76.829,0.678,94.298,10.9,68.902
"E1","SOURCE_ENERGY","Reg",1,"meanCent",628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296,91.421,5.102,108.764
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",628,4,4,0.693,0.691,18010687899855.4,4243900.081,2122811.506,2.625,88.08,4.915,104.789
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",628,22,22,0.231,0.204,14404.903,120.02,76.411,0.669,93.463,10.804,68.292
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",628,13,13,0.206,0.191,13385.974,115.698,78.244,0.774,90.097,10.415,65.833
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703,77.568,4.329,92.283
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",628,13,13,0.744,0.739,12840008061223.5,3583295.698,1813140.313,1.543,74.37,4.15,88.478
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",628,42,42,0.263,0.212,14175.874,119.062,75.766,0.669,92.717,10.717,67.747
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",628,25,25,0.228,0.197,12837.424,113.302,76.018,0.753,88.231,10.199,64.469
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716,71.092,3.967,84.578
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",628,27,27,0.749,0.738,10447110965113.2,3232199.091,1680873.486,1.237,67.083,3.744,79.809
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",628,57,57,0.29,0.22,15166.918,123.154,76.648,0.678,95.903,11.086,70.075
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",628,41,41,0.25,0.199,12410.875,111.404,74.709,0.75,86.753,10.028,63.389
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761,64.346,3.591,76.553
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",628,33,33,0.765,0.753,8730254712649.8,2954700.444,1562276.239,1.302,61.323,3.422,72.957
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",628,63,63,0.305,0.229,15061.223,122.724,75.819,0.666,95.568,11.047,69.83
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",628,59,59,0.267,0.192,12218.738,110.538,73.53,0.735,86.079,9.95,62.896
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",628,63,63,0.782,0.758,9438226185380.96,3072169.622,1461917.526,0.743,63.762,3.558,75.857
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",628,36,36,0.762,0.748,8474546776285.08,2911107.483,1567432.07,1.388,60.419,3.372,71.88
"E2","SOURCE_EUI","Reg_Int",6,"meanCent",628,64,64,0.306,0.228,15067.813,122.751,75.856,0.667,95.589,11.049,69.846
"E2","SOURCE_EUI","Reg_AIC_Int",6,"meanCent",628,60,60,0.267,0.191,12107.912,110.036,73.376,0.737,85.688,9.905,62.611
"E2","SOURCE_ENERGY","Reg_Int",6,"meanCent",628,64,64,0.782,0.757,9436466680306.79,3071883.247,1459930.368,0.746,63.756,3.558,75.85
"E2","SOURCE_ENERGY","Reg_AIC_Int",6,"meanCent",628,36,36,0.762,0.748,8474546776285.08,2911107.483,1567432.07,1.388,60.419,3.372,71.88
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",628,6,6,0.679,0.676,8529.76,92.357,56.883,0.47,71.921,8.313,52.551
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",628,6,6,0.884,0.883,4916.776,70.12,39.263,0.321,54.604,6.312,39.899
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",628,6,6,1,1,44.664,6.683,3.256,0.027,5.204,0.602,3.803
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",628,6,6,0.206,0.199,14521.778,120.506,76.333,0.632,93.841,10.847,68.568
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",628,6,6,0.273,0.267,13331.851,115.464,72.028,0.602,89.915,10.393,65.699
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",628,6,6,0.423,0.419,9401.169,96.96,62.571,0.478,75.505,8.728,55.171
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",628,6,6,0.921,0.92,4227794733250.67,2056160.192,1040473.507,0.59,42.675,2.381,50.77
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",628,6,6,0.978,0.978,1585264878836.75,1259073.024,630636.341,0.403,26.132,1.458,31.089
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",628,6,6,0.947,0.947,2584991515975.7,1607790.881,830731.171,0.608,33.369,1.862,39.699
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",628,6,6,0.815,0.813,8107282511179.33,2847329.014,1383171.399,0.735,59.095,3.298,70.305
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",628,6,6,0.848,0.847,5882056735150.85,2425295.185,1252918.902,0.716,50.336,2.809,59.885
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",628,5,5,0.154,0.148,31574457465493.7,5619115.363,2744417.495,2.025,116.622,6.508,138.746
