"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",420,7,7,0.354,0.345,3235.39,56.88,37.001,1.026,92.835,12.125,76.12
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",420,5,5,0.376,0.369,3096.346,55.645,36.235,1.031,90.819,11.862,74.467
"E1","SOURCE_ENERGY","Reg",1,"meanCent",420,7,7,0.515,0.508,144029282608859,12001220.047,5802406.758,2.031,134.828,8.403,137.286
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",420,4,4,0.517,0.513,115109046539072,10728888.411,5975018.251,4.751,120.534,7.512,122.732
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",420,22,22,0.43,0.4,2926.718,54.099,35.517,0.927,88.296,11.532,72.398
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",420,12,12,0.433,0.418,2601.437,51.004,34.293,0.921,83.245,10.872,68.256
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",420,22,22,0.716,0.702,98988591279446.7,9949301.045,4465793.387,1.396,111.776,6.966,113.814
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",420,17,17,0.625,0.61,74554614637931.9,8634501.412,4716424.252,2.976,97.004,6.046,98.773
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",420,42,42,0.477,0.42,2940.348,54.225,35.767,0.902,88.502,11.559,72.567
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",420,26,26,0.439,0.403,2406.009,49.051,33.646,0.893,80.057,10.456,65.643
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",420,42,42,0.812,0.791,77038870382118.6,8777178.954,4016845.488,1.02,98.607,6.146,100.405
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",420,30,30,0.718,0.697,59840216411572,7735645.83,3977322.766,2.003,86.906,5.416,88.491
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",420,57,57,0.494,0.416,2740.884,52.353,34.85,0.868,85.446,11.16,70.062
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",420,39,39,0.453,0.398,2251.317,47.448,32.271,0.809,77.441,10.114,63.498
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",420,57,57,0.846,0.822,71067014352638.5,8430125.406,3770239.166,0.94,94.708,5.903,96.435
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",420,37,37,0.756,0.733,55154733466984.1,7426623.288,3725156.266,2.1,83.435,5.2,84.956
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",420,63,63,0.505,0.419,2737.05,52.317,34.753,0.85,85.388,11.152,70.014
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",420,50,50,0.463,0.392,2194.341,46.844,31.828,0.785,76.455,9.986,62.689
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",420,63,63,0.85,0.824,71562021809553.6,8459433.894,3807177.01,0.921,95.038,5.923,96.77
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",420,48,48,0.758,0.728,53788159718536.3,7334041.159,3568647.47,1.776,82.394,5.135,83.897
"E2","SOURCE_EUI","Reg_Int",6,"meanCent",420,64,64,0.505,0.418,2740.466,52.349,34.678,0.849,85.44,11.159,70.056
"E2","SOURCE_EUI","Reg_AIC_Int",6,"meanCent",420,50,50,0.463,0.392,2194.341,46.844,31.828,0.785,76.455,9.986,62.689
"E2","SOURCE_ENERGY","Reg_Int",6,"meanCent",420,64,64,0.852,0.825,72082752583116.4,8490156.217,3810986.472,0.915,95.383,5.945,97.122
"E2","SOURCE_ENERGY","Reg_AIC_Int",6,"meanCent",420,64,64,0.852,0.825,72082752583116.4,8490156.217,3810986.472,0.915,95.383,5.945,97.122
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",420,6,6,0.832,0.83,1556.143,39.448,23.077,0.598,64.384,8.409,52.792
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",420,6,6,0.964,0.963,545.923,23.365,12.92,0.351,38.134,4.981,31.268
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",420,6,6,1,1,0.021,0.145,0.096,0.003,0.237,0.031,0.194
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",420,6,6,0.452,0.446,2995.949,54.735,34.282,0.917,89.334,11.668,73.249
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",420,6,6,0.527,0.522,2346.991,48.446,31.444,0.887,79.07,10.327,64.833
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",420,6,6,0.418,0.411,2205.95,46.968,29.489,0.801,76.657,10.012,62.855
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",420,6,6,0.962,0.962,19872137270095.9,4457817.546,2253388.297,0.665,50.081,3.121,50.995
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",420,6,6,0.994,0.994,2338677294597.31,1529273.453,867710.051,0.365,17.181,1.071,17.494
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",420,6,6,1,1,8.663,2.943,1.267,0,0,0,0
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",420,6,6,0.94,0.939,26540542906083.7,5151751.441,2608047.944,0.782,57.877,3.607,58.933
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",420,6,6,0.958,0.958,15673214279779.8,3958941.055,2267368.121,0.821,44.477,2.772,45.288
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",420,6,6,0.998,0.998,745858285636.429,863630.873,499624.548,0.231,9.702,0.605,9.879
