"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",626,7,7,0.165,0.155,14536.189
"2","E1",1,"Reg","SOURCE_ENERGY",626,7,7,0.608,0.603,19427868049799.3
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",626,5,5,0.097,0.087,16679.445
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",626,8,8,0.152,0.143,16401.811
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",626,8,8,0.143,0.133,15498.331
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",626,2,2,0.567,0.562,23721221097992.9
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",626,8,8,0.609,0.604,25320475660056.7
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",626,5,5,0.594,0.59,22458890222802.6
"9","E2",2,"RegInt","SOURCE_EUI",626,22,22,0.179,0.149,14296.036
"10","E2",2,"RegInt","SOURCE_ENERGY",626,22,22,0.715,0.704,13978654006061.6
"11","E2",3,"RegInt","SOURCE_EUI",626,42,42,0.195,0.137,14099.61
"12","E2",3,"RegInt","SOURCE_ENERGY",626,42,42,0.76,0.743,11769196029732.4
"13","E2",4,"RegInt","SOURCE_EUI",626,57,57,0.163,0.079,15046.545
"14","E2",4,"RegInt","SOURCE_ENERGY",626,57,57,0.803,0.783,9634413447040.38
"15","E2",5,"RegInt","SOURCE_EUI",626,63,63,0.165,0.071,15012.979
"16","E2",5,"RegInt","SOURCE_ENERGY",626,63,63,0.806,0.784,9462453959769.88
"17","E2",6,"RegInt","SOURCE_EUI",626,64,64,0.166,0.071,15007.055
"18","E2",6,"RegInt","SOURCE_ENERGY",626,64,64,0.806,0.783,9457201602921.82
"19","E3a",1,"rpart","SOURCE_EUI",626,6,6,0.159,0.15,14769.441
"20","E3a",1,"rpart","SOURCE_ENERGY",626,6,6,0.67,0.666,15992600877083.3
"21","E3b",1,"xgboost","SOURCE_EUI",626,7,7,0.925,0.924,4504379059322.13
"22","E3b",1,"xgboost","SOURCE_ENERGY",626,7,7,0.925,0.924,4656628953277.92
