"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65","SOURCE_EUI","SourceEnergy","FINALWT","SourceEnergyLog"
37500,68,25,28,"No",100,2878,187.32,7024363.5,653.843,15.764895164097
6e+05,72,1500,1726,"No",100,1723,257.53,154516125.89,23.251,18.855809023548
71000,60,124,205,"No",92,1131,131.16,9312410.82,360.218,16.0468585652483
395000,66,1100,1415,"No",100,1974,229.62,90699590.61,48.841,18.3230634014037
150000,60,200,266,"No",95,1882,237.86,35679153.12,24.435,17.3900771299684
16500,45,12,24,"No",100,1569,314.87,5195395.1,1117.742,15.4632832335215
1e+06,168,3500,4512,"No",100,1238,269.44,269439803.4,15.946,19.4118555593565
8e+05,60,2374,3760,"No",100,1839,162.31,129849378.4,25.323,18.6818857089996
295000,90,1200,1122,"Yes",85,993,129.29,38140115.73,86.871,17.4567771924791
10250,40,14,21,"No",80,909,215.84,2212380.97,1155.428,14.609579855547
9900,40,17,17,"No",100,945,80.86,800482.9,1559.829,13.5929704495418
1200,40,3,3,"No",80,1818,149.25,179100.25,1667.755,12.0957009839161
4950,44,6,8,"No",100,423,63.11,312379.9,1868.403,12.6519753542887
3100,168,3,5,"No",100,701,87.92,272554.74,1868.403,12.5155947536455
20000,40,20,28,"No",40,2116,36.71,734197.1,692.221,13.5065328001597
160000,40,550,1000,"No",100,258,1044.59,167134595.3,52.658,18.93431000565
480000,63,1500,1117,"Yes",85,1078,271.54,130341493.55,16.67,18.6856684376796
41000,60,100,133,"No",100,4004,188.45,7726446,74.845,15.8601595476973
106000,50,275,430,"No",100,1004,131.77,13968016.65,181.075,16.4522807490711
2300,55,6,14,"Yes",100,820,230.81,530866,1851.67,13.1822649143285
6000,81,7,11,"No",75,1450,145.91,875481.6,1807.463,13.6825294139252
15000,40,20,33,"No",30,1778,404.03,6060468.4,1807.463,15.6172976487879
255000,54,354,559,"No",32,1824,48.7,12418980.89,48.841,16.3347365771577
1200,59,1,2,"No",30,2143,20.32,24379.6,1451.617,10.1015019960098
6e+05,60,1500,2450,"No",95,169,144.51,86704648.43,23.718,18.2780180554231
7500,36,3,8,"No",66,1285,19.28,144607.4,1729.173,11.8817777630544
122000,168,650,1325,"Yes",100,3048,553.35,67508780.37,183.793,18.0277682269387
172000,60,520,597,"No",100,605,187.62,32271029.35,53.724,17.2896804615671
14000,40,65,132,"No",100,1316,512.96,7181507.2,1117.742,15.7870198354296
158000,55,565,1025,"No",100,1950,135.28,21374915.68,50.319,16.877728627984
80000,50,50,31,"No",100,931,33.12,2649803.1,312.367,14.7899958933151
90000,50,250,324,"No",100,1435,257.33,23159661.28,158.3,16.9579225853462
15000,84,30,54,"No",100,3641,284.04,4260629.8,624.954,15.2649275476938
42000,55,91,146,"No",98,2633,286.99,12053461,385.908,16.3048623965782
3650,55,7,8,"No",100,1758,123.91,452273.5,1828.052,13.0220423643177
190000,168,600,500,"No",60,312,367.81,69883542.93,50.319,18.0623407421453
30000,50,50,175,"No",100,4132,179.49,5384610,48.841,15.4990554425516
390000,60,1200,2001,"No",100,3559,163.74,63858671.1,48.841,17.9721829354509
25000,44,50,71,"No",100,1035,128.2,3204948.25,908.283,14.9802065015607
2600,40,7,8,"No",100,1245,113.69,295601.6,1667.755,12.5967678807614
8200,60,8,12,"No",50,603,54.02,442976.1,1868.403,13.0012710972333
76000,60,75,92,"No",100,725,156.66,11906000.4,126.267,16.292553066292
2200,45,7,9,"No",95,1254,106.77,234901.8,1667.755,12.3669228334529
122000,59,500,704,"No",100,1678,250.12,30514820,148.303,17.233723025205
126000,66,350,610,"No",100,1770,258.74,32601153.2,64.479,17.2998582199444
315000,168,1100,2840,"No",100,917,85.82,27033388.75,52.146,17.1125832803538
3300,44,1,1,"No",33,531,65.04,214624.2,1559.829,12.2766438707613
20000,40,65,23,"No",100,3053,118.87,2377311.65,657.711,14.6814808483918
108000,168,175,194,"No",90,1633,327.71,35392965.65,148.303,17.3820236479065
3800,40,8,10,"No",85,2144,109.11,414603,1162.263,12.9350767148477
490000,55,750,1060,"No",75,2435,124.84,61170124.4,48.841,17.9291694648933
166000,46,287,248,"Yes",90,19,235.51,39095100.96,77.392,17.4815077219648
186000,50,338,375,"No",95,2114,213.83,39771869.2,50.319,17.4986704163308
1001,48,8,4,"No",100,4104,163.5,163667.7,48.841,12.0055934317342
71000,40,32,33,"No",100,1336,184.85,13124206.2,9.285,16.389968884613
65000,168,10,13,"No",85,1215,47.38,3079830.81,356.198,14.9403852216228
1600,44,7,4,"No",100,1762,207.87,332598.87,1729.173,12.7146924482607
132000,45,225,280,"No",90,1209,197.64,26088364.58,53.724,17.0769999713613
1100,38,2,3,"No",100,2513,517.79,569567.6,23.718,13.2526327554396
34500,50,82,102,"No",98,814,142.9,4930016.7,1031.346,15.4108529334371
186000,80,200,202,"Yes",72,1933,86.64,16114812,161.867,16.5952494070141
3e+05,70,800,590,"No",50,918,282.29,84687451.45,52.146,18.254477995754
2150,45,5,10,"No",100,1825,130.18,279888,1868.403,12.54214480213
6300,60,5,9,"Yes",100,3574,297.95,1877111.6,1162.263,14.4452447703808
6000,40,2,13,"No",100,1615,92.72,556343.2,1849.185,13.2291406489894
4000,45,6,16,"No",100,1050,189.11,756425.95,1879.456,13.5363599224228
7e+05,168,1500,4170,"No",100,1924,446.73,312711398.74,2.187,19.560791274402
4000,49,6,8,"Yes",100,1422,217.96,871826.9,1807.463,13.6783461740113
7000,80,15,27,"No",100,4119,386.65,2706560.85,624.954,14.8111893278779
7e+05,65,1200,1225,"No",95,1370,211.14,147800229.5,25.323,18.8113721192512
18500,60,25,92,"No",66,905,65.96,1220321.55,1145.08,14.0146249475559
90000,55,40,61,"No",80,1175,70.86,6377847.35,190.59,15.6683411924307
210000,60,350,275,"No",100,1004,159.49,33493455,9.093,17.3268606045731
100001,54,60,70,"No",90,4129,140.01,14001125.6,50.319,16.4546482843476
405000,88,425,825,"No",100,1130,169.85,68787646.37,52.146,18.0465347282054
3000,40,4,8,"No",100,3646,49.63,148892.8,1879.456,11.9109818629026
1400,48,5,5,"No",100,2014,82.7,115780,1667.755,11.659447117633
3300,70,5,6,"Yes",100,3783,320.36,1057201.6,1879.456,13.8711359751428
225000,65,400,821,"No",90,4672,128.59,28932683.7,55.969,17.1804824379454
1600,60,2,7,"No",50,361,52.72,84351.54,1461.857,11.3427483450689
290000,60,350,505,"No",85,1726,240.06,69616650.45,48.841,18.058514327297
78000,45,128,205,"No",85,1178,103.79,8095777.9,19.69,15.9068532368327
60000,40,85,101,"No",100,1468,27.31,1638719.6,1117.742,14.3094257631633
1050,40,2,3,"No",50,1417,175.33,184091.6,1868.403,12.1231887388038
58000,168,120,140,"No",100,1403,155.6,9025059.6,665.409,16.0155156660395
73000,72,400,225,"No",95,3372,143.09,10445542.8,48.841,16.1616859190711
9300,40,30,36,"No",70,1900,75.28,700106.4,1031.346,13.4589876024747
160000,50,300,329,"No",85,1745,99.89,15981693.31,139.17,16.586954457019
4900,98,15,10,"No",100,1096,92.91,455253.05,1145.08,13.028608697183
2000,40,4,3,"No",50,2037,81.93,163859.5,1069.328,12.0067646323058
120000,40,170,385,"No",100,994,137.81,16536908.85,53.724,16.6211053407347
1500,40,2,2,"No",80,1600,64.91,97370,1807.463,11.4862734339728
10000,61,22,15,"No",100,2440,164.39,1643878.6,1879.456,14.3125690075894
47000,60,200,225,"No",100,801,85.67,4026394.4,249.445,15.2083818436227
27500,50,50,64,"Yes",100,3075,196.34,5399284.8,653.843,15.5017770583185
140000,60,300,332,"No",85,1019,160.14,22419743.85,64.022,16.9254525504761
102000,50,300,355,"No",100,935,172.3,17575102.68,148.303,16.6819938380337
16000,168,24,39,"No",100,1232,89.69,1434967.1,1155.428,14.1766524800838
6e+05,67,800,1350,"No",83,1796,141.98,85189623.45,23.718,18.2603901938895
4500,70,13,23,"No",100,2187,138.5,623228.9,1868.403,13.3426691460193
4500,98,6,6,"No",100,2022,219.91,989609.6,23.718,13.8050658009026
5600,56,16,24,"No",100,519,24.92,139577.2,1851.67,11.8463731321894
6000,40,22,24,"No",100,1408,149.73,898402.4,1831.778,13.7083733538187
44500,60,35,101,"No",100,506,234.23,10423377.6,445.923,16.1595616876389
65000,60,100,320,"No",92,818,252.06,16384195.52,52.146,16.6118277403439
5000,45,9,14,"No",90,1633,88.51,442531.6,1807.463,13.0002671533098
5200,45,5,4,"No",30,701,39.02,202895.35,1879.456,12.2204456078578
6300,50,6,5,"No",40,1047,41.56,261847.25,789.937,12.4755165974566
4800,45,13,15,"Yes",70,1449,101.81,488684.35,1484.515,13.099472059009
5000,56,12,10,"Yes",100,497,297.71,1488532.15,1667.755,14.2133010581298
3000,56,13,7,"No",100,2932,204.32,612962,23.718,13.3260582227848
10001,60,20,29,"No",75,1201,188.3,1883174.65,52.146,14.4484695542676
365000,46,350,425,"No",100,4225,245.14,89475420.67,63.074,18.3094745161421
5900,50,7,15,"No",100,1191,238.51,1407208.6,281.109,14.1571185838138
188000,168,650,740,"No",100,1271,231.1,43446399.6,53.724,17.5870385431814
160000,45,175,286,"No",85,532,96.35,15416195.9,125.65,16.5509291965721
22000,60,66,80,"No",100,377,119.45,2628010,751.727,14.7817374637544
320000,55,750,852,"No",100,1337,180.48,57755012.14,23.718,17.8717206939031
17000,65,40,61,"No",100,1599,173.11,2942902.9,657.711,14.8949070331273
7000,40,7,1,"No",40,3510,92.77,649376,1162.263,13.3837671807767
9000,40,14,19,"No",52,371,69.82,628348.88,1461.857,13.3508508325956
80000,168,95,100,"No",100,1439,177.07,14165546.97,61.086,16.4663233046912
43000,50,200,207,"No",50,1090,254.12,10927151.9,281.109,16.2067612498016
152000,55,441,693,"No",100,3183,105.57,16046364.88,50.319,16.5909928946608
3600,40,15,19,"No",30,724,79.34,285625.2,1667.755,12.5624357408492
89000,56,200,182,"No",100,1320,205.38,18278897.7,48.841,16.7212578212968
108000,56,400,351,"No",100,1316,200.4,21642744.9,181.075,16.8901808477063
17000,50,8,10,"No",50,1362,38.73,658447.65,1807.463,13.3976402981442
6000,40,19,19,"No",95,665,106.03,636177.15,1868.403,13.3632323412737
1800,45,3,5,"No",75,990,140.62,253119.3,1484.515,12.4416161980709
1850,40,1,1,"No",100,1442,91.62,169489.6,1667.755,12.0405468469881
1550,50,6,7,"No",100,1490,244.92,379622.95,941.818,12.8469338022676
260000,40,320,474,"No",66,921,192.79,50125504.1,52.146,17.7300405003983
104000,50,225,290,"No",95,2800,181.98,18926187.97,50.319,16.7560571278408
12000,40,19,13,"No",66,899,63.5,761974.15,1130.475,13.5436679102088
20000,40,22,98,"No",100,4283,124.05,2480954,657.711,14.7241537215911
10000,40,5,22,"No",50,2927,268.89,2688885.85,281.109,14.8046374836248
1600,45,3,1,"No",66,987,105.21,168328.65,1879.456,12.0336735974202
2800,40,12,4,"No",100,807,110.04,308115.5,1851.67,12.6382299916608
420000,54,900,1020,"No",100,1643,195.27,82012432.22,23.718,18.2223814061755
6000,45,8,12,"No",50,1606,135.01,810042.8,1130.475,13.6048423647588
1e+05,50,350,375,"No",100,4550,191.16,19116381.2,48.841,16.7660561798917
61000,65,200,300,"No",90,3753,182.37,11124736,281.109,16.2246816553979
43000,55,148,157,"No",45,61,132.24,5686425.15,249.445,15.5535923397661
34000,72,100,21,"No",100,878,339.22,11533589.9,52.146,16.2607741967772
10750,90,50,73,"No",100,1945,321.04,3451182,1130.475,15.0542273390262
1400,50,3,4,"Yes",100,1331,209.91,293878.9,1791.31,12.5909230567028
1100,76,3,6,"No",100,2813,282.58,310836.4,1791.31,12.6470220077351
32500,40,53,58,"No",100,605,119.43,3881468.15,499.12,15.1717240292036
1200,45,5,4,"No",100,1422,177.94,213522.4,1390.874,12.2714970241801
73000,70,85,125,"No",100,1060,147.07,10736345.2,276.953,16.1891452911789
48000,50,155,203,"No",100,1764,115.17,5528280.8,632.517,15.5253874390875
11250,40,50,73,"No",100,2981,192.9,2170177.8,904.018,14.590319657644
1100,40,5,8,"No",100,1780,106.99,117692.4,1807.463,11.6758297202205
90000,40,175,174,"No",100,1035,243.15,21883391.15,647.987,16.9012385120826
40000,68,75,108,"No",100,1468,197.08,7883106,579.248,15.880232546609
74000,53,220,138,"No",100,623,273.55,20242871.95,55.969,16.8233132870803
62000,60,250,255,"No",100,896,80.27,4977005.95,158.3,15.4203390533393
6900,60,20,17,"No",100,1619,201.27,1388780.4,143.946,14.1439365098854
116000,168,300,515,"No",100,3384,132.23,15339240,17.712,16.5459248089994
3500,50,8,11,"No",100,2107,158.3,554043,1791.31,13.2249975800459
70000,45,80,104,"No",80,2233,176.91,12383940.8,653.843,16.3319110944385
96000,60,200,269,"No",85,945,172.48,16557977.21,276.953,16.622378550306
