"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
37500,68,25,28,"No",100,2878
6e+05,72,1500,1726,"No",100,1723
71000,60,124,205,"No",92,1131
395000,66,1100,1415,"No",100,1974
150000,60,200,266,"No",95,1882
16500,45,12,24,"No",100,1569
1e+06,168,3500,4512,"No",100,1238
8e+05,60,2374,3760,"No",100,1839
295000,90,1200,1122,"Yes",85,993
10250,40,14,21,"No",80,909
9900,40,17,17,"No",100,945
1200,40,3,3,"No",80,1818
4950,44,6,8,"No",100,423
3100,168,3,5,"No",100,701
20000,40,20,28,"No",40,2116
160000,40,550,1000,"No",100,258
480000,63,1500,1117,"Yes",85,1078
41000,60,100,133,"No",100,4004
106000,50,275,430,"No",100,1004
2300,55,6,14,"Yes",100,820
6000,81,7,11,"No",75,1450
15000,40,20,33,"No",30,1778
255000,54,354,559,"No",32,1824
1200,59,1,2,"No",30,2143
6e+05,60,1500,2450,"No",95,169
7500,36,3,8,"No",66,1285
122000,168,650,1325,"Yes",100,3048
172000,60,520,597,"No",100,605
14000,40,65,132,"No",100,1316
158000,55,565,1025,"No",100,1950
80000,50,50,31,"No",100,931
90000,50,250,324,"No",100,1435
15000,84,30,54,"No",100,3641
42000,55,91,146,"No",98,2633
3650,55,7,8,"No",100,1758
190000,168,600,500,"No",60,312
30000,50,50,175,"No",100,4132
390000,60,1200,2001,"No",100,3559
25000,44,50,71,"No",100,1035
2600,40,7,8,"No",100,1245
8200,60,8,12,"No",50,603
76000,60,75,92,"No",100,725
2200,45,7,9,"No",95,1254
122000,59,500,704,"No",100,1678
126000,66,350,610,"No",100,1770
315000,168,1100,2840,"No",100,917
3300,44,1,1,"No",33,531
20000,40,65,23,"No",100,3053
108000,168,175,194,"No",90,1633
3800,40,8,10,"No",85,2144
490000,55,750,1060,"No",75,2435
166000,46,287,248,"Yes",90,19
186000,50,338,375,"No",95,2114
1001,48,8,4,"No",100,4104
71000,40,32,33,"No",100,1336
65000,168,10,13,"No",85,1215
1600,44,7,4,"No",100,1762
132000,45,225,280,"No",90,1209
1100,38,2,3,"No",100,2513
34500,50,82,102,"No",98,814
186000,80,200,202,"Yes",72,1933
3e+05,70,800,590,"No",50,918
2150,45,5,10,"No",100,1825
6300,60,5,9,"Yes",100,3574
6000,40,2,13,"No",100,1615
4000,45,6,16,"No",100,1050
7e+05,168,1500,4170,"No",100,1924
4000,49,6,8,"Yes",100,1422
7000,80,15,27,"No",100,4119
7e+05,65,1200,1225,"No",95,1370
18500,60,25,92,"No",66,905
90000,55,40,61,"No",80,1175
210000,60,350,275,"No",100,1004
100001,54,60,70,"No",90,4129
405000,88,425,825,"No",100,1130
3000,40,4,8,"No",100,3646
1400,48,5,5,"No",100,2014
3300,70,5,6,"Yes",100,3783
225000,65,400,821,"No",90,4672
1600,60,2,7,"No",50,361
290000,60,350,505,"No",85,1726
78000,45,128,205,"No",85,1178
60000,40,85,101,"No",100,1468
1050,40,2,3,"No",50,1417
58000,168,120,140,"No",100,1403
73000,72,400,225,"No",95,3372
9300,40,30,36,"No",70,1900
160000,50,300,329,"No",85,1745
4900,98,15,10,"No",100,1096
2000,40,4,3,"No",50,2037
120000,40,170,385,"No",100,994
1500,40,2,2,"No",80,1600
10000,61,22,15,"No",100,2440
47000,60,200,225,"No",100,801
27500,50,50,64,"Yes",100,3075
140000,60,300,332,"No",85,1019
102000,50,300,355,"No",100,935
16000,168,24,39,"No",100,1232
6e+05,67,800,1350,"No",83,1796
4500,70,13,23,"No",100,2187
4500,98,6,6,"No",100,2022
5600,56,16,24,"No",100,519
6000,40,22,24,"No",100,1408
44500,60,35,101,"No",100,506
65000,60,100,320,"No",92,818
5000,45,9,14,"No",90,1633
5200,45,5,4,"No",30,701
6300,50,6,5,"No",40,1047
4800,45,13,15,"Yes",70,1449
5000,56,12,10,"Yes",100,497
3000,56,13,7,"No",100,2932
10001,60,20,29,"No",75,1201
365000,46,350,425,"No",100,4225
5900,50,7,15,"No",100,1191
188000,168,650,740,"No",100,1271
160000,45,175,286,"No",85,532
22000,60,66,80,"No",100,377
320000,55,750,852,"No",100,1337
17000,65,40,61,"No",100,1599
7000,40,7,1,"No",40,3510
9000,40,14,19,"No",52,371
80000,168,95,100,"No",100,1439
43000,50,200,207,"No",50,1090
152000,55,441,693,"No",100,3183
3600,40,15,19,"No",30,724
89000,56,200,182,"No",100,1320
108000,56,400,351,"No",100,1316
17000,50,8,10,"No",50,1362
6000,40,19,19,"No",95,665
1800,45,3,5,"No",75,990
1850,40,1,1,"No",100,1442
1550,50,6,7,"No",100,1490
260000,40,320,474,"No",66,921
104000,50,225,290,"No",95,2800
12000,40,19,13,"No",66,899
20000,40,22,98,"No",100,4283
10000,40,5,22,"No",50,2927
1600,45,3,1,"No",66,987
2800,40,12,4,"No",100,807
420000,54,900,1020,"No",100,1643
6000,45,8,12,"No",50,1606
1e+05,50,350,375,"No",100,4550
61000,65,200,300,"No",90,3753
43000,55,148,157,"No",45,61
34000,72,100,21,"No",100,878
10750,90,50,73,"No",100,1945
1400,50,3,4,"Yes",100,1331
1100,76,3,6,"No",100,2813
32500,40,53,58,"No",100,605
1200,45,5,4,"No",100,1422
73000,70,85,125,"No",100,1060
48000,50,155,203,"No",100,1764
11250,40,50,73,"No",100,2981
1100,40,5,8,"No",100,1780
90000,40,175,174,"No",100,1035
40000,68,75,108,"No",100,1468
74000,53,220,138,"No",100,623
62000,60,250,255,"No",100,896
6900,60,20,17,"No",100,1619
