BBL,StreetNumber,StreetName,Boroguth,ZipCode_ll84,SourceEUI,WeatherNormalizedSourceEUI,ENERGYSTARScore,Reported_Property_FloorArea_Building,DOF_Property_FloorArea_Buildngs_and_Parking,Primary_Property_Type_Self_Selected,DOF_Number_of_Buildings,TotalEnergy,Borough,Block,Lot,ZipCode_pluto,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,YearAlter1,YearAlter2,BldgFront,BldgDepth,AreaUnitPrice
1009970029,1155,AVENUE OF THE AMER,MANHATTAN,10036,166.1,166.8,90,686902,734668,Office,1,122028354.8,MN,997,29,10036,1155 AVENUE OF THE AMER,5,734668,O4,155218950,52650000,33639,1,40,43,0,734668,0,1984,0,0,200,210,211.2776791693663
1013150001,655,3 AVENUE,MANHATTAN,10017,186.8,184.1,86,384432,38e4,Office,1,70984e3,MN,1315,1,10017,655 3 AVENUE,5,380000,O4,55434150,12825000,18993,1,28,92,0,380000,0,1958,0,0,197.5,105,145.87934210526316
1009990019,114,WEST   47 STREET,MANHATTAN,10036,164.6,159.4,84,572369,565e3,Financial Office,1,92999e3,MN,999,19,10036,114 WEST 47 STREET,5,646995,O4,111765150,41400000,26100,1,25,40,0,646995,0,1987,2016,0,125,200,172.74499802935108
1013190047,733,3 AVENUE,MANHATTAN,10017,220.7,215,75,362578,405399,Office,1,89471559.3,MN,1319,47,10017,733 3 AVENUE,5,405399,O4,60392700,11610000,25768,1,23,20,0,405399,0,1960,2004,0,101,237,148.97101374201713
1009950005,1472,BROADWAY,MANHATTAN,10036,287,285.8,61,1601977,1642675,Office,1,471447725,MN,995,5,10036,1472 BROADWAY,5,1642675,O4,400906350,71550000,45800,1,51,2,0,1642675,0,1998,2016,0,0,0,244.05701066857412
1013160001,675,3 AVENUE,MANHATTAN,10017,204.3,201.5,66,752426,289356,Office,1,59115430.8,MN,1316,1,10017,675 3 AVENUE,5,289356,O4,51525450,11925000,18578,1,31,50,0,289356,0,1966,0,0,176,105,178.06940239704724
1012980023,425,LEXINGTON AVENUE,MANHATTAN,10017,225.9,221.5,72,743915,627691,Office,1,141795396.9,MN,1298,23,10017,425 LEXINGTON AVENUE,5,627691,O4,189383400,35820000,35145,1,31,42,0,627691,0,1987,0,0,198,182,301.71437857162203
1000480001,140,BROADWAY,MANHATTAN,10005,269.1,264.5,68,1272119,1141266,Office,1,307114680.6,MN,48,1,10005,140 BROADWAY,5,1141276,O4,139710150,23670000,52636,1,50,78,0,1141276,0,1967,1984,0,84,210,122.41574343103684
1008560024,380,PARK AVENUE SOUTH,MANHATTAN,10010,215.7,211.3,78,1513807,1159795,Office,1,250167781.5,MN,856,24,10010,380 PARK AVENUE SOUTH,5,1159795,O4,147045150,35100000,83937,1,34,32,0,1159795,0,1929,2011,0,198,425,126.78546639707879
1000350010,111,WALL STREET,MANHATTAN,10005,176.5,173.4,,893647,990250,Office,1,174779125,MN,35,10,10005,111 WALL STREET,5,990250,O4,82602450,37575000,48741,1,24,2,0,990250,0,1968,2008,0,215,232,83.41575359757637
1009960029,1133,AVENUE OF THE AMER,MANHATTAN,10036,243.8,241.2,76,977035,1039529,Office,2,253437170.2,MN,996,29,10036,1133 AVENUE OF THE AMER,5,1039529,O4,151648200,60300000,42050,2,44,44,0,1039529,0,1968,2015,0,201,243,145.88164447552688
5024000210,140,MARSH AVENUE,STATEN ISLAND,10314,150.2,149.3,76,179200,179200,Retail Store,1,26915840,SI,2400,210,10314,140 MARSH AVENUE,5,179200,K3,6781950,5895000,569556,2,2,1,0,179200,0,1993,0,0,268,350,37.845703125
2051410003,100,BAYCHESTER AVENUE,BRONX,10475,157.3,156.2,85,166320,170513,Retail Store,1,26821694.9,BX,5141,3,10475,100 BAYCHESTER AVENUE,5,170513,K3,17239050,804600,168030,1,3,1,0,170513,0,1996,0,0,250,225,101.10108906652279
4018600102,92-59,59 AVENUE,QUEENS,11373,179,178.9,80,204340,202383,Retail Store,1,36226557,QN,1860,102,11373,92-59 59 AVENUE,5,202383,K3,11708550,3627900,82267,1,3,1,0,202383,0,2004,2013,0,365,224,57.853426424156176
1013030033,776,3 AVENUE,MANHATTAN,10017,210.5,207.5,79,487501,490020,Financial Office,1,103149210,MN,1303,33,10017,776 3 AVENUE,5,490020,O4,78034500,16065000,22083,1,50,80,0,490020,0,1983,0,0,120,198,159.2475817313579
4093640010,89-10,VAN WYCK EXPWY SR W,QUEENS,11418,48.6,,100,131610,484470,Hospital (General Medical & Surgical),2,23545242,QN,9364,10,11418,89-10 VAN WYCK EXPRESSWAY,8,484470,I1,60785550,1518300,108138,3,8,1,0,484470,0,1987,1994,0,75,239,125.46814044213264
1012617501,1166,AVENUE OF THE AMER,MANHATTAN,10036,228,227.3,63,1797825,1529036,Office,1,348620208,MN,1261,7501,10036,1166 AVENUE OF THE AMER,5,1204839,RC,305730451,46439908,59873,2,44,46,0,1204839,0,1975,1988,0,0,0,253.75212040778894
1013000033,730,3 AVENUE,MANHATTAN,10017,227.7,226.1,84,627731,665110,Office,1,151445547,MN,1300,33,10017,730 3 AVENUE,5,665110,O4,93933000,21960000,38168,2,28,8,0,665110,0,1959,1989,1992,200,240,141.22927034625852
1012870021,477,MADISON AVENUE,MANHATTAN,10022,103.2,,97,307384,262287,Office,1,27068018.4,MN,1287,21,10022,477 MADISON AVENUE,5,262287,O4,46388700,10665000,15062,1,23,39,0,262287,0,1954,0,0,96,150,176.86236832172392
1013090001,405,PARK AVENUE,MANHATTAN,10022,188.8,,71,161427,136044,Office,1,25685107.2,MN,1309,1,10022,405 PARK AVENUE,5,174804,O6,36512100,6975000,9037,1,17,29,0,174804,0,1958,0,0,100.42,90,208.87451088075787
1008547501,11,MADISON AVENUE,MANHATTAN,10010,203.6,201.9,90,2613986,1587500,Office,1,323215e3,MN,854,7501,10010,11 MADISON AVENUE,5,1630256,RB,215843848,57554997,83937,1,30,36,0,1630256,0,1932,0,0,0,0,132.3987447370229
1010277504,230,WEST   56 STREET,MANHATTAN,10019,224.7,223.9,71,651851,2e5,Office,1,4494e4,MN,1027,7504,10019,230 WEST 56 STREET,3,181683,R4,28364854,4295700,30367,1,53,107,107,0,181683,2002,0,0,0,0,156.12277428267916
1014610013,425,EAST   66 STREET,MANHATTAN,10065,932.3,922.7,,327993,228637,Laboratory,1,213158275.1,MN,1461,13,10065,425 EAST 66 STREET,8,228637,I9,51538950,7133400,28119,1,16,0,0,228637,0,1987,0,0,40,87.42,225.41823939257426
1012890014,512,MADISON AVENUE,MANHATTAN,10022,229.8,,74,1027741,916586,Financial Office,1,210631462.8,MN,1289,14,10022,512 MADISON AVENUE,5,1015287,O4,322998750,38475000,43532,1,43,29,0,1015287,0,1982,0,0,179,230,318.1354139272935
1000627501,1,LIBERTY PLAZA,MANHATTAN,10006,261.3,259.4,84,2342856,2139035,Office,1,558929845.5,MN,62,7501,10006,1 LIBERTY PLAZA,5,1690747,RB,293783850,69750000,95348,1,54,17,0,1690747,0,1973,0,0,0,0,173.75979374797058
1000047501,1,WATER STREET,MANHATTAN,10004,358.8,358.8,61,2428325,2542563,Office,1,912271604.4,MN,4,7501,10004,1 WATER STREET,5,1888126,RC,224988302,47407500,111382,1,50,52,0,1888126,0,1969,0,0,0,0,119.15958045172833
1013010001,245,PARK AVENUE,MANHATTAN,10017,273.9,271.1,77,1592125,1586886,Office,1,434648075.4,MN,1301,1,10017,245 PARK AVENUE,5,1586876,O4,495489600,50400000,81336,1,45,35,0,1586876,0,1966,2000,2011,168,358,312.242166369647
1012760058,300,MADISON AVENUE,MANHATTAN,10017,329.9,328.1,79,1071012,1142417,Office,1,376883368.3,MN,1276,58,10017,300 MADISON AVENUE,5,1142417,O4,285318000,40491900,45839,1,36,2,0,1142417,0,2002,0,0,254,198,249.7494347510585
1000160120,200,LIBERTY STREET,MANHATTAN,10281,230.9,229.5,79,1485610,1501878,Office,1,346783630.2,MN,16,120,10281,200 LIBERTY STREET,5,1501878,O4,164164500,67050000,94530,1,40,1,0,1501878,0,1986,2015,0,112,112,109.30614870182532
1000160125,225,LIBERTY STREET,MANHATTAN,10280,191.3,189.6,75,2158767,2267925,Office,1,433854052.5,MN,16,125,10007,225 LIBERTY STREET,5,2267925,O4,218964600,76950450,199346,2,44,1,0,2267925,0,1987,2015,0,125,125,96.54843083435298
1000160150,250,VESEY STREET,MANHATTAN,10281,171.3,170.8,80,1981198,2084079,Office,1,357002732.7,MN,16,150,10281,250 VESEY STREET,5,2084079,O4,210534300,46350000,103028,1,34,1,0,2084079,0,1986,0,0,125,125,101.02030681178593
1007830070,206,WEST   34 STREET,MANHATTAN,10001,264.3,263.7,59,2486762,2689635,Office,4,710870530.5,MN,783,70,10001,250 WEST 34 STREET,5,2689635,O4,386906400,51749550,127966,3,57,451,0,2689635,0,1972,0,0,647,197,143.85089426632237
