SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
358.8,0,5,1000047501,20.6314483155436,2542563,RC,190337847,47407495,1888126,111382,1,50,52,0,1888126,0,1969,,,100.80780996607218
212.9,0,5,1000050010,19.1926060054979,1016406,O4,61222500,2088e4,1016406,54023,1,22,1,0,1016406,0,1969,147.83,275.75,60.23429613756707
224.8,0,5,1000057501,19.534295060029,1354691,RB,131076901,30960001,1024229,54023,1,40,7,0,1024229,0,1970,,,127.97616646277346
167.3,2007,4,1000087501,17.1578034835179,169061,RM,16133400,3528e3,169061,9053,1,19,98,97,42641,126420,1985,106,91,95.42946037229166
203.9,1988,5,1000090001,18.964742885468,845018,O4,114059250,23895e3,845018,29481,1,32,9,0,845018,0,1970,210,146,134.97848566539412
281,0,5,1000090029,19.3451167567747,896956,O4,68544450,3528e4,896956,39985,1,35,9,0,896956,0,1971,131,316,76.41896592474993
320.3,2003,5,1000100014,18.5790782014406,365792,O4,39331350,7875e3,365792,13214,1,30,15,0,365792,0,1986,58,160,107.5238113463389
223.3,1989,5,1000100023,18.0908043496587,321994,O3,24640200,72e5,321994,18729,1,21,20,0,321994,0,1962,122,162,76.52378615750604
93.9,1989,3,1000110014,15.3893708873803,51387,D4,6048450,760500,51387,2907,1,19,21,20,2300,49087,1909,53,56,117.70389398096795
163.6,1982,5,1000130001,17.2017190182352,180646,O3,16717500,4905e3,180646,17025,1,14,28,0,180646,0,1900,96.33,171.33,92.54287390808543
235.2,1920,5,1000130005,18.4417428131127,434220,O3,26107650,5625e3,434220,28814,1,22,50,0,434220,0,1900,152,200,60.12539726405969
252.7,0,3,1000150022,18.2563132150825,335746,D8,26322300,3433500,335746,13465,1,31,295,293,4e3,331746,1931,75,179.42,78.39944481840439
160.1,1998,4,1000157501,19.229800802822002,1402830,RM,104241600,15867e3,1257274,64633,2,31,601,500,810892,446382,1902,,,82.91080544097787
165.8,2004,4,1000157502,17.5756589766323,259076,RM,27791116,3150004,178748,13928,1,45,284,283,1e4,168748,1930,76.67,179.58,155.476514422539
92.7,0,3,1000160015,16.9142774418542,239165,D8,19073250,558e4,239165,31141,1,9,209,208,8400,230765,1998,198,140,79.74933623230824
97.8,0,3,1000160020,16.9320840661136,230766,D8,17267850,5355e3,230765,29700,1,9,210,209,0,230765,1998,,,74.82872185990077
0.9,0,4,1000160100,14.3422836816806,1881621,D6,156579750,39734550,1881621,220732,6,5,1722,1712,153929,1727692,1983,257,110,83.21534995623455
230.9,0,5,1000160120,19.6642115993344,1501878,O4,149351400,6705e4,1501878,94530,1,39,1,0,1501878,0,1986,112,112,99.4430972422527
191.3,0,5,1000160125,19.8882187509461,2267925,O4,200118600,76950450,2267925,199346,2,43,1,0,2267925,0,1987,125,125,88.23863222990178
219.1,0,5,1000160140,20.015909463453,2249866,O4,197229600,3852e4,2249866,82617,1,50,1,0,2249866,0,1986,125,125,87.66282080799479
171.3,0,5,1000160150,19.6932539943365,2084079,O4,205132500,4635e4,2084079,103028,1,33,1,0,2084079,0,1986,125,125,98.42837051762433
182,0,3,1000160180,17.9888981283268,356786,D8,54317250,3073500,356786,16653,1,27,294,293,21847,334939,2002,71,121,152.2404186262914
151.5,0,3,1000160185,17.5564726785796,278142,D8,41580450,2601e3,278141,14451,1,24,256,253,2e3,276141,2004,196,70,149.49414146062608
83.1,0,3,1000160190,17.1314277904695,331500,D8,40426200,1921500,331500,14500,1,26,324,324,0,331500,2000,,,121.94932126696833
177.7,0,3,1000160195,17.9641385670256,356483,D8,48060900,45e5,356483,18270,1,24,276,274,0,356483,2004,,,134.8196127164549
155.5,0,3,1000160200,18.1364859173181,484e3,D8,51670800,6075e3,484e3,38225,2,27,400,396,0,484e3,1998,202,,106.75785123966942
132.1,0,3,1000160210,17.6690502722901,357e3,D8,38281050,2304e3,357e3,10292,1,42,341,340,1e3,356e3,1998,,,107.22983193277311
264,0,5,1000160225,18.7023045018202,502e3,O4,64243800,1188e4,502e3,42342,1,17,1,0,502e3,0,1997,286,155,127.97569721115538
277.5,0,5,1000160260,20.2081300753672,2152863,O4,307721250,52420950,2152863,97076,1,44,1,0,2152863,0,2006,200,400,142.9358254566129
127.3,0,4,1000167501,17.1516542031215,220821,RM,27419860,5089058,178580,16951,1,25,239,238,1092,177488,1985,,,153.54384589539703
94.2,0,3,1000167502,16.469494571129,150855,R4,16793997,3560397,123284,27838,1,15,133,133,11136,112148,1986,287,100,136.22203205606567
129.4,0,4,1000167503,16.4345932009106,106052,RM,13918104,2550162,86763,12644,1,17,110,109,1052,85711,1985,,,160.41520002766157
146.6,0,4,1000167504,16.4147921015447,91774,RM,11573563,2941199,72913,16108,1,9,110,107,4295,68618,1986,,,158.73113162261873
173.1,0,4,1000167505,17.6110587386549,257092,RM,34933501,6131696,203837,23910,1,26,247,246,1177,202660,1987,,,171.3795876116701
138.1,0,4,1000167506,16.5051076156073,106631,RM,12542853,2378706,81667,15e3,1,9,122,121,502,81165,1985,,,153.5853282231501
106.8,0,4,1000167507,16.4398890210876,129176,RM,16750363,3386263,106271,25978,1,9,154,153,3168,103103,1986,,,157.61932229865155
150.3,0,4,1000167508,18.3021605989476,590974,RM,58560461,11232011,428589,37248,1,44,547,545,4750,423839,1987,,,136.63547361224857
188,0,4,1000167509,17.6133959750115,237270,RM,27600309,6346807,194762,45203,1,9,184,182,32279,162483,1988,,,141.71300869779526
135.7,0,4,1000167510,17.6731390884694,348953,RM,37542605,5982742,251350,24167,1,28,294,293,6885,244465,1988,,,149.36385518201712
198.4,0,4,1000167511,17.4412308911306,189273,RM,22369945,3560392,157584,29850,2,9,165,163,33013,124571,1990,,,141.9556871255965
263,0,5,1000167512,18.9440006066265,641681,RC,85399200,8063550,215884,79338,1,14,2,0,215884,0,1988,,,395.5791072983639
68.1,0,4,1000167513,17.4608391413097,562340,RM,94399835,7768796,523677,46266,6,38,117,115,294617,229060,2003,,,180.26347347697148
148.4,0,4,1000167514,17.9822767379101,434680,RM,44238605,4495502,344863,20763,1,35,234,233,2856,342007,2006,202,102,128.27878026926635
