PropertyId,PropertyName,BBL10digits,PostalCode,StreetNumber,StreetName,Borough_ll84,DOFGrossFloorArea,PrimaryPropertyTypeSelfSelected,ListofAllPropertyUseTypesatProperty,LargestPropertyUseType,LargestPropertyUseTypeGrossFloorArea,X2ndLargestPropertyUseType,X2ndLargestPropertyUseGrossFloorArea,X3rdLargestPropertyUseType,X3rdLargestPropertyUseTypeGrossFloorArea,YearBuilt_ll84,NumberofBuildingsSelfreported,Occupancy,MeteredAreas.Energy.,ENERGYSTARScore,WeatherNormalizedSiteElectricity_kWh,SourceEUI,SiteEUI,BBL,Borough_pluto,Block,Lot,ZipCode,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt_pluto,YearAlter1,YearAlter2,BldgFront,BldgDepth
13286,201/205,1013160001,10017,675,3 AVENUE,Manhattan,289356,Office,Office,Office,293447,,,,,1963,2,100,Whole Building,,11082770.5,619.4,305.6,1013160001,MN,1316,1,10017,675 3 AVENUE,5,289356,O4,49459500,11925000,18578,1,31,50,0,289356,0,1966,0,0,176,105
28400,NYP Columbia (West Campus),1021380040,10032,180,FT WASHINGTON AVENUE,Manhattan,3693539,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),3889181,,,,,1969,12,100,Whole Building,55,96261312.1,404.3,229.8,1021380040,MN,2138,40,10032,180 FT WASHINGTON AVENUE,8,3693539,I1,335164050,5849550,364433,6,22,0,0,3693539,0,1930,1987,1997,0,310
4778226,MSCHoNY North,1021380030,10032,3975,BROADWAY,Manhattan,152765,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342,,,,,1924,1,100,,,,,,1021380030,MN,2138,30,10032,3975 BROADWAY,8,152765,I1,16604100,900000,16922,1,12,1,0,152765,0,1944,0,0,170,125
4778267,Herbert Irving Pavilion & Millstein Hospital,1021390001,10032,161,FT WASHINGTON AVENUE,Manhattan,891040,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748,,,,,1971,1,100,,,,,,1021390001,MN,2139,1,10032,161 FT WASHINGTON AVENUE,8,891040,I1,98439750,8550000,245035,2,14,1,0,891040,0,1989,1997,0,160,145
4778288,Neuro Institute,1021390085,10032,193,FT WASHINGTON AVENUE,Manhattan,211400,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694,,,,,1932,1,100,,,,,,1021390085,MN,2139,85,10032,193 FT WASHINGTON AVENUE,8,211400,I1,7555050,1125000,33500,1,16,0,0,211400,0,1948,0,0,110,163
28402,NYP Cornell (East Campus),1014800001,10021,1176,YORK AVENUE,Manhattan,2230742,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),2971874,,,,,1932,12,100,Whole Building,55,24550859.4,414.2,359.9,1014800001,MN,1480,1,10065,1176 YORK AVENUE,8,2230742,I9,250869150,52150050,275925,9,27,1,0,2230742,0,1956,0,0,461.67,583.08
4778352,Annex Building & Garage,1014820040,10021,512,EAST 71 STREET,Manhattan,245000,Mixed Use Property,Other,Other,245000,,,,,1932,1,60,,,,,,1014820040,MN,1482,40,10021,512 EAST 71 STREET,8,245000,I9,27729900,11970000,58880,1,10,3,0,245000,0,1930,1988,0,303,192
2610789,North Shore Towers,4084890001,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Other - Public Services, Other - Recreation, Other - Services, Parking, Restaurant, Retail Store, Social/Meeting Hall, Supermarket/Grocery Store, Swimming Pool",Multifamily Housing,2400000,Parking,900000,Other,230200,1974,4,100,Whole Building,,,151172.9,143974.4,4084890001,QN,8489,1,11005,269 GRAND CENTRAL PKWY,3,3750565,D4,179244900,107561700,4228300,10,34,1866,1844,1060000,2690565,1972,2011,0,410,73
2611745,Towers Golf Course and Irrigation Wells,4084890001,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Other,Other,Other,200,,,,,1974,1,100,Whole Building,,63979.9,3574.2,1138.3,4084890001,QN,8489,1,11005,269 GRAND CENTRAL PKWY,3,3750565,D4,179244900,107561700,4228300,10,34,1866,1844,1060000,2690565,1972,2011,0,410,73
3616379,North Shore Towers Bld 1,4084890001,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,,,,,1974,1,100,Whole Building,,,,,4084890001,QN,8489,1,11005,269 GRAND CENTRAL PKWY,3,3750565,D4,179244900,107561700,4228300,10,34,1866,1844,1060000,2690565,1972,2011,0,410,73
5870374,North Shore Towers Bld 2,4084890001,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,,,,,1974,1,100,Whole Building,,,,,4084890001,QN,8489,1,11005,269 GRAND CENTRAL PKWY,3,3750565,D4,179244900,107561700,4228300,10,34,1866,1844,1060000,2690565,1972,2011,0,410,73
5870375,North Shore Towers Bld 3,4084890001,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,,,,,1974,1,100,Whole Building,,,,,4084890001,QN,8489,1,11005,269 GRAND CENTRAL PKWY,3,3750565,D4,179244900,107561700,4228300,10,34,1866,1844,1060000,2690565,1972,2011,0,410,73
2637863,Cadman Towers,3002320001;3002380035,11201,,,,,Multifamily Housing,"Multifamily Housing, Other, Parking",Multifamily Housing,412503,Other,20000,Parking,18800,1903,2,100,Whole Building,93,3249755.2,87.9,32,3002320001;3002380035,,,,,,,,,,,,,,,,,,,,,,
