"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",104,8,8,0.394,0.35,18461.819,135.874,93.618,0.591
"R21","C1",1,"Reg","SiteEnergy",104,8,8,0.942,0.938,1091116477636137,33032052.277,16877443.772,22.42
"R27","C2",2,"RegInt","SourceEUI",104,24,29,0.594,0.477,12373.916,111.238,69.623,0.495
"R216","C2",2,"RegInt","SiteEnergy",104,24,29,0.992,0.99,147414412666168,12141433.715,6587239.057,7.032
"R22","C2",3,"RegInt","SourceEUI",104,42,64,0.686,0.478,9565.375,97.803,56.041,0.294
"R211","C2",3,"RegInt","SiteEnergy",104,42,64,0.994,0.991,104793119405764,10236851.049,5447495.087,6.192
"R23","C2",4,"RegInt","SourceEUI",104,49,99,0.711,0.458,8816.814,93.898,50.143,0.261
"R212","C2",4,"RegInt","SiteEnergy",104,49,99,0.995,0.99,95731891920040.6,9784267.572,4576572.953,4.241
"R24","C2",5,"RegInt","SourceEUI",104,50,120,0.712,0.451,8760.304,93.596,49.533,0.257
"R213","C2",5,"RegInt","SiteEnergy",104,50,120,0.995,0.99,95564971884803.7,9775733.828,4534464.557,4.026
"R25","C2",6,"RegInt","SourceEUI",104,50,127,0.712,0.451,8760.304,93.596,49.533,0.257
"R214","C2",6,"RegInt","SiteEnergy",104,50,127,0.995,0.99,95564971884803.7,9775733.828,4534464.557,4.026
"R26","C2",7,"RegInt","SourceEUI",104,50,128,0.712,0.451,8760.304,93.596,49.533,0.257
"R215","C2",7,"RegInt","SiteEnergy",104,50,128,0.995,0.99,95564971884803.7,9775733.828,4534464.557,4.026
"R28","C3a",1,"rpart","SourceEUI",104,5,5,0.489,0.468,15575.728,124.803,81.26,0.624
"R217","C3a",1,"rpart","SiteEnergy",104,6,6,0.429,0.4,10758707436424392,103724189.254,30071732.131,0.954
"R29","C3b",1,"xgboost","SourceEUI",104,7,7,0.747,0.731,5752.844,75.848,48.035,0.389
"R218","E3b",1,"xgboost","SiteEnergy",104,7,7,1,1,16699706274.638,129227.343,96383.975,0.222
