"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",185,8,8,0.042,0.004,5720.978,75.637,56.859,0.318,84.605,16.096,32.652
"C1",1,"Reg","SourceEnergy",185,8,8,0.872,0.867,189266719514773,13757424.16,9132875.163,0.324,36.727,6.093,32.736
"C2",2,"RegInt","SourceEUI",185,29,29,0.209,0.066,4728.072,68.761,50.826,0.274,76.914,14.633,29.683
"C2",2,"RegInt","SourceEnergy",185,29,29,0.905,0.888,139939555486193,11829605.044,7682773.832,0.29,31.58,5.239,28.148
"C2",3,"RegInt","SourceEUI",185,62,64,0.435,0.155,3374.483,58.09,39.984,0.211,64.978,12.362,25.077
"C2",3,"RegInt","SourceEnergy",185,62,64,0.942,0.914,85283335606849.3,9234897.704,5883570.435,0.223,24.653,4.09,21.974
"C2",4,"RegInt","SourceEUI",185,72,99,0.533,0.24,2789.908,52.82,33.721,0.18,59.083,11.241,22.802
"C2",4,"RegInt","SourceEnergy",185,72,99,0.951,0.92,72832538375261.1,8534198.168,5171369.492,0.199,22.783,3.779,20.307
"C2",5,"RegInt","SourceEUI",185,73,120,0.538,0.241,2760.816,52.543,33.325,0.179,58.773,11.182,22.682
"C2",5,"RegInt","SourceEnergy",185,73,120,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196,22.614,3.751,20.156
"C2",6,"RegInt","SourceEUI",185,73,127,0.538,0.241,2760.816,52.543,33.325,0.179,58.773,11.182,22.682
"C2",6,"RegInt","SourceEnergy",185,73,127,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196,22.614,3.751,20.156
"C2",7,"RegInt","SourceEUI",185,73,128,0.538,0.241,2760.816,52.543,33.325,0.179,58.773,11.182,22.682
"C2",7,"RegInt","SourceEnergy",185,73,128,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196,22.614,3.751,20.156
"C3a",1,"rpart","SourceEUI",185,0,0,0,0.005,5973.637,77.289,57.943,0.325,86.453,16.448,33.365
"C3a",1,"rpart","SourceEnergy",185,7,7,0.867,0.863,196175262148954,14006257.964,8819427.715,0.287,37.391,6.203,33.328
"C3b",1,"xgboost_default","SourceEUI",185,7,7,0.134,0.105,4549.335,67.449,50.845,0.282,75.446,14.354,29.117
"C3b",1,"xgboost_default","SourceEnergy",185,7,7,0.958,0.957,59504157189296.7,7713893.776,5493611.836,0.234,20.593,3.416,18.355
"C3b",1,"xgboost_random","SourceEUI",185,5,5,0.111,0.092,4993.493,70.665,53.558,0.298,79.044,15.038,30.505
"C3b",1,"xgboost_random","SourceEnergy",185,7,7,0.999,0.999,905632424486.773,951647.216,481915.253,0.016,2.541,0.421,2.264
