"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",8080,8,8,0.074,0.073,1454.775,38.142,28.419,0.274,85.857,14.28,30.72
"C1",1,"Reg","SourceEnergy",8080,8,8,0.838,0.838,81088534742665.1,9004917.254,4411131.024,0.294,86.142,2.496,51.597
"C2",2,"RegInt","SourceEUI",8080,29,29,0.091,0.088,1426.952,37.775,27.997,0.27,85.031,14.143,30.425
"C2",2,"RegInt","SourceEnergy",8080,29,29,0.858,0.857,71381893418505.7,8448780.588,4056033.774,0.271,80.822,2.342,48.411
"C2",3,"RegInt","SourceEUI",8080,64,64,0.105,0.098,1405.214,37.486,27.76,0.268,84.38,14.034,30.192
"C2",3,"RegInt","SourceEnergy",8080,64,64,0.871,0.87,64751120172510.1,8046808.074,3986828.162,0.273,76.976,2.23,46.107
"C2",4,"RegInt","SourceEUI",8080,99,99,0.113,0.102,1392.9,37.322,27.61,0.266,84.011,13.973,30.06
"C2",4,"RegInt","SourceEnergy",8080,99,99,0.877,0.876,61675055039098.9,7853346.741,3920871.988,0.271,75.126,2.176,44.999
"C2",5,"RegInt","SourceEUI",8080,120,120,0.117,0.104,1386.959,37.242,27.537,0.266,83.831,13.943,29.995
"C2",5,"RegInt","SourceEnergy",8080,120,120,0.881,0.879,59736045046401.8,7728909.693,3906927.373,0.271,73.935,2.142,44.286
"C2",6,"RegInt","SourceEUI",8080,127,127,0.117,0.103,1386.005,37.229,27.521,0.266,83.802,13.938,29.985
"C2",6,"RegInt","SourceEnergy",8080,127,127,0.881,0.879,59499324349496.5,7713580.514,3885974.213,0.27,73.789,2.138,44.198
"C2",7,"RegInt","SourceEUI",8080,128,128,0.117,0.103,1385.996,37.229,27.521,0.266,83.802,13.938,29.985
"C2",7,"RegInt","SourceEnergy",8080,128,128,0.881,0.879,59499324250502.6,7713580.508,3885971.151,0.27,73.789,2.138,44.198
"C3a",1,"rpart","SourceEUI",8080,6,6,0.075,0.075,1452.492,38.112,28.34,0.274,85.79,14.269,30.696
"C3a",1,"rpart","SourceEnergy",8080,7,7,0.895,0.895,52452932558308,7242439.683,3296289.912,0.216,69.282,2.007,41.498
"C3b",1,"xgboost_default","SourceEUI",8080,7,7,0.17,0.17,1200.698,34.651,25.613,0.248,77.999,12.973,27.908
"C3b",1,"xgboost_default","SourceEnergy",8080,7,7,0.923,0.923,37504115953955,6124060.414,3526577.6,0.263,58.583,1.697,35.09
"C3b",1,"xgboost_random","SourceEUI",8080,7,7,0.141,0.14,1236.223,35.16,25.952,0.251,79.145,13.164,28.318
"C3b",1,"xgboost_random","SourceEnergy",8080,7,7,0.991,0.991,4617667300593.21,2148875.823,1179791.333,0.123,20.556,0.596,12.313
