"exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1",1,"Reg","SourceEUI",1065,8,8,0.086,0.08,5363.158,73.234,52.604,0.42,89.31,12.153,40.216
"C1",1,"Reg","SourceEnergy",1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466,51.316,6.224,48.677
"C2",2,"RegInt","SourceEUI",1065,29,29,0.105,0.081,5251.54,72.468,51.615,0.412,88.376,12.026,39.796
"C2",2,"RegInt","SourceEnergy",1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439,50.594,6.136,47.993
"C2",3,"RegInt","SourceEUI",1065,59,64,0.134,0.084,5086.054,71.317,50.46,0.401,86.972,11.835,39.164
"C2",3,"RegInt","SourceEnergy",1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433,49.072,5.952,46.549
"C2",4,"RegInt","SourceEUI",1065,78,99,0.155,0.089,4961.306,70.437,49.534,0.391,85.899,11.689,38.68
"C2",4,"RegInt","SourceEnergy",1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423,48.069,5.83,45.597
"C2",5,"RegInt","SourceEUI",1065,84,120,0.158,0.087,4942.368,70.302,49.171,0.385,85.734,11.666,38.606
"C2",5,"RegInt","SourceEnergy",1065,84,120,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406,47.714,5.787,45.261
"C2",6,"RegInt","SourceEUI",1065,84,127,0.158,0.087,4942.368,70.302,49.171,0.385,85.734,11.666,38.606
"C2",6,"RegInt","SourceEnergy",1065,84,127,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406,47.714,5.787,45.261
"C2",7,"RegInt","SourceEUI",1065,84,128,0.158,0.087,4942.368,70.302,49.171,0.385,85.734,11.666,38.606
"C2",7,"RegInt","SourceEnergy",1065,84,128,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406,47.714,5.787,45.261
"C3a",1,"rpart","SourceEUI",1065,7,7,0.11,0.105,5223.986,72.277,52.231,0.413,88.143,11.994,39.691
"C3a",1,"rpart","SourceEnergy",1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52,52.735,6.396,50.024
"C3b",1,"xgboost_default","SourceEUI",1065,7,7,0.12,0.115,4982.22,70.585,50.549,0.399,86.079,11.713,38.762
"C3b",1,"xgboost_default","SourceEnergy",1065,6,6,0.845,0.845,412000239168135,20297789.022,11265904.784,0.455,47.504,5.761,45.061
"C3b",1,"xgboost_random","SourceEUI",1065,7,7,0.711,0.709,1247.68,35.323,25.469,0.195,43.077,5.862,19.398
"C3b",1,"xgboost_random","SourceEnergy",1065,7,7,0.893,0.893,282066484984129,16794835.069,10438389.439,0.477,39.306,4.767,37.284
