"btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"office","R2","C1",1,"Reg","SourceEUI",1065,8,8,0.086,0.08,5363.158,73.234,52.604,0.42
"office","R21","C1",1,"Reg","SourceEnergy",1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466
"office","R27","C2",2,"RegInt","SourceEUI",1065,29,29,0.105,0.081,5251.54,72.468,51.615,0.412
"office","R216","C2",2,"RegInt","SourceEnergy",1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439
"office","R22","C2",3,"RegInt","SourceEUI",1065,59,64,0.134,0.084,5086.054,71.317,50.46,0.401
"office","R211","C2",3,"RegInt","SourceEnergy",1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433
"office","R23","C2",4,"RegInt","SourceEUI",1065,78,99,0.155,0.089,4961.306,70.437,49.534,0.391
"office","R212","C2",4,"RegInt","SourceEnergy",1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423
"office","R24","C2",5,"RegInt","SourceEUI",1065,84,120,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R213","C2",5,"RegInt","SourceEnergy",1065,84,120,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R25","C2",6,"RegInt","SourceEUI",1065,84,127,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R214","C2",6,"RegInt","SourceEnergy",1065,84,127,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R26","C2",7,"RegInt","SourceEUI",1065,84,128,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R215","C2",7,"RegInt","SourceEnergy",1065,84,128,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R28","C3a",1,"rpart","SourceEUI",1065,7,7,0.11,0.105,5223.986,72.277,52.231,0.413
"office","R217","C3a",1,"rpart","SourceEnergy",1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52
"office","R29","C3b",1,"xgboost_default","SourceEUI",1065,7,7,0.12,0.115,4977.426,70.551,50.675,0.4
"office","R218","C3b",1,"xgboost_default","SourceEnergy",1065,6,6,0.836,0.835,434785022974969,20851499.298,11352993.122,0.452
"office","R210","C3b",1,"xgboost_random","SourceEUI",1065,7,7,0.696,0.694,1355.331,36.815,27.146,0.204
"office","R219","C3b",1,"xgboost_random","SourceEnergy",1065,7,7,0.929,0.929,182142929101469,13496033.829,8222850.451,0.359
"retail","R2","C1",1,"Reg","SourceEUI",1065,8,8,0.086,0.08,5363.158,73.234,52.604,0.42
"retail","R21","C1",1,"Reg","SourceEnergy",1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466
"retail","R27","C2",2,"RegInt","SourceEUI",1065,29,29,0.105,0.081,5251.54,72.468,51.615,0.412
"retail","R216","C2",2,"RegInt","SourceEnergy",1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439
"retail","R22","C2",3,"RegInt","SourceEUI",1065,59,64,0.134,0.084,5086.054,71.317,50.46,0.401
"retail","R211","C2",3,"RegInt","SourceEnergy",1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433
"retail","R23","C2",4,"RegInt","SourceEUI",1065,78,99,0.155,0.089,4961.306,70.437,49.534,0.391
"retail","R212","C2",4,"RegInt","SourceEnergy",1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423
