"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",112,8,8,0.24,0.188,2832.197,53.218,40.073,0.334,69.407,19.317,38.4
"C1","SourceEUI","Reg_AIC",1,"meanCent",112,6,6,0.231,0.194,2865.782,53.533,40.589,0.339,69.818,19.431,38.627
"C1","SourceEnergy","Reg",1,"meanCent",112,8,8,0.681,0.659,25489297228976.8,5048692.626,3659108.775,1.016,54.471,10.986,48.832
"C1","SourceEnergy","Reg_AIC",1,"meanCent",112,3,3,0.669,0.663,26431199157828.9,5141128.199,3718099.524,1.15,55.469,11.188,49.726
"C2","SourceEUI","Reg_Int",2,"meanCent",112,26,29,0.387,0.208,2284.002,47.791,36.678,0.311,62.329,17.347,34.484
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",112,15,15,0.333,0.237,2483.443,49.834,37.572,0.325,64.994,18.089,35.958
"C2","SourceEnergy","Reg_Int",2,"meanCent",112,26,29,0.833,0.784,13356544757180.4,3654660.69,2652377.142,0.824,39.431,7.953,35.349
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",112,17,17,0.827,0.798,13813061637501.9,3716592.746,2718528.324,0.798,40.099,8.088,35.948
"C2","SourceEUI","Reg_Int",3,"meanCent",112,44,64,0.615,0.372,1433.13,37.857,26.908,0.24,49.373,13.741,27.316
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",112,37,37,0.606,0.417,1467.319,38.306,27.609,0.248,49.959,13.904,27.64
"C2","SourceEnergy","Reg_Int",3,"meanCent",112,44,64,0.885,0.812,9212224454876.05,3035164.65,2120076.069,0.428,32.747,6.605,29.357
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",112,27,27,0.879,0.842,9670664981849.61,3109769.281,2239470.151,0.501,33.552,6.767,30.078
"C2","SourceEUI","Reg_Int",4,"meanCent",112,53,99,0.662,0.364,1258.65,35.477,24.252,0.222,46.269,12.877,25.599
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",112,46,46,0.651,0.414,1298.141,36.03,24.858,0.228,46.991,13.078,25.998
"C2","SourceEnergy","Reg_Int",4,"meanCent",112,53,99,0.903,0.817,7775903579604.15,2788530.721,1912475.364,0.43,30.086,6.068,26.971
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",112,48,48,0.901,0.828,7897460633875.01,2810242.095,1969330.813,0.407,30.32,6.115,27.181
"C2","SourceEUI","Reg_Int",5,"meanCent",112,55,120,0.666,0.35,1242.726,35.252,24.44,0.222,45.976,12.796,25.436
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",112,45,45,0.647,0.415,1315.392,36.268,25.681,0.234,47.301,13.164,26.17
"C2","SourceEnergy","Reg_Int",5,"meanCent",112,55,120,0.905,0.815,7594150448724.34,2755748.619,1887903.124,0.449,29.732,5.997,26.654
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",112,49,49,0.902,0.827,7828878845172.97,2798013.375,1942801.858,0.41,30.188,6.089,27.063
"C3b","SourceEUI","xgboost_default",2,"meanCent",112,7,7,0.875,0.867,370.374,19.245,14.77,0.123,25.099,6.985,13.886
"C3b","SourceEUI","xgboost_default",3,"meanCent",112,7,7,0.982,0.981,61.19,7.822,5.493,0.045,10.201,2.839,5.644
"C3b","SourceEUI","xgboost_random",1,"meanCent",112,5,5,0.168,0.137,2937.324,54.197,41.808,0.35,70.684,19.672,39.106
"C3b","SourceEUI","xgboost_grid",2,"meanCent",112,7,7,0.402,0.368,1738.021,41.69,33.252,0.273,54.372,15.132,30.082
"C3b","SourceEUI","xgboost_grid",3,"meanCent",112,6,6,0.384,0.355,1824.517,42.714,31.346,0.247,55.708,15.504,30.821
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",112,5,5,0.404,0.381,1984.347,44.546,34.032,0.277,58.097,16.169,32.143
"C3b","SourceEnergy","xgboost_default",2,"meanCent",112,6,6,0.971,0.97,2185382551988.33,1478303.944,1097115.582,0.271,15.95,3.217,14.298
"C3b","SourceEnergy","xgboost_default",3,"meanCent",112,7,7,0.998,0.998,169632539376.199,411864.71,283846.421,0.063,4.444,0.896,3.984
"C3b","SourceEnergy","xgboost_random",1,"meanCent",112,6,6,0.988,0.988,899981432716.716,948673.512,469939.639,0.107,10.235,2.064,9.176
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",112,7,7,0.842,0.833,12309691517652.8,3508516.997,2477634.127,0.48,37.854,7.635,33.935
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",112,7,7,0.973,0.972,2080095365987.31,1442253.572,1158122.839,0.282,15.561,3.138,13.95
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",112,6,6,0.951,0.948,3641933935845.71,1908385.164,1170950.929,0.266,20.59,4.153,18.458
