"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",399,8,8,0.238,0.224,6490.391,80.563,43.623,0.333
"R21","C1",1,"Reg","SiteEnergy",399,8,8,0.665,0.659,15353249685336,3918322.305,1157211.656,1.512
"R27","C2",2,"RegInt","SourceEUI",399,29,29,0.405,0.359,5072.896,71.224,38.348,0.306
"R216","C2",2,"RegInt","SiteEnergy",399,29,29,0.836,0.824,7507228894051.29,2739932.279,1025452.655,1.622
"R22","C2",3,"RegInt","SourceEUI",399,58,64,0.498,0.414,4276.433,65.394,35.549,0.28
"R211","C2",3,"RegInt","SiteEnergy",399,58,64,0.9,0.883,4580751680126.88,2140269.067,790396.616,1.238
"R23","C2",4,"RegInt","SourceEUI",399,73,99,0.56,0.463,3749.009,61.229,34.148,0.263
"R212","C2",4,"RegInt","SiteEnergy",399,73,99,0.929,0.913,3260629056257.55,1805721.201,700410.658,1.517
"R24","C2",5,"RegInt","SourceEUI",399,79,120,0.631,0.541,3146.982,56.098,32.09,0.256
"R213","C2",5,"RegInt","SiteEnergy",399,79,120,0.937,0.921,2895525008827.15,1701624.227,651409.692,1.458
"R25","C2",6,"RegInt","SourceEUI",399,80,127,0.631,0.54,3139.391,56.03,32.173,0.257
"R214","C2",6,"RegInt","SiteEnergy",399,80,127,0.937,0.921,2889459617658.47,1699841.057,650622.624,1.452
"R26","C2",7,"RegInt","SourceEUI",399,80,128,0.631,0.54,3139.391,56.03,32.173,0.257
"R215","C2",7,"RegInt","SiteEnergy",399,80,128,0.937,0.921,2889459617658.47,1699841.057,650622.624,1.452
"R28","C3a",1,"rpart","SourceEUI",399,6,6,0.514,0.507,4143.373,64.369,37.969,0.286
"R217","C3a",1,"rpart","SiteEnergy",399,6,6,0.543,0.538,20912868872051.5,4573059.028,950178.025,0.341
"R29","C3b",1,"xgboost","SourceEUI",399,7,7,0.427,0.418,3230.833,56.84,32.165,0.224
"R218","E3b",1,"xgboost","SiteEnergy",399,7,7,0.891,0.889,3395426442738.22,1842668.294,560029.043,0.923
