"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",1546,8,8,0.086,0.081,4543.91,67.409,50.331,0.381,78.979,15.94,39.53
"C1","SourceEUI","Reg_AIC",1,"meanCent",1546,6,6,0.085,0.082,4546.668,67.429,50.357,0.381,79.003,15.944,39.542
"C1","SourceEnergy","Reg",1,"meanCent",1546,8,8,0.859,0.858,282792388306045,16816432.092,8195827.084,1.287,51.935,4.476,54.413
"C1","SourceEnergy","Reg_AIC",1,"meanCent",1546,7,7,0.859,0.858,282799311460559,16816637.936,8197908.976,1.287,51.936,4.476,54.414
"C2","SourceEUI","Reg_Int",2,"meanCent",1546,29,29,0.114,0.098,4401.049,66.34,49.188,0.371,77.727,15.687,38.903
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",1546,15,15,0.11,0.101,4424.185,66.515,49.405,0.373,77.932,15.728,39.006
"C2","SourceEnergy","Reg_Int",2,"meanCent",1546,29,29,0.864,0.861,272603530041855,16510709.556,7914915.688,0.887,50.991,4.395,53.424
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",1546,12,12,0.863,0.862,274667586363549,16573098.273,7919069.563,0.868,51.183,4.411,53.625
"C2","SourceEUI","Reg_Int",3,"meanCent",1546,63,64,0.143,0.107,4259.106,65.262,48.273,0.363,76.464,15.432,38.271
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",1546,40,40,0.135,0.113,4297.799,65.558,48.568,0.365,76.811,15.502,38.445
"C2","SourceEnergy","Reg_Int",3,"meanCent",1546,63,64,0.87,0.865,259291136043777,16102519.556,7953648.709,1.041,49.73,4.286,52.103
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",1546,41,41,0.869,0.866,261199182063766,16161657.776,7975991.165,0.998,49.913,4.302,52.294
"C2","SourceEUI","Reg_Int",4,"meanCent",1546,94,99,0.176,0.124,4093.013,63.977,46.799,0.353,74.958,15.128,37.517
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",1546,67,67,0.169,0.132,4129.821,64.264,47.312,0.357,75.295,15.196,37.686
"C2","SourceEnergy","Reg_Int",4,"meanCent",1546,94,99,0.881,0.873,238404409407342,15440350.042,7781217.642,1.221,47.685,4.11,49.96
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",1546,67,67,0.879,0.874,241020156086148,15524823.867,7854112.91,1.212,47.946,4.132,50.234
"C2","SourceEUI","Reg_Int",5,"meanCent",1546,105,120,0.186,0.127,4044.196,63.594,46.226,0.348,74.51,15.038,37.293
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",1546,92,92,0.183,0.132,4057.083,63.695,46.56,0.35,74.628,15.061,37.352
"C2","SourceEnergy","Reg_Int",5,"meanCent",1546,105,120,0.884,0.875,232525473374105,15248785.964,7534373.242,1.101,47.094,4.059,49.34
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",1546,73,73,0.882,0.876,235978117083600,15361579.251,7672794.181,1.047,47.442,4.089,49.705
"C3b","SourceEUI","xgboost_default",2,"meanCent",1546,7,7,0.246,0.243,3271.451,57.197,41.953,0.316,67.015,13.525,33.541
"C3b","SourceEUI","xgboost_default",3,"meanCent",1546,7,7,0.401,0.399,2346.196,48.438,35.418,0.263,56.752,11.454,28.405
"C3b","SourceEUI","xgboost_random",1,"meanCent",1546,7,7,0.753,0.752,973.78,31.205,23.06,0.17,36.561,7.379,18.299
"C3b","SourceEUI","xgboost_grid",2,"meanCent",1546,7,7,0.176,0.173,3732.341,61.093,44.666,0.336,71.579,14.446,35.826
"C3b","SourceEUI","xgboost_grid",3,"meanCent",1546,7,7,0.191,0.188,3553.72,59.613,43.784,0.331,69.845,14.096,34.958
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",1546,7,7,0.745,0.744,963.16,31.035,22.15,0.165,36.362,7.339,18.2
"C3b","SourceEnergy","xgboost_default",2,"meanCent",1546,7,7,0.933,0.932,130178015448102,11409558.074,6361841.982,0.898,35.237,3.037,36.918
"C3b","SourceEnergy","xgboost_default",3,"meanCent",1546,7,7,0.969,0.969,59291452454390.5,7700094.315,4820675.397,0.681,23.781,2.049,24.915
"C3b","SourceEnergy","xgboost_random",1,"meanCent",1546,7,7,0.992,0.992,16275871629845.3,4034336.579,2799279.916,0.963,12.459,1.074,13.054
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",1546,7,7,0.882,0.882,226227839486947,15040872.298,8253534.599,1.354,46.451,4.003,48.668
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",1546,7,7,0.881,0.881,214367749390955,14641302.858,7115517.166,0.819,45.217,3.897,47.375
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",1546,7,7,0.924,0.923,146896106878796,12120070.416,7266803.659,2.596,37.431,3.226,39.217
