"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",956,8,8,0.067,0.06,4708.457,68.618,49.696,0.318,89.814,16.361,39.226
"C1","SourceEUI","Reg_AIC",1,"meanCent",956,4,4,0.063,0.06,4729.752,68.773,49.648,0.317,90.017,16.398,39.314
"C1","SourceEnergy","Reg",1,"meanCent",956,8,8,0.768,0.766,42179843644166.1,6494601.115,2239499.448,0.427,161.423,3.226,103.759
"C1","SourceEnergy","Reg_AIC",1,"meanCent",956,4,4,0.768,0.767,42259882310150.3,6500760.133,2236872.02,0.428,161.576,3.229,103.857
"C2","SourceEUI","Reg_Int",2,"meanCent",956,29,29,0.153,0.127,4275.1,65.384,47.778,0.307,85.581,15.59,37.377
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",956,15,15,0.147,0.134,4306.158,65.621,48.016,0.308,85.891,15.646,37.513
"C2","SourceEnergy","Reg_Int",2,"meanCent",956,29,29,0.805,0.799,35553662661354.3,5962689.214,2265410.984,0.536,148.202,2.962,95.261
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",956,16,16,0.803,0.8,35867436024400.2,5988942.814,2247700.746,0.52,148.855,2.975,95.68
"C2","SourceEUI","Reg_Int",3,"meanCent",956,64,64,0.191,0.134,4081.96,63.89,46.075,0.296,83.626,15.234,36.523
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",956,38,38,0.181,0.148,4134.165,64.297,46.566,0.299,84.158,15.331,36.756
"C2","SourceEnergy","Reg_Int",3,"meanCent",956,64,64,0.853,0.842,26810553304428.9,5177890.816,2109242.19,0.549,128.696,2.572,82.723
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",956,50,50,0.852,0.844,26916719418542.5,5188132.556,2116473.766,0.553,128.95,2.577,82.886
"C2","SourceEUI","Reg_Int",4,"meanCent",956,93,99,0.227,0.145,3899.207,62.444,44.545,0.287,81.733,14.889,35.696
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",956,77,77,0.219,0.151,3942.506,62.789,45.131,0.29,82.185,14.971,35.894
"C2","SourceEnergy","Reg_Int",4,"meanCent",956,93,99,0.88,0.867,21840855705270.4,4673420.129,1922454.999,0.549,116.157,2.321,74.663
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",956,70,70,0.879,0.869,22039215888533.4,4694594.326,1953945.472,0.56,116.684,2.332,75.001
"C2","SourceEUI","Reg_Int",5,"meanCent",956,104,120,0.235,0.143,3858.29,62.115,44.078,0.283,81.302,14.81,35.508
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",956,84,84,0.23,0.156,3887.023,62.346,44.375,0.286,81.605,14.866,35.64
"C2","SourceEnergy","Reg_Int",5,"meanCent",956,104,120,0.884,0.87,21107464964016.1,4594286.121,1866473.298,0.511,114.19,2.282,73.399
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",956,86,86,0.883,0.872,21203165086317.9,4604689.467,1895168.244,0.528,114.449,2.287,73.565
"C3b","SourceEUI","xgboost_default",2,"meanCent",956,7,7,0.363,0.359,2722.144,52.174,38.365,0.246,68.291,12.44,29.826
"C3b","SourceEUI","xgboost_default",3,"meanCent",956,7,7,0.589,0.587,1539.468,39.236,29.409,0.19,51.356,9.355,22.429
"C3b","SourceEUI","xgboost_random",1,"meanCent",956,7,7,0.582,0.579,1515.833,38.934,28.644,0.183,50.961,9.283,22.257
"C3b","SourceEUI","xgboost_grid",2,"meanCent",956,6,6,0.202,0.197,3755.983,61.286,44.445,0.281,80.217,14.613,35.034
"C3b","SourceEUI","xgboost_grid",3,"meanCent",956,6,6,0.224,0.22,3529.207,59.407,42.341,0.261,77.758,14.165,33.96
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",956,7,7,0.875,0.875,502.907,22.426,15.164,0.094,29.353,5.347,12.82
"C3b","SourceEnergy","xgboost_default",2,"meanCent",956,7,7,0.959,0.959,7059525600290.28,2656976.778,1304763.176,0.305,66.039,1.32,42.448
"C3b","SourceEnergy","xgboost_default",3,"meanCent",956,7,7,0.988,0.988,2152466321482.96,1467128.597,852134.591,0.249,36.465,0.729,23.439
"C3b","SourceEnergy","xgboost_random",1,"meanCent",956,7,7,0.884,0.883,19563935304120.2,4423113.757,1919333.205,0.552,109.936,2.197,70.664
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",956,5,5,0.796,0.795,30409216368565.8,5514455.22,2194786.574,0.602,137.061,2.739,88.1
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",956,7,7,0.801,0.8,27265539198836,5221641.428,2038817.908,0.495,129.783,2.594,83.422
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",956,7,7,0.888,0.887,18888670623882,4346109.826,2047239.671,0.743,108.022,2.159,69.434
