"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",295,8,8,0.024,0,5212.391,72.197,54.302,1.079,88.694,16.912,75.847
"C1","SourceEUI","Reg_AIC",1,"meanCent",295,2,2,0.011,0.007,5283.307,72.686,55.098,1.095,89.295,17.026,76.36
"C1","SourceEnergy","Reg",1,"meanCent",295,8,8,0.595,0.585,65694438392475.6,8105210.571,5201165.713,1.041,116.611,7.156,90.743
"C1","SourceEnergy","Reg_AIC",1,"meanCent",295,2,2,0.592,0.591,66188833838882.7,8135652.023,5257381.693,1.054,117.049,7.183,91.083
"C2","SourceEUI","Reg_Int",2,"meanCent",295,27,29,0.078,-0.011,4922.325,70.159,52.087,1.028,86.19,16.435,73.706
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",295,14,14,0.061,0.017,5014.109,70.81,52.431,1.033,86.99,16.587,74.39
"C2","SourceEnergy","Reg_Int",2,"meanCent",295,27,29,0.632,0.596,59781870364377.4,7731873.665,5072029.832,1.049,111.24,6.826,86.563
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",295,14,14,0.625,0.608,60879718817975.9,7802545.663,5117212.452,1.028,112.257,6.889,87.354
"C2","SourceEUI","Reg_Int",3,"meanCent",295,47,64,0.177,0.024,4396.005,66.302,47.735,0.942,81.452,15.531,69.654
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",295,28,28,0.151,0.065,4534.069,67.335,49.849,0.987,82.721,15.773,70.739
"C2","SourceEnergy","Reg_Int",3,"meanCent",295,47,64,0.696,0.639,49368694088294,7026285.938,4419595.851,0.954,101.088,6.203,78.663
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",295,28,28,0.683,0.65,51528675056405,7178347.655,4687903.214,1.052,103.276,6.338,80.366
"C2","SourceEUI","Reg_Int",4,"meanCent",295,55,99,0.189,0.007,4328.249,65.789,46.929,0.934,80.822,15.411,69.115
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",295,39,39,0.166,0.042,4454.416,66.741,48.819,0.969,81.991,15.634,70.115
"C2","SourceEnergy","Reg_Int",4,"meanCent",295,55,99,0.713,0.649,46528087345682.5,6821150.002,4307039.833,0.927,98.137,6.022,76.367
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",295,35,35,0.706,0.668,47672888301942,6904555.619,4493631.119,1.016,99.337,6.096,77.301
"C2","SourceEUI","Reg_Int",5,"meanCent",295,56,120,0.19,0.003,4326.548,65.777,46.782,0.93,80.807,15.408,69.102
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",295,39,39,0.166,0.042,4454.416,66.741,48.819,0.969,81.991,15.634,70.115
"C2","SourceEnergy","Reg_Int",5,"meanCent",295,56,120,0.713,0.647,46527896813889,6821136.035,4308305.93,0.927,98.137,6.022,76.367
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",295,35,35,0.706,0.668,47672888301942,6904555.619,4493631.119,1.016,99.337,6.096,77.301
"C3b","SourceEUI","xgboost_default",2,"meanCent",295,6,6,0.584,0.577,1717.404,41.442,31.405,0.624,50.912,9.708,43.537
"C3b","SourceEUI","xgboost_default",3,"meanCent",295,7,7,0.826,0.823,718.249,26.8,19.983,0.392,32.924,6.278,28.155
"C3b","SourceEUI","xgboost_random",1,"meanCent",295,5,5,0.266,0.256,3752.285,61.256,44.829,0.818,75.253,14.349,64.353
"C3b","SourceEUI","xgboost_grid",2,"meanCent",295,5,5,0.212,0.201,3676.01,60.63,45.447,0.881,74.484,14.202,63.695
"C3b","SourceEUI","xgboost_grid",3,"meanCent",295,6,6,0.215,0.202,3615.784,60.131,44.25,0.836,73.871,14.086,63.171
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",295,6,6,0.582,0.575,1821.656,42.681,30.818,0.58,52.434,9.998,44.839
"C3b","SourceEnergy","xgboost_default",2,"meanCent",295,6,6,0.894,0.892,15583121258428.5,3947546.233,2831493.818,0.703,56.794,3.485,44.195
"C3b","SourceEnergy","xgboost_default",3,"meanCent",295,7,7,0.967,0.966,5029895751886.83,2242742.908,1594114.56,0.423,32.267,1.98,25.109
"C3b","SourceEnergy","xgboost_random",1,"meanCent",295,7,7,0.999,0.999,94244724977.365,306993.037,193453.873,0.051,4.417,0.271,3.437
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",295,6,6,0.737,0.733,38238626854097.2,6183738.906,4126132.301,0.948,88.966,5.459,69.231
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",295,5,5,0.777,0.774,31831544317385.1,5641945.083,3824305.053,0.868,81.172,4.981,63.165
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",295,7,7,0.802,0.798,28927635361702.8,5378441.722,3689252.228,0.825,77.381,4.748,60.215
