"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",213,8,8,0.053,0.02,7733.225,87.939,64.582,0.457
"R21","C1",1,"Reg","SiteEnergy",213,8,8,0.752,0.744,303936639155715,17433778.683,7775892.581,0.54
"R27","C2",2,"RegInt","SourceEUI",213,29,29,0.12,-0.014,7182.591,84.75,62.093,0.442
"R216","C2",2,"RegInt","SiteEnergy",213,29,29,0.763,0.727,291046155429371,17060074.895,7589461.315,0.549
"R22","C2",3,"RegInt","SourceEUI",213,63,64,0.31,0.025,5631.653,75.044,51.094,0.349
"R211","C2",3,"RegInt","SiteEnergy",213,63,64,0.803,0.722,241496865959924,15540169.432,6551962.559,0.456
"R23","C2",4,"RegInt","SourceEUI",213,77,99,0.384,0.039,5029.79,70.921,44.732,0.313
"R212","C2",4,"RegInt","SiteEnergy",213,77,99,0.809,0.702,234243213653102,15305006.163,6231601.002,0.425
"R24","C2",5,"RegInt","SourceEUI",213,79,120,0.42,0.082,4734.304,68.806,42.376,0.286
"R213","C2",5,"RegInt","SiteEnergy",213,79,120,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"R25","C2",6,"RegInt","SourceEUI",213,79,127,0.42,0.082,4734.304,68.806,42.376,0.286
"R214","C2",6,"RegInt","SiteEnergy",213,79,127,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"R26","C2",7,"RegInt","SourceEUI",213,79,128,0.42,0.082,4734.304,68.806,42.376,0.286
"R215","C2",7,"RegInt","SiteEnergy",213,79,128,0.814,0.706,227529084903993,15084067.253,6096865.309,0.439
"R28","C3a",1,"rpart","SourceEUI",213,0,0,0,0.005,8162.904,90.349,65.461,0.497
"R217","C3a",1,"rpart","SiteEnergy",213,6,6,0.763,0.757,291159079801755,17063384.184,7037997.874,0.513
"R29","C3b",1,"xgboost","SourceEUI",213,7,7,0.081,0.054,6042.657,77.735,55.949,0.381
"R218","E3b",1,"xgboost","SiteEnergy",213,7,7,0.847,0.843,142766836355307,11948507.704,6322677.924,0.548
