"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",118,8,8,0.182,0.13,4621.067,67.978,48.369,0.641
"R21","C1",1,"Reg","SiteEnergy",118,8,8,0.696,0.677,8982050878081.42,2997006.987,1921467.549,0.84
"R27","C2",2,"RegInt","SourceEUI",118,26,29,0.424,0.267,3255.768,57.059,41.811,0.601
"R216","C2",2,"RegInt","SiteEnergy",118,26,29,0.828,0.781,5086481695900.46,2255322.969,1503179.716,0.781
"R22","C2",3,"RegInt","SourceEUI",118,44,64,0.631,0.417,2085.041,45.662,30.908,0.348
"R211","C2",3,"RegInt","SiteEnergy",118,44,64,0.874,0.801,3718074875030.21,1928231.022,1242634.659,0.546
"R23","C2",4,"RegInt","SourceEUI",118,53,99,0.67,0.406,1865.181,43.188,27.094,0.299
"R212","C2",4,"RegInt","SiteEnergy",118,53,99,0.891,0.803,3236544482644.41,1799039.878,1091633.629,0.535
"R24","C2",5,"RegInt","SourceEUI",118,55,120,0.671,0.389,1860.052,43.128,27.468,0.304
"R213","C2",5,"RegInt","SiteEnergy",118,55,120,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"R25","C2",6,"RegInt","SourceEUI",118,55,127,0.671,0.389,1860.052,43.128,27.468,0.304
"R214","C2",6,"RegInt","SiteEnergy",118,55,127,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"R26","C2",7,"RegInt","SourceEUI",118,55,128,0.671,0.389,1860.052,43.128,27.468,0.304
"R215","C2",7,"RegInt","SiteEnergy",118,55,128,0.891,0.798,3220424833478.1,1794554.216,1104422.903,0.543
"R28","C3a",1,"rpart","SourceEUI",118,6,6,0.239,0.205,4298.947,65.566,47.829,0.593
"R217","C3a",1,"rpart","SiteEnergy",118,6,6,0.73,0.718,7991606370515.39,2826942.937,1876305.435,0.747
"R29","C3b",1,"xgboost","SourceEUI",118,7,7,0.409,0.377,2070.846,45.507,30.865,0.333
"R218","E3b",1,"xgboost","SiteEnergy",118,7,7,0.895,0.89,2524543650980.6,1588881.258,1045123.334,0.402
