"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",1681,8,8,0.063,0.059,9853.459,99.265,61.702,Inf
"R21","C1",1,"Reg","SiteEnergy",1681,8,8,0.866,0.866,194852850134623,13958970.239,6376162.756,Inf
"R27","C2",2,"RegInt","SourceEUI",1681,29,29,0.097,0.082,9495.502,97.445,60.693,Inf
"R216","C2",2,"RegInt","SiteEnergy",1681,29,29,0.885,0.883,167736514029978,12951313.216,5788537.768,Inf
"R22","C2",3,"RegInt","SourceEUI",1681,63,64,0.149,0.116,8950.777,94.609,58.959,Inf
"R211","C2",3,"RegInt","SiteEnergy",1681,63,64,0.897,0.893,150679241665940,12275147.317,5713401.767,Inf
"R23","C2",4,"RegInt","SourceEUI",1681,94,99,0.167,0.118,8765.438,93.624,57.968,Inf
"R212","C2",4,"RegInt","SiteEnergy",1681,94,99,0.904,0.898,139970122300992,11830896.936,5419667.154,Inf
"R24","C2",5,"RegInt","SourceEUI",1681,107,120,0.172,0.116,8708.812,93.321,57.259,Inf
"R213","C2",5,"RegInt","SiteEnergy",1681,107,120,0.905,0.899,138304545289504,11760295.289,5283400.421,Inf
"R25","C2",6,"RegInt","SourceEUI",1681,109,127,0.173,0.116,8701.36,93.281,57.224,Inf
"R214","C2",6,"RegInt","SiteEnergy",1681,109,127,0.905,0.899,138279486929647,11759229.861,5278078.087,Inf
"R26","C2",7,"RegInt","SourceEUI",1681,109,128,0.173,0.116,8701.36,93.281,57.224,Inf
"R215","C2",7,"RegInt","SiteEnergy",1681,109,128,0.905,0.899,138279486929647,11759229.861,5278078.087,Inf
"R28","C3a",1,"rpart","SourceEUI",1681,7,7,0.063,0.059,9857.251,99.284,62.003,Inf
"R217","C3a",1,"rpart","SiteEnergy",1681,7,7,0.897,0.897,150451488909283,12265866.823,5074822.167,Inf
"R29","C3b",1,"xgboost","SourceEUI",1681,7,7,0.13,0.127,7682.379,87.649,53.345,Inf
"R218","E3b",1,"xgboost","SiteEnergy",1681,7,7,0.917,0.917,109142676471468,10447137.238,5293694.05,Inf
