"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",1243,8,8,0.059,0.054,7753.474,88.054,56.565,0.493
"R21","C1",1,"Reg","SiteEnergy",1243,8,8,0.793,0.792,8449705394103.48,2906837.697,1139187.628,1.25
"R27","C2",2,"RegInt","SourceEUI",1243,29,29,0.142,0.122,7071.321,84.091,54.514,0.48
"R216","C2",2,"RegInt","SiteEnergy",1243,29,29,0.83,0.826,6938337319303.17,2634072.383,1016892.563,1.049
"R22","C2",3,"RegInt","SourceEUI",1243,64,64,0.183,0.14,6729.265,82.032,52.597,0.453
"R211","C2",3,"RegInt","SiteEnergy",1243,64,64,0.848,0.839,6232791226943.25,2496555.873,967556.044,1.026
"R23","C2",4,"RegInt","SourceEUI",1243,97,99,0.212,0.146,6490.002,80.561,51.199,0.444
"R212","C2",4,"RegInt","SiteEnergy",1243,97,99,0.856,0.843,5909880663073.7,2431024.612,927184.052,0.956
"R24","C2",5,"RegInt","SourceEUI",1243,108,120,0.219,0.145,6434.675,80.216,50.577,0.44
"R213","C2",5,"RegInt","SiteEnergy",1243,108,120,0.857,0.843,5850643604725.31,2418810.37,919285.078,0.954
"R25","C2",6,"RegInt","SourceEUI",1243,110,127,0.22,0.145,6428.002,80.175,50.496,0.439
"R214","C2",6,"RegInt","SiteEnergy",1243,110,127,0.857,0.843,5850573655321.7,2418795.91,919537.506,0.955
"R26","C2",7,"RegInt","SourceEUI",1243,110,128,0.22,0.145,6428.002,80.175,50.496,0.439
"R215","C2",7,"RegInt","SiteEnergy",1243,110,128,0.857,0.843,5850573655321.7,2418795.91,919537.506,0.955
"R28","C3a",1,"rpart","SourceEUI",1243,6,6,0.155,0.152,6958.036,83.415,53.853,0.504
"R217","C3a",1,"rpart","SiteEnergy",1243,6,6,0.636,0.634,14901430334067.8,3860237.083,1349877.957,1.517
"R29","C3b",1,"xgboost","SourceEUI",1243,7,7,0.217,0.214,5421.23,73.629,46.741,0.402
"R218","E3b",1,"xgboost","SiteEnergy",1243,7,7,0.762,0.761,7419433124720.87,2723863.639,920130.905,0.951
