"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",309,8,8,0.029,0.006,10632.132,103.112,67.055,1.705
"R21","C1",1,"Reg","SiteEnergy",309,8,8,0.401,0.387,32576139901721.7,5707551.13,3144559.438,2.113
"R27","C2",2,"RegInt","SourceEUI",309,27,29,0.105,0.022,9801.842,99.004,64.931,1.653
"R216","C2",2,"RegInt","SiteEnergy",309,27,29,0.446,0.395,30136235591889.7,5489648.039,3095518.77,2.388
"R22","C2",3,"RegInt","SourceEUI",309,49,64,0.209,0.063,8663.902,93.08,58.738,1.447
"R211","C2",3,"RegInt","SiteEnergy",309,49,64,0.507,0.417,26772820950309.6,5174245.931,2852301.692,1.911
"R23","C2",4,"RegInt","SourceEUI",309,57,99,0.239,0.07,8326.093,91.247,57.698,1.458
"R212","C2",4,"RegInt","SiteEnergy",309,57,99,0.519,0.412,26146455072722,5113360.448,2789602.002,1.996
"R24","C2",5,"RegInt","SourceEUI",309,58,120,0.244,0.072,8275.581,90.97,57.964,1.473
"R213","C2",5,"RegInt","SiteEnergy",309,58,120,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"R25","C2",6,"RegInt","SourceEUI",309,58,127,0.244,0.072,8275.581,90.97,57.964,1.473
"R214","C2",6,"RegInt","SiteEnergy",309,58,127,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"R26","C2",7,"RegInt","SourceEUI",309,58,128,0.244,0.072,8275.581,90.97,57.964,1.473
"R215","C2",7,"RegInt","SiteEnergy",309,58,128,0.521,0.413,26021266982138.7,5101104.486,2792350.17,2.061
"R28","C3a",1,"rpart","SourceEUI",309,6,6,0.315,0.304,7500.662,86.606,57.869,1.607
"R217","C3a",1,"rpart","SiteEnergy",309,6,6,0.352,0.342,35205593280980.9,5933430.145,3341669.405,3.504
"R29","C3b",1,"xgboost","SourceEUI",309,7,7,0.096,0.078,7440.194,86.257,53.281,1.315
"R218","E3b",1,"xgboost","SiteEnergy",309,7,7,0.551,0.542,16759428774784.4,4093828.132,2407906.859,2.272
