"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",29,8,8,0.184,-0.088,4144.078,64.375,54.568,0.803
"R21","C1",1,"Reg","SiteEnergy",29,8,8,0.235,-0.02,9377135615833.44,3062210.903,2376584.766,1.867
"R27","C2",2,"RegInt","SourceEUI",29,22,29,0.766,0.064,1187.969,34.467,20.326,0.333
"R216","C2",2,"RegInt","SiteEnergy",29,22,29,0.798,0.19,2481584029595.23,1575304.424,875579.559,0.361
"R22","C2",3,"RegInt","SourceEUI",29,26,64,0.92,0.251,407.661,20.191,11.541,0.177
"R211","C2",3,"RegInt","SiteEnergy",29,26,64,0.959,0.62,498773168414.734,706238.747,395911.945,0.18
"R23","C2",4,"RegInt","SourceEUI",29,27,99,1,0.994,2.215,1.488,0.627,0.012
"R212","C2",4,"RegInt","SiteEnergy",29,27,99,0.997,0.964,31830354534,178410.635,101043.556,0.045
"R24","C2",5,"RegInt","SourceEUI",29,27,120,1,0.994,2.215,1.488,0.627,0.012
"R213","C2",5,"RegInt","SiteEnergy",29,27,120,0.997,0.964,31830354534,178410.635,101043.556,0.045
"R25","C2",6,"RegInt","SourceEUI",29,27,127,1,0.994,2.215,1.488,0.627,0.012
"R214","C2",6,"RegInt","SiteEnergy",29,27,127,0.997,0.964,31830354534,178410.635,101043.556,0.045
"R26","C2",7,"RegInt","SourceEUI",29,27,128,1,0.994,2.215,1.488,0.627,0.012
"R215","C2",7,"RegInt","SiteEnergy",29,27,128,0.997,0.964,31830354534,178410.635,101043.556,0.045
"R28","C3a",1,"rpart","SourceEUI",29,4,4,0.274,0.187,3685.749,60.71,48.568,0.695
"R217","C3a",1,"rpart","SiteEnergy",29,4,4,0.35,0.272,7969470491752.99,2823025.06,2150509.219,1.598
"R29","C3b",1,"xgboost","SourceEUI",29,6,6,0.378,0.242,2042.36,45.192,31.928,0.383
"R218","E3b",1,"xgboost","SiteEnergy",29,7,7,0.765,0.701,1767638653888.41,1329525.725,834903.76,0.377
