"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
509831,95,16,2,38,117,115,54,155.2,53.4
34317,40,52,1,27,212,205,69,168.9,73
1e+05,100,115,1,20,2,0,48,269.1,117.1
122875,100,86,1,66,777,612,1,285.1,99.4
183235,100,8,1,21,1,0,48,222.4,99.2
55000,100,115,1,19,244,0,91,192,116.3
71539,100,18,1,18,2,0,59,208.1,93.2
358200,100,25,1,58,3,0,25,263.1,194.1
49709,100,10,1,13,17,15,NA,309.1,134.5
75000,100,12,1,7,1,0,1,442,216
67870,100,9,1,6,2,0,62,208.6,114.1
186891,100,21,2,16,1,0,28,272,122.8
56735,80,9,1,18,1,0,3,341.4,143.9
126529,90,7,1,26,0,0,38,313.8,136
65653,0,107,1,14,16,0,NA,39.1,12.7
70000,100,32,1,20,1,0,21,318.5,160.6
83000,100,10,2,20,1,0,8,415.7,218.1
109858,100,10,1,20,142,0,6,222.4,111.7
90411,100,10,1,16,4,3,7,528.5,316.3
68925,100,4,1,11,7,0,68,251.1,109.4
51420,100,7,1,20,1,0,70,209.8,66.8
62706,100,5,1,20,123,0,8,254.4,108
107990,100,14,1,13,1,0,5,294.9,159.6
206000,100,11,2,19,1,0,1,458.2,189.8
43018,100,107,1,6,2,0,1,564.8,244
77736,100,86,1,8,3,0,6,317,180.8
246340,100,48,1,13,4,0,9,299.7,146.4
198774,100,51,1,12,2,0,45,295.1,110.2
742596,100,88,1,42,3,0,76,152.3,82.2
100900,90,91,1,14,0,0,66,181.2,91
81000,100,9,2,25,1,0,43,275.5,130.6
102824,100,5,1,27,3,0,99,90.6,48.8
103133,90,4,1,35,271,0,41,173.7,74.4
132000,100,7,1,32,1,0,56,211.1,80.6
80000,100,11,3,13,1,0,89,158.3,77.2
222868,100,7,1,39,349,348,100,66.3,28.2
55916,90,14,1,21,1,0,47,259.3,102.5
57200,100,10,1,24,1,0,47,314.8,132.2
55411,100,3,1,18,135,0,57,244.1,104.1
80454,80,9,1,26,1,0,33,220.7,102.8
187489,100,9,2,53,304,301,11,250.5,115.1
124000,100,4,1,22,1,0,3,182,75.5
1412862,100,99,1,23,2,0,66,177.9,108.3
218000,50,12,1,44,92,89,11,221.9,103.1
50000,100,23,1,13,5,0,49,136.4,67.7
125000,85,18,4,12,7,0,83,271.2,132.7
90633,100,113,2,13,2,0,97,81.3,32.9
177000,85,5,1,19,1,0,95,84.8,37.3
69992,100,112,1,12,5,0,83,106.3,101
55498,80,37,1,13,3,0,99,91.4,32
90000,100,4,2,16,2,0,5,266.5,113.5
64817,100,37,1,20,1,0,61,203.2,82.8
51147,95,4,1,18,1,0,35,195.3,74.4
149472,100,7,1,58,168,163,17,192.7,94.7
126374,100,87,1,13,1,0,15,296.6,142.4
125000,90,93,1,23,1,0,19,330,150.6
54000,100,114,1,12,3,0,37,268.1,89.9
68289,100,113,1,12,227,0,100,74.4,24.1
73000,75,114,1,12,53,51,3,519.2,174
94870,90,88,1,16,8,6,74,174.9,81.6
63967,100,114,1,13,3,0,28,277.9,133.9
76695.9,100,107,1,12,1,0,33,187.1,60.2
59400,90,37,1,17,1,0,17,322.9,153.3
105231,100,22,1,16,1,0,30,280.1,159.3
135200,100,87,1,17,4,0,55,223.4,133.8
205473,100,116,1,20,3,0,37,236.3,127.8
2e+05,70,91,1,16,24,23,11,303.3,162.1
44749,100,18,1,13,3,0,13,236.1,118.4
51525,100,18,2,8,1,0,14,399,212.7
194886,100,30,1,37,2,0,77,161.1,88.7
29100,100,17,1,17,1,0,NA,144.1,79.5
190431,100,92,1,15,3,0,33,199.3,101.3
141567,100,90,1,15,199,0,52,199.2,95.4
93992,100,89,1,16,145,0,55,187.9,64.7
82336,100,102,1,19,366,0,89,188.7,118.2
115000,100,53,1,14,248,123,64,147.4,97.7
72500,80,37,1,16,1,0,67,211.7,97.3
55832,100,92,2,11,3,0,20,230.9,112.7
263091,10,110,1,16,3,0,5,202.5,91.7
120000,95,3,1,37,2,0,24,288.6,127
99301,100,84,1,16,3,0,49,165.8,93.5
75421,100,112,1,10,1,0,1,484.2,154.2
471985,90,27,3,48,1,0,65,164.4,69.2
85000,90,18,1,21,1,0,35,181.8,88.8
57520,90,91,1,16,2,0,9,324.4,167.5
113969,90,94,1,17,2,0,26,270.6,131.5
429900,100,27,1,43,468,0,42,207.3,102
71615,100,107,1,13,3,0,49,225.4,146.7
1165000,100,27,1,49,13,0,36,230.8,123
1523020,100,54,1,46,4,0,39,254.3,164.1
625844,90,30,1,57,3,0,6,202.9,94.4
70478,100,88,1,16,119,0,21,211.4,94.2
258230,100,106,3,26,6,0,30,259.5,162.7
63100,100,96,1,16,93,90,26,203.2,131.7
537719,100,78,1,41,1,0,21,273.7,184.3
225000,100,87,1,16,2,0,35,136.9,77.6
131671,100,93,1,18,7,0,34,173.5,99.9
259966,100,4,1,77,172,170,2,291.5,129.1
723209,100,5,1,42,185,182,1,186.6,102.2
176668,100,4,1,30,1,0,53,147.8,69.2
1754156,100,47,1,53,1,0,100,9.2,4.8
542940,100,89,1,30,1332,0,33,198.2,106.3
1825000,100,32,1,58,7,0,22,296.5,139.9
480000,100,86,1,22,2,0,81,148.5,90.8
324701,100,14,1,54,4,0,26,288.2,132.6
122957,100,90,1,16,3,0,46,240.2,128.3
590696,100,28,1,46,10,0,54,209.4,95.9
102400,100,90,1,15,4,0,46,237,122.5
192761,100,55,1,14,1,0,53,233.7,122.9
81650,100,5,1,23,1,0,49,287.1,126.7
63879,100,7,1,14,2,0,9,218.7,102.3
262051,100,17,1,26,1,0,33,268.8,133.1
461591,90,55,1,22,14,0,12,229.7,138.6
96921,100,87,1,13,7,0,NA,225.2,125.1
364000,70,4,1,67,6,0,14,228.5,101.9
1050872,95,92,1,30,290,0,89,131,60.8
425150,100,7,1,36,10,9,32,252.4,112.3
187000,100,91,1,16,3,0,57,203.7,107.2
164932,100,55,1,11,300,0,67,205,107.5
600695,90,90,1,24,6,0,38,226,124.3
236708,100,6,1,59,820,814,NA,281.8,125.6
121054,100,58,1,8,230,0,32,293.5,176
153363,100,9,1,16,222,0,36,240.3,97.6
519832,100,57,1,44,325,156,12,262,128.2
239011,100,94,1,14,403,0,NA,155.7,53.9
75583,100,87,1,13,0,0,NA,326.2,174.2
1e+05,100,22,1,32,295,205,NA,159.8,68.4
120780,100,18,1,10,76,0,NA,254.1,121.1
245904,100,88,1,27,67,62,52,157.9,69.1
111480,100,107,1,10,6,0,70,167.8,124.9
123075,100,94,1,15,216,0,33,240,151
111270,100,114,1,12,1,0,31,183.4,100
191868,100,101,1,12,2,0,23,204.3,102.1
80636,100,111,1,11,1,0,60,130.1,85.7
63360,100,107,1,7,1,0,93,114.4,84.8
63860,100,55,1,9,4,0,1,615.5,424.7
103429,90,10,1,28,4,0,54,209.8,88.4
265002,100,91,1,35,3,0,15,280.4,170.5
272104,100,115,1,23,9,0,7,353.4,162.8
57707,100,18,1,14,1,0,3,380.1,176.9
115819,80,93,1,18,2,0,18,314.3,127.8
254829,100,27,2,11,327,316,5,181.1,64.7
442000,100,46,1,43,4,0,30,242.5,141.3
328679,95,89,1,33,14,12,80,138.3,69
200708,100,10,1,19,319,164,1,417.5,179.6
74485,100,27,1,31,1,0,44,247.5,145.9
67140,100,107,1,14,1,0,5,252.3,123.2
65000,100,28,1,14,2,0,13,317.5,110.7
678297,100,93,1,19,1,0,64,179.7,108.6
893750,100,37,1,51,1,0,15,283.2,181.7
230654,100,91,2,19,1,0,67,239.1,81.1
428000,100,113,1,20,48,0,11,332.4,169.5
393500,85,24,1,52,3,0,12,316.7,162.2
72307,100,65,1,10,4,0,59,208.3,83.7
112951,90,4,2,27,3,0,76,177,74
96000,100,88,1,17,211,0,37,252.4,109
275000,90,4,1,25,1,0,16,234.1,124.8
457390,100,91,1,14,8,0,9,230.1,81.1
410257,100,93,1,34,1,0,43,245,127.4
350000,100,27,1,15,14,0,58,227.4,76.8
1600000,100,87,1,47,113,0,30,255.4,125
157462,100,90,1,28,4,0,56,242.6,125.3
147970,100,32,1,29,1,0,32,254.7,131.7
424661,100,57,1,19,1,0,74,166,73.3
214000,100,19,1,30,4,0,48,194.5,83.6
76190,100,32,1,36,1,0,99,50.1,33.3
247600,70,90,1,22,1,0,65,147.7,56.3
68308,100,90,1,16,1,0,54,192.1,81.9
111084,90,97,1,17,9,0,30,263.2,122.9
468907,100,36,1,40,5,0,39,250,159.4
64320,100,86,1,10,2,0,NA,309.6,156.7
71925,100,86,1,13,3,0,73,248.8,130.7
2e+05,100,42,1,39,40,0,65,229.1,96.9
335897,100,90,1,38,175,169,5,252.2,133.2
57000,100,112,1,8,1,0,51,303.9,150.6
412604,100,87,1,41,4,0,4,345.7,185.3
320000,100,57,1,20,6,0,47,236,122.3
69725,90,92,1,17,2,0,35,266.5,95.8
170000,100,90,1,16,4,0,70,178.6,63
130000,100,91,2,15,114,112,16,349.5,176.9
101029,100,90,1,15,11,0,NA,407.9,240
93000,100,85,2,5,212,210,3,370.2,192.8
98495,100,54,1,12,1,0,46,153.2,86.5
76776,100,26,1,11,77,77,55,226.8,199.7
146262,100,43,1,20,3,0,40,217.7,106.9
53542,100,107,1,10,93,91,38,381.7,216.5
188526,100,10,1,15,6,0,49,127.9,63.3
157000,100,109,1,13,5,0,NA,174.5,113
51517,100,3,1,13,108,107,46,246.8,112.6
544543,100,19,1,24,2,0,27,254.1,150.3
94420,100,7,1,24,1,0,3,228.7,100.6
167532,95,7,1,25,1,0,19,238.7,99.2
104172,100,7,1,19,1,0,79,138.8,55.8
56635,75,58,1,5,73,71,100,32,10.2
55543,90,116,2,8,71,0,21,442.7,229.9
69159,100,10,1,13,1,0,34,254.6,111.5
134645,85,8,1,11,1,0,71,165.2,76.5
404861,85,28,2,7,358,0,80,135.9,62.3
256585,100,36,2,10,436,0,100,49.3,15.7
50367,100,9,1,6,1,0,32,180.2,82.1
63063,100,27,1,4,1,0,57,142.5,58.4
44000,100,11,1,8,1,0,6,261.2,125.9
112272,100,3,1,14,88,43,NA,338.7,174.3
233230,100,28,1,15,1,0,19,216.7,99.1
84280,100,12,1,6,0,0,85,161.4,78.1
244870,100,58,1,9,336,335,23,180.9,91
