"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
293447,100,54,1,31,50,0,NA,619.4,305.6
249978,100,56,3,9,1,0,73,230.3,73.4
16803,100,67,3,9,1,0,100,0,0
423521,100,107,1,12,1,0,71,219.5,69.9
498466,100,88,6,22,0,0,NA,864.5,430.8
56959,100,103,1,7,129,127,74,169.1,108.3
246237,100,41,1,17,1,0,1,969,555.8
117368,100,88,1,11,1,0,84,161.7,108.6
138403,100,44,1,31,1,0,78,167.6,105.8
285890,100,44,2,31,236,219,78,177.2,124.5
52850,100,47,1,10,6,0,81,159.6,85.6
19983,100,8,1,16,1,0,NA,561.8,250.1
18341,100,14,2,6,1,0,6,367.8,147.9
8000,100,92,1,8,6,0,23,286.4,164.9
3190,100,13,6,4,41,0,3,622.8,279
3800,100,10,6,4,41,0,45,300,124.1
69000,100,70,1,4,4,0,33,298.9,95.3
123257,100,51,3,5,0,0,NA,243.4,98.6
60852,100,89,1,9,3,0,75,186.2,83.5
2325044,100,47,1,50,52,0,84,215.8,104.8
1090700,95,48,1,22,47,0,84,189.3,69.1
1390556,100,47,1,40,7,0,77,225,124.3
847751,100,48,1,34,14,0,88,175.7,67.3
859807,100,48,1,35,59,0,62,229.7,108.6
405310,95,31,1,30,29,0,38,292.1,101.1
336025,70,86,1,24,97,0,86,154.7,60.1
322760,100,53,1,21,41,0,74,208,98.3
2000,100,108,1,19,21,20,NA,114.3,76.9
423403,100,87,1,37,76,0,91,128.9,54.6
767690,100,96,1,23,12,0,92,141.8,64.3
741337,100,115,2,31,623,500,90,121.5,43.4
1445610,100,31,1,40,1,0,79,222.2,110
2376683,90,31,2,44,1,0,71,251.6,120.5
2161196,100,31,1,54,12,0,78,206.4,99
1979102,85,31,1,34,1,0,68,227.2,81.9
1708538,100,8,1,45,5,0,NA,265,99.5
6900,100,28,1,28,294,293,NA,135.9,76.6
296550,100,88,1,31,54,0,87,156,71.7
447442,100,89,1,38,87,0,70,203.6,84.5
368305,100,34,1,31,71,0,65,216.7,81.8
361878,100,4,1,31,60,0,80,195.3,72.3
786975,95,101,1,33,102,0,93,136.6,49.2
335184,100,100,1,21,170,0,58,233.9,76.9
389917,100,113,1,21,55,0,59,231.9,92.3
343345,100,90,1,38,66,0,88,126.3,51.6
308000,100,113,2,23,1,0,1,723.3,294.2
466820,100,61,1,27,1,0,99,77.3,38.9
1072213,100,55,1,38,0,0,80,196.1,85.4
275500,100,104,1,20,63,0,92,109.4,45.2
400143,80,50,1,30,88,0,73,215.7,91.4
213300,100,115,1,20,0,0,73,177.5,77.4
252136,100,88,1,57,352,350,79,118.5,56.1
325318,100,55,1,24,67,0,NA,214.4,106.3
84827,100,86,1,26,32,0,NA,186.9,90.5
745461,75,34,1,31,1,0,87,175,70
61250,100,110,1,12,4,0,68,217.4,82.1
562260,100,88,1,34,96,0,9,451.6,161
760443,100,34,1,26,14,0,80,191.1,73.6
3578561,100,45,1,53,52,0,77,267.2,108.4
1123664,95,30,1,36,31,0,67,235.5,87.2
885474,60,49,1,24,2,0,56,187.7,71
83150,40,52,1,27,212,205,69,168.9,73
1189698,100,34,1,41,50,0,NA,123.8,57.1
520000,90,48,1,29,65,0,73,194.5,88
549144,95,44,1,32,23,0,74,317.3,174.1
107751,25,115,1,12,44,0,100,42.5,23.9
107751,25,115,1,12,54,0,100,51.1,33.1
1035722,100,57,1,38,70,0,63,241.3,115.3
1345237,100,28,1,47,1,0,76,317.2,117.7
281755,100,91,1,32,27,0,67,191.3,69
1155995,100,88,1,63,1,0,90,155.1,63.2
96245,100,63,1,12,21,0,NA,198.9,76.1
158555,95,85,1,21,17,0,58,240.3,97.1
363572,100,95,1,23,33,0,81,169.1,55.5
968458,100,105,1,32,71,0,48,244.7,117.7
1858900,95,102,1,41,2,0,88,169.2,65.6
1248923,90,50,1,50,78,0,71,260.2,133
450000,90,112,1,22,100,0,93,132.1,42.1
4e+05,90,109,1,21,53,0,60,242.3,121
411843,40,110,1,26,69,0,98,83,26.4
502238,100,96,1,18,22,0,69,205.6,100.8
2294059,85,45,1,54,17,0,89,237.4,98.1
586218,100,44,1,34,34,0,22,346,176.3
145000,100,109,4,16,75,0,72,218.6,105
134840,100,109,1,20,52,0,92,140.3,57.1
13100,100,90,1,14,83,76,65,122.5,61.5
801685,100,93,1,14,0,0,58,242.8,111.3
617356,100,31,1,27,7,0,82,167.1,60.2
136764,100,58,1,13,19,0,44,260.4,118.5
381163,100,45,1,22,76,0,12,440.7,173.7
342310,100,86,1,35,418,416,93,141,64.7
191829,90,85,1,29,222,221,41,268.3,126.6
