"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
42128,100,109,1,8,37,37,100,15.8,6.8
140056,100,93,1,14,374,0,86,107.3,34.2
105156,100,92,3,9,1,0,100,0,0
352040,100,37,1,23,158,157,100,0,0
74328,100,97,1,11,44,44,100,1.4,1.1
50120,100,93,1,12,25,25,100,0.3,0.1
49668,100,93,1,12,25,25,100,9.3,7.5
57903,100,85,1,12,25,25,100,11.9,11.4
40463,100,103,1,7,129,127,74,169.1,108.3
56979,100,88,1,11,1,0,84,161.7,108.6
124665,100,44,1,31,1,0,78,167.6,105.8
193299,100,44,2,31,236,219,78,177.2,124.5
30706,100,47,1,10,6,0,81,159.6,85.6
298336,100,36,2,20,0,0,100,22.5,8.1
144268,100,31,2,14,2,0,100,4.7,4.5
169984,100,55,3,9,1,0,100,12.9,12.3
182714,100,88,2,16,1,0,100,50.5,19.3
200261,100,93,4,5,1,0,59,168,93.6
40000,100,92,1,8,6,0,23,286.4,164.9
88332,100,107,1,13,255,250,61,168.3,145
266000,100,52,2,16,187,187,59,127.4,86.2
59000,100,31,6,2,3,0,55,175.5,98.8
78397,100,87,1,7,45,44,100,45.6,16.4
311766,100,102,1,17,4,0,57,154.1,89.7
104570,100,9,1,20,3,0,38,196.2,97.6
83734,100,16,1,12,1,0,57,167,89.6
147032,100,31,1,16,7,0,NA,115.7,66.6
330856,100,29,2,14,5,0,NA,223.9,106
57263,100,29,1,16,1,0,37,201.1,111.9
470432,100,18,1,16,3,0,45,209.3,89.4
147657,100,88,1,16,1,0,67,114.9,52.6
60248,100,107,3,9,67,65,17,198.7,102.7
78000,100,87,1,16,1,0,NA,281,157
58450,100,94,1,6,1,0,81,97.4,72.6
66230,100,37,1,10,1,0,35,174.1,110.7
97000,100,37,1,15,1,0,77,127.6,67.5
61500,100,105,1,12,142,0,24,266.5,143.4
1900,100,106,1,12,21,2,NA,81.8,26.1
65998,100,29,3,12,4,0,77,124.5,59.1
294992,100,8,1,21,306,0,86,96.2,56.3
59300,100,17,1,17,1,0,NA,144.1,79.5
106852,100,56,1,12,141,140,29,228.6,128.6
144423,100,32,1,25,1,0,70,150.1,69.8
132670,100,67,1,10,1,0,77,178.5,70.5
26983,100,30,1,16,0,0,66,138.3,70.1
100015,100,88,1,20,1,0,25,201.8,115.4
55945,90,107,1,9,1,0,67,141.1,67.6
282506,100,24,2,20,212,211,75,135.5,73.9
75000,100,89,1,10.5,1,0,91,97.4,81.3
402707,100,45,1,33,467,465,63,152.1,90.5
68538,100,88,2,10,78,75,NA,185.2,60.3
66226,100,63,1,10,1,0,86,153.6,80.1
250461,100,43,1,15,3,0,51,142.8,83.6
62307,100,107,1,6,3,0,NA,179.5,119.2
247615,100,44,1,19,1,0,51,188.2,92.5
101375,100,107,1,5,1,0,31,165.4,106.5
54567,100,107,1,8,49,49,97,62.3,54.9
116827,100,29,3,17,1,0,80,124.9,40.6
99000,100,46,1,12,67,63,63,148.3,87.7
59000,100,55,1,10,1,0,83,96.5,64.7
59000,100,51,1,10,41,41,80,104.7,78.9
201406,100,93,1,15,288,285,100,27.5,9.2
102430,100,50,1,10,80,78,96,64.3,55
59730,100,108,1,6,70,70,100,14.5,6.1
84000,100,54,1,15,62,58,74,130.4,72.5
153000,100,115,2,9,356,356,41,149.2,137.4
59219,100,97,1,10,47,47,100,6.2,5.8
62244,100,75,1,11,32,32,66,134.9,128.5
56700,100,83,1,10,32,31,100,47.5,45.2
110111,100,67,1,12,159,159,76,122.6,86.2
3e+05,100,93,1,13,1,0,82,108.4,66.1
65700,100,97,2,3,1,0,16,241.2,119.6
60000,100,76,1,3,1,0,100,48.2,32.9
111285,100,55,1,6,95,95,67,112.2,70.6
167809,100,27,1,11,1,0,73,115.8,61.7
126040,100,9,15,3,1,0,86,86.6,51.7
387919,100,25,1,28.5,1,0,74,129.6,85
115590,100,17,1,18,222,0,32,212,125.8
241845,100,97,1,5,77,70,100,14.6,4.7
89889,100,30,1,12,49,48,87,90.7,56.3
154928,100,57,1,11,1,0,79,83.5,54
328768,100,90,1,15,1,0,49,171.2,104
254889,100,14,1,20,364,364,56,148.3,75.6
96340,100,97,1,7,132,131,22,261.6,143.7
141500,100,89,1,6,204,204,35,198.1,108.4
65500,100,90,1,6,108,108,96,67.8,63.5
58027,100,10,1,8,213,0,62,155.7,66.2
107544,100,42,1,5,1,0,31,208.2,90.7
92400,100,54,1,7,215,215,28,229.1,142.9
27643,100,18,1,6,1,0,NA,162.6,72.3
26026,100,50,1,3,1,0,79,129,77.2
64144,100,90,1,7,119,119,28,181.6,134
53300,100,46,1,2,1,0,NA,434.9,285
65000,100,41,1,6,1,0,16,277.2,179.6
204000,100,50,37,2,1,0,NA,204.1,120.6
139045,100,49,1,14,1,0,84,105.1,33.5
104366,100,27,1,45,343,343,30,291.7,126.1
