"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
10000,100,114,1,12,121,121,1,352.2,295.4
24000,100,92,1,8,6,0,23,286.4,164.9
50000,90,13,6,4,41,0,NA,204.1,70.8
64296,75,23,3,1,17,0,94,90.9,29
20000,100,12,2,16,187,187,14,198.8,89.4
5089,100,48,1,34,14,0,88,175.7,67.3
20000,100,88,1,45,284,283,31,167.9,78.8
85652,90,31,2,44,1,0,71,251.6,120.5
4880,100,12,1,24,276,274,NA,177.6,103.9
2400,100,20,1,25,152,151,NA,165,82.4
1200,100,32,1,25,239,238,NA,130.5,75.2
4296,100,31,1,9,110,107,NA,145.7,74
1247,100,31,1,26,247,246,NA,162.9,98.7
3395,100,31,1,9,154,153,NA,104.8,60.7
3110,100,30,1,44,547,545,NA,139.2,82.8
28464,100,29,1,9,184,182,9,195.6,98.7
2100,100,28,1,28,294,293,NA,135.9,76.6
17453,100,29,2,9,165,163,17,197.1,108.6
1453,100,9,1,31,248,243,NA,158.7,73.6
6916,100,31,1,15,177,174,22,160.1,83.9
3200,100,48,1,27,399,397,NA,150.7,72.4
50183,100,8,1,38,453,452,26,183.5,101.5
88610,100,35,1,31,165,156,9,256.6,116.5
23700,100,115,1,20,0,0,73,177.5,77.4
6000,100,97,2,26,374,372,35,140.8,72.1
36886,100,88,1,57,352,350,79,118.5,56.1
11000,100,91,1,23,211,202,NA,164.3,103.8
4918,100,55,1,24,67,0,NA,214.4,106.3
29252,100,88,1,34,96,0,9,451.6,161
42247,100,34,1,26,14,0,80,191.1,73.6
8670,100,48,1,22,506,503,26,165.1,74.7
6590,90,48,1,29,65,0,73,194.5,88
8173,100,61,1,12,122,121,NA,231.9,113.9
3400,100,15,1,45,289,287,NA,182.8,106.1
33497,100,105,1,32,71,0,48,244.7,117.7
3000,100,88,1,13,61,60,NA,143.4,93.5
22272,95,109,1,24,411,410,67,126.9,52.3
19134,85,45,1,54,17,0,89,237.4,98.1
80712,100,44,1,34,34,0,22,346,176.3
7056,100,108,1,33,92,87,9,162.9,91.1
8000,100,90,1,14,83,76,65,122.5,61.5
5200,100,58,1,13,19,0,44,260.4,118.5
5346,95,58,1,16,44,0,88,139.9,52.3
16871,100,33,1,35,36,0,73,208.1,75.5
12000,100,56,1,31,579,576,21,159.9,80
