"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
32505,30,43,1,32,5,0,NA,235.2,82.1
56000,100,111,1,10,11,0,66,47.6,40.1
104680,100,89,1,7,1,0,NA,55.2,34.4
10000,100,87,1,6,7,0,NA,240.5,93.7
479500,75,68,1,3,2,0,29,178.3,84.8
150000,100,48,1,3,1,0,25,165.7,78.3
94622,100,104,1,9,1,0,9,157.2,50.1
120000,0,97,1,11,1,0,NA,18.2,5.8
6000,100,92,1,12,19,18,NA,114.8,73.8
9000,100,90,1,15,25,24,88,77.2,67
87675,100,93,1,16,1,0,56,52.3,38.7
13607,100,90,1,21,67,0,NA,119.5,38.1
39003,100,93,1,17,1,0,NA,89.4,28.5
179500,100,92,1,16,1,0,NA,141.5,87.4
24000,100,97,2,8,4,0,NA,247.7,150.2
30975,90,107,1,12,13,0,53,94.1,47.6
20000,100,87,1,10,81,0,96,119.8,46.7
7000,100,97,1,12,13,0,61,167.9,69.8
80193,100,39,1,3,1,0,48,115.7,44.2
793419,100,54,1,8,2,0,73,132.8,63
25818,100,112,1,8,10,0,48,133.6,57.5
22500,100,97,1,6,2,0,NA,57.8,42.6
71400,100,92,1,4,2,0,65,95.2,30.3
15000,100,90,1,6,5,0,84,112.1,57.5
4455,100,18,1,10,76,0,NA,254.1,121.1
86100,100,95,1,11,5,0,NA,33.3,24.8
118944,100,90,1,14,1,0,90,21.6,8.9
120000,100,17,1,10,1,0,NA,359.5,155.9
71656,100,8,2,3,3,0,51,28.9,17.1
108769,100,96,2,6,3,0,62,65.7,28.2
99346,10,105,4,11,6,0,100,5,1.6
2108,100,97,1,3.5,11,0,NA,3.8,2.9
98000,100,50,1,1,1,0,1,241.2,86.4
104334,100,104,1,6,1,0,100,16.7,11.9
89422,100,93,1,3,1,0,NA,31.1,12.2
40148,30,89,1,8,45,0,NA,53.4,30.2
410000,100,17,1,12,1,0,99,22.2,7.1
50000,100,66,1,1,2,0,NA,43,23.2
69672,100,86,4,2,5,0,76,48.1,15.3
62500,100,86,3,3,1,0,87,15.8,8.7
110937,100,82,1,4,1,0,NA,37.3,18
151061,100,57,1,2,2,0,NA,155.3,107.2
53000,95,87,1,2,2,0,78,114.4,53
126400,100,86,1,6,10,0,100,3,1.4
212100,100,112,4,6,1,0,55,44.9,25.1
106583,100,107,2,4,1,0,83,36.1,31.9
39828,85,86,1,2,2,0,62,86.3,41.6
146755,100,92,1,6,6,0,1,471.6,393.5
12000,100,86,1,3,3,0,99,64.2,26.1
37725,100,68,1,1,3,0,NA,89.4,53.2
66000,100,57,2,2,2,0,39,58.7,44.5
126530,100,8,1,8,1,0,24,51.5,31.5
180000,100,49,2,5,2,0,100,18,9.4
220000,100,46,1,2,1,0,NA,73.7,43.9
190000,100,48,1,1,1,0,NA,58,18.5
150000,100,40,1,1,1,0,100,11.1,4.7
140500,50,86,1,1,2,0,64,47.7,30.6
153965,100,56,1,2,1,0,6,156.5,67.5
60000,100,62,1,1,1,0,65,45.9,30.1
53000,100,107,1,5,4,0,73,45.7,31.9
59400,100,90,1,1,2,0,NA,69.8,22.2
47642,100,57,2,1,2,0,1,374.3,134
68500,100,91,1,2,1,0,1,464.8,440.4
71120,0,56,1,1,1,0,NA,53.9,23.6
58350,100,8,1,3,1,0,26,48.7,28.3
79118,100,35,1,1,3,0,67,201.5,82.1
127260,100,9,1,1.5,1,0,8,213,138.2
129000,100,16,1,1,1,0,29,128,50.8
126000,100,56,1,2,4,1,NA,148.3,85
57279,100,8,5,5,1,0,8,69.7,22.2
152000,100,50,1,1,1,0,90,47.2,20.6
115274,100,8,1,5,1,0,100,9.1,5.2
48000,100,28,1,2,5,0,60,151,56.6
207000,100,8,1,3,1,0,10,224,129.3
88650,100,34,2,1,1,0,92,102.8,32.7
83100,100,47,2,1,1,0,59,127.8,63.4
75000,100,107,1,4,1,0,61,63.6,57.3
97929,100,11,1,13,1,0,64,54.6,29.8
71965,100,8,1,4,1,0,100,10.5,5.6
56010,100,62,1,3,4,0,93,41.3,19.7
55186,100,36,1,4,3,0,41,82.9,37.2
56400,100,86,2,3,1,0,34,89.8,50.5
34000,100,107,1,6,1,0,NA,70.5,36.8
55850,100,107,1,3,16,0,91,51.4,27.6
65025,90,92,1,1,2,0,29,72,33.4
158344,100,97,1,3,1,0,62,95.5,47.9
128500,100,99,3,2,7,0,1,477.1,218.9
56000,100,48,1,2,6,0,96,21.1,14.9
380000,100,63,1,2,5,0,83,50.4,30.6
71000,100,86,1,2,1,0,94,26,20.7
120000,100,92,1,9,1,0,100,2,0.6
66600,100,8,1,3,1,0,87,29.6,13.9
54185,100,17,1,6,6,0,30,46,19
4540,100,87,7,8,0,0,NA,214,92
218705,100,58,1,5,16,0,48,102.3,59.6
66633,100,97,5,4,1,0,6,223.7,145.1
192240,100,66,1,8,1,0,3,223.8,145.1
280000,100,75,1,9,1,0,100,12.7,4.7
56384,100,21,1,5,1,0,20,85.8,37.9
114500,100,69,1,5,2,0,100,16.7,15.7
7560,100,85,1,17,204,204,73,125.5,87
165167,100,77,1,3,7,0,NA,21.9,7
70665,100,71,1,3,1,0,28,83.1,34.5
167000,100,62,1,2,0,0,NA,13.9,9.1
58050,100,97,1,4,3,0,88,33.4,12.1
235700,100,92,1,4,2,0,40,199.5,109.7
47000,100,86,1,2,14,0,NA,78.6,47
123740,100,46,2,5,3,0,NA,63.6,43.6
107000,100,57,1,1,1,0,NA,41.4,21.2
55629,100,86,1,3,1,0,15,123.9,61
79720,100,49,1,2,1,0,84,65.1,38.7
80620,100,34,1,2,1,0,50,85.6,31
82000,100,30,1,1,0,0,9,101.8,48.3
208255,100,66,1,1,1,0,53,118.6,53.7
9004,100,99,1,5,3,0,NA,88.2,30.7
134250,100,79,1,2,3,0,63,61.7,22.8
35617,100,57,1,4,1,0,NA,62.5,45.8
70000,100,58,1,1,1,0,41,257.7,108.1
80060,100,47,1,1,1,0,99,15.2,8.1
104500,100,46,1,1,2,0,57,70.6,52.2
120000,100,65,1,2,1,0,94,79,40.7
51400,90,60,1,2,1,0,57,85.9,52.2
72400,100,50,1,2,7,0,66,74,25.3
97000,100,59,1,1,1,0,23,127.3,89.4
81361,100,69,1,1,2,0,54,71.8,37.9
1e+05,100,89,1,5,1,0,100,6.3,6
59125,100,101,1,2,3,0,NA,22.1,9.8
167272,100,53,2,1,2,0,93,19.2,8.6
99750,90,53,2,1,1,0,96,18.4,17.1
48000,100,86,1,4,4,0,74,62,29.6
80000,100,71,1,1,1,0,88,34.7,12.7
319284,100,29,1,2,1,0,86,39.6,18.7
154639,5,67,1,5,1,0,NA,52.9,33.9
153000,100,62,1,3,1,0,29,59.1,35
26000,100,97,1,4,66,63,NA,147.2,84.5
49000,100,57,1,1,1,0,NA,175.7,64.1
102980,100,48,1,1,2,0,34,143.9,66.2
