"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
40000,100,89,1,6,4,0,89,85.2,62.4
30000,100,87,1,16,1,0,NA,281,157
17500,100,17,1,17,1,0,NA,144.1,79.5
8073,100,42,1,36,325,321,NA,127.2,70.9
77830,60,92,1,5,0,0,NA,209.9,120
29908,100,90,1,12,2,0,84,120.2,62.9
150000,100,63,1,6,3,0,NA,136.7,64.8
58000,100,88,2,6,2,0,1,276.1,163.9
4357,100,10,1,7,76,76,NA,125.8,76.8
11298,100,26,1,10,69,56,50,126.5,82
110000,100,59,1,3,0,0,NA,166.2,87.3
2100,100,77,1,6,58,58,86,107.7,78.3
24000,100,92,3,3,5,0,NA,98.1,73.9
2900,100,90,1,5,79,77,58,129.7,88.9
130000,100,90,1,5,1,0,2,254.4,98
353342,100,86,1,3,1,0,NA,18.2,8.1
7946,100,49,1,4,1,0,80,145,75.2
28086,100,92,1,9,0,0,NA,81.3,56.3
54100,90,64,1,3,1,0,39,90.2,58.2
60000,100,97,1,3,4,0,100,11.4,3.7
65820,100,99,1,4,1,0,NA,45.1,42.4
64064,70,65,1,4,0,0,84,65.1,40.4
98300,100,98,1,4,1,0,78,58.5,25.3
23287,100,13,1,2,2,0,89,78.4,31.3
126980,100,85,1,2,1,0,NA,70.8,40.5
92403,30,31,2,3,1,0,NA,46.8,24.4
68516,100,69,1,4,0,0,82,65.9,46.8
56420,100,64,1,4,0,0,4,227.9,151.5
60986,100,88,1,4,0,0,63,55.4,36.1
