"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
509831,95,16,2,38,117,115,54,155.2,53.4,27224975.4,79125771.2
34317,40,52,1,27,212,205,69,168.9,73,2505141,5796141.3
1e+05,100,115,1,20,2,0,48,269.1,117.1,11710000,26910000
122875,100,86,1,66,777,612,1,285.1,99.4,12213775,35031662.5
183235,100,8,1,21,1,0,48,222.4,99.2,18176912,40751464
55000,100,115,1,19,244,0,91,192,116.3,6396500,10560000
71539,100,18,1,18,2,0,59,208.1,93.2,6667434.8,14887265.9
358200,100,25,1,58,3,0,25,263.1,194.1,69526620,94242420
49709,100,10,1,13,17,15,NA,309.1,134.5,6685860.5,15365051.9
75000,100,12,1,7,1,0,1,442,216,16200000,33150000
67870,100,9,1,6,2,0,62,208.6,114.1,7743967,14157682
186891,100,21,2,16,1,0,28,272,122.8,22950214.8,50834352
56735,80,9,1,18,1,0,3,341.4,143.9,8164166.5,19369329
126529,90,7,1,26,0,0,38,313.8,136,17207944,39704800.2
70000,100,32,1,20,1,0,21,318.5,160.6,11242000,22295000
83000,100,10,2,20,1,0,8,415.7,218.1,18102300,34503100
109858,100,10,1,20,142,0,6,222.4,111.7,12271138.6,24432419.2
68925,100,4,1,11,7,0,68,251.1,109.4,7540395,17307067.5
51420,100,7,1,20,1,0,70,209.8,66.8,3434856,10787916
62706,100,5,1,20,123,0,8,254.4,108,6772248,15952406.4
107990,100,14,1,13,1,0,5,294.9,159.6,17235204,31846251
206000,100,11,2,19,1,0,1,458.2,189.8,39098800,94389200
77736,100,86,1,8,3,0,6,317,180.8,14054668.8,24642312
246340,100,48,1,13,4,0,9,299.7,146.4,36064176,73828098
198774,100,51,1,12,2,0,45,295.1,110.2,21904894.8,58658207.4
742596,100,88,1,42,3,0,76,152.3,82.2,61041391.2,113097370.8
100900,90,91,1,14,0,0,66,181.2,91,9181900,18283080
81000,100,9,2,25,1,0,43,275.5,130.6,10578600,22315500
102824,100,5,1,27,3,0,99,90.6,48.8,5017811.2,9315854.4
103133,90,4,1,35,271,0,41,173.7,74.4,7673095.2,17914202.1
132000,100,7,1,32,1,0,56,211.1,80.6,10639200,27865200
80000,100,11,3,13,1,0,89,158.3,77.2,6176000,12664000
55916,90,14,1,21,1,0,47,259.3,102.5,5731390,14499018.8
57200,100,10,1,24,1,0,47,314.8,132.2,7561840,18006560
55411,100,3,1,18,135,0,57,244.1,104.1,5768285.1,13525825.1
80454,80,9,1,26,1,0,33,220.7,102.8,8270671.2,17756197.8
187489,100,9,2,53,304,301,11,250.5,115.1,21579983.9,46965994.5
124000,100,4,1,22,1,0,3,182,75.5,9362000,22568000
218000,50,12,1,44,92,89,11,221.9,103.1,22475800,48374200
50000,100,23,1,13,5,0,49,136.4,67.7,3385000,6820000
125000,85,18,4,12,7,0,83,271.2,132.7,16587500,33900000
90633,100,113,2,13,2,0,97,81.3,32.9,2981825.7,7368462.9
177000,85,5,1,19,1,0,95,84.8,37.3,6602100,15009600
69992,100,112,1,12,5,0,83,106.3,101,7069192,7440149.6
55498,80,37,1,13,3,0,99,91.4,32,1775936,5072517.2
90000,100,4,2,16,2,0,5,266.5,113.5,10215000,23985000
64817,100,37,1,20,1,0,61,203.2,82.8,5366847.6,13170814.4
51147,95,4,1,18,1,0,35,195.3,74.4,3805336.8,9989009.1
149472,100,7,1,58,168,163,17,192.7,94.7,14154998.4,28803254.4
126374,100,87,1,13,1,0,15,296.6,142.4,17995657.6,37482528.4
125000,90,93,1,23,1,0,19,330,150.6,18825000,41250000
54000,100,114,1,12,3,0,37,268.1,89.9,4854600,14477400
68289,100,113,1,12,227,0,100,74.4,24.1,1645764.9,5080701.6
94870,90,88,1,16,8,6,74,174.9,81.6,7741392,16592763
63967,100,114,1,13,3,0,28,277.9,133.9,8565181.3,17776429.3
76695.9,100,107,1,12,1,0,33,187.1,60.2,4617093.18,14349802.89
59400,90,37,1,17,1,0,17,322.9,153.3,9106020,19180260
105231,100,22,1,16,1,0,30,280.1,159.3,16763298.3,29475203.1
135200,100,87,1,17,4,0,55,223.4,133.8,18089760,30203680
205473,100,116,1,20,3,0,37,236.3,127.8,26259449.4,48553269.9
2e+05,70,91,1,16,24,23,11,303.3,162.1,32420000,60660000
44749,100,18,1,13,3,0,13,236.1,118.4,5298281.6,10565238.9
51525,100,18,2,8,1,0,14,399,212.7,10959367.5,20558475
194886,100,30,1,37,2,0,77,161.1,88.7,17286388.2,31396134.6
29100,100,17,1,17,1,0,NA,144.1,79.5,2313450,4193310
190431,100,92,1,15,3,0,33,199.3,101.3,19290660.3,37952898.3
141567,100,90,1,15,199,0,52,199.2,95.4,13505491.8,28200146.4
93992,100,89,1,16,145,0,55,187.9,64.7,6081282.4,17661096.8
82336,100,102,1,19,366,0,89,188.7,118.2,9732115.2,15536803.2
115000,100,53,1,14,248,123,64,147.4,97.7,11235500,16951000
72500,80,37,1,16,1,0,67,211.7,97.3,7054250,15348250
55832,100,92,2,11,3,0,20,230.9,112.7,6292266.4,12891608.8
263091,10,110,1,16,3,0,5,202.5,91.7,24125444.7,53275927.5
120000,95,3,1,37,2,0,24,288.6,127,15240000,34632000
99301,100,84,1,16,3,0,49,165.8,93.5,9284643.5,16464105.8
471985,90,27,3,48,1,0,65,164.4,69.2,32661362,77594334
85000,90,18,1,21,1,0,35,181.8,88.8,7548000,15453000
57520,90,91,1,16,2,0,9,324.4,167.5,9634600,18659488
113969,90,94,1,17,2,0,26,270.6,131.5,14986923.5,30840011.4
429900,100,27,1,43,468,0,42,207.3,102,43849800,89118270
71615,100,107,1,13,3,0,49,225.4,146.7,10505920.5,16142021
625844,90,30,1,57,3,0,6,202.9,94.4,59079673.6,126983747.6
70478,100,88,1,16,119,0,21,211.4,94.2,6639027.6,14899049.2
258230,100,106,3,26,6,0,30,259.5,162.7,42014021,67010685
63100,100,96,1,16,93,90,26,203.2,131.7,8310270,12821920
537719,100,78,1,41,1,0,21,273.7,184.3,99101611.7,147173690.3
225000,100,87,1,16,2,0,35,136.9,77.6,17460000,30802500
131671,100,93,1,18,7,0,34,173.5,99.9,13153932.9,22844918.5
259966,100,4,1,77,172,170,2,291.5,129.1,33561610.6,75780089
723209,100,5,1,42,185,182,1,186.6,102.2,73911959.8,134950799.4
176668,100,4,1,30,1,0,53,147.8,69.2,12225425.6,26111530.4
542940,100,89,1,30,1332,0,33,198.2,106.3,57714522,107610708
480000,100,86,1,22,2,0,81,148.5,90.8,43584000,71280000
324701,100,14,1,54,4,0,26,288.2,132.6,43055352.6,93578828.2
122957,100,90,1,16,3,0,46,240.2,128.3,15775383.1,29534271.4
590696,100,28,1,46,10,0,54,209.4,95.9,56647746.4,123691742.4
102400,100,90,1,15,4,0,46,237,122.5,12544000,24268800
192761,100,55,1,14,1,0,53,233.7,122.9,23690326.9,45048245.7
81650,100,5,1,23,1,0,49,287.1,126.7,10345055,23441715
63879,100,7,1,14,2,0,9,218.7,102.3,6534821.7,13970337.3
262051,100,17,1,26,1,0,33,268.8,133.1,34878988.1,70439308.8
461591,90,55,1,22,14,0,12,229.7,138.6,63976512.6,106027452.7
96921,100,87,1,13,7,0,NA,225.2,125.1,12124817.1,21826609.2
364000,70,4,1,67,6,0,14,228.5,101.9,37091600,83174000
