"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
322505,100,89,11,3,1,0,49,142.9,75.9,24478129.5,46085964.5
47000,100,60,6,2,3,0,68,219.8,137.4,6457800,10330600
72000,100,97,1,5,1,0,33,130.7,74.3,5349600,9410400
109000,100,42,28,1,1,0,1,256.3,119.3,13003700,27936700
120000,100,96,1,23,12,0,92,141.8,64.3,7716000,17016000
16000,60,62,1,12,4,0,NA,143,75.6,1209600,2288000
5149,100,112,1,14,60,57,17,177,75.2,387204.8,911373
5500,100,62,2,20,837,833,NA,146.3,107,588500,804650
36888,100,89,1,6,4,0,89,85.2,62.4,2301811.2,3142857.6
65000,100,12,1,7,2,0,16,261.6,105.8,6877000,17004000
214783,80,89,1,10,1,0,67,174.2,75.7,16259073.1,37415198.6
90600,100,29,1,16,2,0,29,200.1,90.2,8172120,18129060
52342,100,115,1,11,7,0,79,136.6,58.8,3077709.6,7149917.2
29990,100,89,1,48,86,0,78,176.7,56.4,1691436,5299233
71000,100,16,1,7,1,0,34,211.8,90.5,6425500,15037800
49900,100,30,1,16,0,0,66,138.3,70.1,3497990,6901170
82767,100,114,1,6,4,0,46,136.2,72.2,5975777.4,11272865.4
58272,100,60,1,7,1,0,36,170.2,69.1,4026595.2,9917894.4
75395,100,50,1,8,1,0,82,91.8,55.6,4191962,6921261
67810,100,103,1,13,1,0,82,121.3,75,5085750,8225353
63010,100,45,1,4,1,0,39,174.1,71.9,4530419,10970041
21000,100,29,1,23,38,36,69,122.4,48.9,1026900,2570400
4828,100,86,1,10,2,0,NA,309.6,156.7,756547.6,1494748.8
7000,100,90,1,11,80,75,92,87.3,46.4,324800,611100
4875,100,51,1,10,75,74,NA,164.9,119.3,581587.5,803887.5
78257,100,55,1,5,2,0,68,71.8,44.4,3474610.8,5618852.6
121360,100,103,1,5,1,0,92,79.5,50.7,6152952,9648120
65000,100,97,2,6,2,0,40,149.5,87.3,5674500,9717500
65500,100,88,2,6,2,0,1,276.1,163.9,10735450,18084550
85215,100,88,1,11,2,0,58,159.7,56.8,4840212,13608835.5
29002,100,10,1,15,6,0,49,127.9,63.3,1835826.6,3709355.8
109350,100,97,4,8,1,0,1,277.1,154.1,16850835,30300885
117180,100,88,1,12,1,0,77,125.3,45.6,5343408,14682654
69806,100,102,1,7,1,0,53,136.5,65,4537390,9528519
26670,100,43,3,34,611,600,38,168.4,69.3,1848231,4491228
60000,100,11,1,41,482,215,53,130.2,70.6,4236000,7812000
102000,100,112,3,4,2,0,90,75,45.7,4661400,7650000
8000,100,44,1,13,329,323,NA,142.1,58,464000,1136800
60000,100,5,1,7,1,0,55,154,59.2,3552000,9240000
21551,100,10,1,8,127,125,NA,126.6,71.9,1549516.9,2728356.6
10715,100,10,1,13,60,56,2,285.3,126,1350090,3056989.5
46300,100,10,1,15,138,132,NA,240.5,108.8,5037440,11135150
13729,100,10,1,14,68,63,2,252.4,114.7,1574716.3,3465199.6
88345,100,46,1,10,1,0,100,46.8,31.3,2765198.5,4134546
1e+05,100,50,2,7,1,0,31,130.8,45.3,4530000,13080000
2585,100,9,1,7,50,48,NA,181.4,103,266255,468919
52288,100,68,1,6,3,0,80,83.5,64.5,3372576,4366048
52800,100,92,3,3,5,0,NA,98.1,73.9,3901920,5179680
415000,100,76,1,3,1,0,100,48.2,32.9,13653500,20003000
84920,100,86,1,4,1,0,98,64.6,44.5,3778940,5485832
4840,100,9,1,11,281,280,NA,105.4,64,309760,510136
8851,100,12,1,8,64,63,54,134.7,89.5,792164.5,1192229.7
86656,100,88,1,5,56,56,80,101.9,69.8,6048588.8,8830246.4
163812,100,45,1,3,1,0,58,141.5,69.5,11384934,23179398
59520,100,86,2,3,0,0,77,112.1,77.1,4588992,6672192
55650,100,47,1,3,1,0,84,90.7,66.9,3722985,5047455
13840,100,30,1,3,1,0,49,240.6,93.7,1296808,3329904
4100,100,4,1,8,106,105,NA,83.8,52,213200,343580
242473,100,94,19,3,1,0,2,166.4,129.7,31448748.1,40347507.2
55840,100,47,3,1.5,1,0,49,131.1,83.4,4657056,7320624
52462,100,61,1,5,0,0,NA,61.6,47.3,2481452.6,3231659.2
444000,90,58,3,5,1,0,100,48.4,34.5,15318000,21489600
102523,100,14,1,6,1,0,24,147.7,47,4818581,15142647.1
110000,100,45,1,7,1,0,93,126.3,63.5,6985000,13893000
108243,100,111,1,7,1,0,80,114.6,56.9,6159026.7,12404647.8
123290,100,3,1,5,1,0,73,102.8,57.9,7138491,12674212
158421,100,55,1,3,1,0,77,96.8,56.6,8966628.6,15335152.8
126107,100,92,1,4,0,0,70,85.3,61.8,7793412.6,10756927.1
8000,100,92,1,5,1,0,83,80.4,49.5,396000,643200
62800,100,87,2,3,2,0,49,174.4,78.1,4904680,10952320
113220,100,87,5,4,1,0,95,78.4,44.8,5072256,8876448
76437,100,87,1,6,1,0,12,236,108,8255196,18039132
86580,100,27,1,3,1,0,36,161.8,84.2,7290036,14008644
138570,100,109,1,4,1,0,80,97.9,39.1,5418087,13566003
99900,100,58,1,5,1,0,93,79.8,49.7,4965030,7972020
58420,100,48,1,5,1,0,81,77.3,43.5,2541270,4515866
63600,100,26,1,2,1,0,80,100.5,48.6,3090960,6391800
58700,100,8,1,2,1,0,18,190.2,83.9,4924930,11164740
68000,100,67,1,6,2,0,38,166.6,60.9,4141200,11328800
58040,100,75,2,3,0,0,74,110.3,91,5281640,6401812
65400,100,10,1,5,1,0,52,160.6,64.3,4205220,10503240
89296,100,59,1,4,1,0,97,74.1,42.6,3804009.6,6616833.6
57600,100,52,1,5,0,0,54,145.5,94.6,5448960,8380800
62000,100,31,1,3,1,0,24,185.8,95.9,5945800,11519600
72000,100,14,3,4,1,0,9,223.7,145.1,10447200,16106400
