"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
204720,100,78,1,6,150,150,67,106.6,75.7,15497304,21823152
116744,100,78,1,6,84,84,80,97.7,77.1,9000962.4,11405888.8
175885,100,44,2,13,116,115,40,131,56.2,9884737,23040935
152308,100,65,4,3,192,192,67,105.5,49.5,7539246,16068494
228570,100,65,6,3,288,288,99,62.4,25.5,5828535,14262768
152380,100,65,4,3,192,192,12,158.2,65.3,9950414,24106516
304760,100,65,8,3,384,384,88,87.4,43.7,13318012,26636024
306659,100,58,5,17,1921,1904,100,46.9,16.1,4937209.9,14382307.1
322355,100,57,5,17,1921,1904,100,44.3,15.3,4932031.5,14280326.5
322571,100,57,5,17,1921,1904,100,53.3,18.2,5870792.2,17193034.3
87260,100,53,1,11,119,116,58,112.8,100.8,8795808,9842928
62334,100,37,1,6,87,87,85,91.2,78.9,4918152.6,5684860.8
1385656,100,52,4,24,1038,1038,3,184.2,175.4,243044062.4,255237835.2
1989288,100,52,3,24,1547,1547,2,190.7,181.6,361254700.8,379357221.6
436115,95,89,6,6,550,538,17,163.4,122.5,53424087.5,71261191
74068,100,89,6,6,550,538,34,127.2,94.4,6992019.2,9421449.6
84442,100,89,6,6,550,538,22,141.3,112,9457504,11931654.6
72806,100,89,6,6,550,538,43,132.6,97,7062182,9654075.6
74549,100,89,6,6,550,538,6,140.1,105.2,7842554.8,10444314.9
96602,100,89,6,6,550,538,13,171.7,123.7,11949667.4,16586563.4
61782,100,89,6,6,550,538,1,196,150.6,9304369.2,12109272
735000,100,64,32,6,793,793,96,95.6,35.5,26092500,70266000
17500,100,64,32,6,793,793,NA,69.2,65.9,1153250,1211000
70000,100,64,32,6,793,793,100,67.5,65.2,4564000,4725000
70000,100,64,32,6,793,793,100,66.8,64.5,4515000,4676000
70000,100,64,32,6,793,793,100,68.2,65.9,4613000,4774000
