"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
249978,100,56,3,9,1,0,73,230.3,73.4,18348385.2,57569933.4
423521,100,107,1,12,1,0,71,219.5,69.9,29604117.9,92962859.5
56959,100,103,1,7,129,127,74,169.1,108.3,6168659.7,9631766.9
117368,100,88,1,11,1,0,84,161.7,108.6,12746164.8,18978405.6
138403,100,44,1,31,1,0,78,167.6,105.8,14643037.4,23196342.8
285890,100,44,2,31,236,219,78,177.2,124.5,35593305,50659708
52850,100,47,1,10,6,0,81,159.6,85.6,4523960,8434860
18341,100,14,2,6,1,0,6,367.8,147.9,2712633.9,6745819.8
8000,100,92,1,8,6,0,23,286.4,164.9,1319200,2291200
3800,100,10,6,4,41,0,45,300,124.1,471580,1140000
69000,100,70,1,4,4,0,33,298.9,95.3,6575700,20624100
123257,100,51,3,5,0,0,NA,243.4,98.6,12153140.2,30000753.8
60852,100,89,1,9,3,0,75,186.2,83.5,5081142,11330642.4
847751,100,48,1,34,14,0,88,175.7,67.3,57053642.3,148949850.7
859807,100,48,1,35,59,0,62,229.7,108.6,93375040.2,197497667.9
405310,95,31,1,30,29,0,38,292.1,101.1,40976841,118391051
336025,70,86,1,24,97,0,86,154.7,60.1,20195102.5,51983067.5
322760,100,53,1,21,41,0,74,208,98.3,31727308,67134080
2000,100,108,1,19,21,20,NA,114.3,76.9,153800,228600
423403,100,87,1,37,76,0,91,128.9,54.6,23117803.8,54576646.7
767690,100,96,1,23,12,0,92,141.8,64.3,49362467,108858442
741337,100,115,2,31,623,500,90,121.5,43.4,32174025.8,90072445.5
6900,100,28,1,28,294,293,NA,135.9,76.6,528540,937710
296550,100,88,1,31,54,0,87,156,71.7,21262635,46261800
447442,100,89,1,38,87,0,70,203.6,84.5,37808849,91099191.2
368305,100,34,1,31,71,0,65,216.7,81.8,30127349,79811693.5
361878,100,4,1,31,60,0,80,195.3,72.3,26163779.4,70674773.4
786975,95,101,1,33,102,0,93,136.6,49.2,38719170,107500785
335184,100,100,1,21,170,0,58,233.9,76.9,25775649.6,78399537.6
389917,100,113,1,21,55,0,59,231.9,92.3,35989339.1,90421752.3
343345,100,90,1,38,66,0,88,126.3,51.6,17716602,43364473.5
466820,100,61,1,27,1,0,99,77.3,38.9,18159298,36085186
275500,100,104,1,20,63,0,92,109.4,45.2,12452600,30139700
400143,80,50,1,30,88,0,73,215.7,91.4,36573070.2,86310845.1
213300,100,115,1,20,0,0,73,177.5,77.4,16509420,37860750
252136,100,88,1,57,352,350,79,118.5,56.1,14144829.6,29878116
325318,100,55,1,24,67,0,NA,214.4,106.3,34581303.4,69748179.2
84827,100,86,1,26,32,0,NA,186.9,90.5,7676843.5,15854166.3
745461,75,34,1,31,1,0,87,175,70,52182270,130455675
61250,100,110,1,12,4,0,68,217.4,82.1,5028625,13315750
562260,100,88,1,34,96,0,9,451.6,161,90523860,253916616
760443,100,34,1,26,14,0,80,191.1,73.6,55968604.8,145320657.3
885474,60,49,1,24,2,0,56,187.7,71,62868654,166203469.8
83150,40,52,1,27,212,205,69,168.9,73,6069950,14044035
520000,90,48,1,29,65,0,73,194.5,88,45760000,101140000
549144,95,44,1,32,23,0,74,317.3,174.1,95605970.4,174243391.2
107751,25,115,1,12,44,0,100,42.5,23.9,2575248.9,4579417.5
107751,25,115,1,12,54,0,100,51.1,33.1,3566558.1,5506076.1
281755,100,91,1,32,27,0,67,191.3,69,19441095,53899731.5
96245,100,63,1,12,21,0,NA,198.9,76.1,7324244.5,19143130.5
158555,95,85,1,21,17,0,58,240.3,97.1,15395690.5,38100766.5
363572,100,95,1,23,33,0,81,169.1,55.5,20178246,61480025.2
968458,100,105,1,32,71,0,48,244.7,117.7,113987506.6,236981672.6
450000,90,112,1,22,100,0,93,132.1,42.1,18945000,59445000
4e+05,90,109,1,21,53,0,60,242.3,121,48400000,96920000
411843,40,110,1,26,69,0,98,83,26.4,10872655.2,34182969
502238,100,96,1,18,22,0,69,205.6,100.8,50625590.4,103260132.8
586218,100,44,1,34,34,0,22,346,176.3,103350233.4,202831428
145000,100,109,4,16,75,0,72,218.6,105,15225000,31697000
134840,100,109,1,20,52,0,92,140.3,57.1,7699364,18918052
13100,100,90,1,14,83,76,65,122.5,61.5,805650,1604750
801685,100,93,1,14,0,0,58,242.8,111.3,89227540.5,194649118
617356,100,31,1,27,7,0,82,167.1,60.2,37164831.2,103160187.6
136764,100,58,1,13,19,0,44,260.4,118.5,16206534,35613345.6
381163,100,45,1,22,76,0,12,440.7,173.7,66208013.1,167978534.1
342310,100,86,1,35,418,416,93,141,64.7,22147457,48265710
