"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
10000,100,114,1,12,121,121,1,352.2,295.4,2954000,3522000
24000,100,92,1,8,6,0,23,286.4,164.9,3957600,6873600
50000,90,13,6,4,41,0,NA,204.1,70.8,3540000,10205000
64296,75,23,3,1,17,0,94,90.9,29,1864584,5844506.4
20000,100,12,2,16,187,187,14,198.8,89.4,1788000,3976000
5089,100,48,1,34,14,0,88,175.7,67.3,342489.7,894137.3
20000,100,88,1,45,284,283,31,167.9,78.8,1576000,3358000
85652,90,31,2,44,1,0,71,251.6,120.5,10321066,21550043.2
28464,100,29,1,9,184,182,9,195.6,98.7,2809396.8,5567558.4
17453,100,29,2,9,165,163,17,197.1,108.6,1895395.8,3439986.3
6916,100,31,1,15,177,174,22,160.1,83.9,580252.4,1107251.6
50183,100,8,1,38,453,452,26,183.5,101.5,5093574.5,9208580.5
88610,100,35,1,31,165,156,9,256.6,116.5,10323065,22737326
23700,100,115,1,20,0,0,73,177.5,77.4,1834380,4206750
6000,100,97,2,26,374,372,35,140.8,72.1,432600,844800
36886,100,88,1,57,352,350,79,118.5,56.1,2069304.6,4370991
11000,100,91,1,23,211,202,NA,164.3,103.8,1141800,1807300
29252,100,88,1,34,96,0,9,451.6,161,4709572,13210203.2
42247,100,34,1,26,14,0,80,191.1,73.6,3109379.2,8073401.7
8670,100,48,1,22,506,503,26,165.1,74.7,647649,1431417
6590,90,48,1,29,65,0,73,194.5,88,579920,1281755
8173,100,61,1,12,122,121,NA,231.9,113.9,930904.7,1895318.7
33497,100,105,1,32,71,0,48,244.7,117.7,3942596.9,8196715.9
22272,95,109,1,24,411,410,67,126.9,52.3,1164825.6,2826316.8
19134,85,45,1,54,17,0,89,237.4,98.1,1877045.4,4542411.6
80712,100,44,1,34,34,0,22,346,176.3,14229525.6,27926352
7056,100,108,1,33,92,87,9,162.9,91.1,642801.6,1149422.4
8000,100,90,1,14,83,76,65,122.5,61.5,492000,980000
5200,100,58,1,13,19,0,44,260.4,118.5,616200,1354080
5346,95,58,1,16,44,0,88,139.9,52.3,279595.8,747905.4
16871,100,33,1,35,36,0,73,208.1,75.5,1273760.5,3510855.1
12000,100,56,1,31,579,576,21,159.9,80,960000,1918800
11751,100,60,1,26,41,0,84,162.9,69.6,817869.6,1914237.9
5536,90,101,1,29,64,0,87,148.9,61.1,338249.6,824310.4
12755,100,11,1,58,400,396,NA,161.4,88.6,1130093,2058657
18520,95,56,1,31,68,0,83,280.3,99.9,1850148,5191156
23799,100,12,1,10,168,163,1,321.9,134,3189066,7660898.1
21941,100,57,3,2,465,420,NA,109.3,72.3,1586334.3,2398151.3
7140,100,91,1,18,64,0,67,162.2,78.9,563346,1158108
9200,100,31,1,11,129,128,8,185.8,90.5,832600,1709360
5000,100,102,1,8,46,45,NA,118.2,68.2,341000,591000
8600,100,31,1,11,128,127,11,179.8,87.7,754220,1546280
8600,100,29,1,10,80,79,32,155.5,88.8,763680,1337300
5084,100,86,1,16,40,38,4,183.5,79.8,405703.2,932914
60000,100,11,2,32,388,382,16,225.8,102.4,6144000,13548000
16868,100,12,1,29,256,253,2,185,84.8,1430406.4,3120580
16399,100,7,1,20,84,83,52,128.3,57.7,946222.3,2103991.7
6250,100,107,1,19,70,0,77,140,73.7,460625,875000
6000,100,27,1,53,443,440,13,163.7,96.9,581400,982200
17025,100,14,1,19,339,331,4,242.9,142.3,2422657.5,4135372.5
7500,90,97,1,12,68,66,NA,352.1,129.9,974250,2640750
7250,100,32,1,12,39,38,NA,177.4,90.1,653225,1286150
5020,100,8,1,10,17,16,NA,225,98.7,495474,1129500
5405,100,102,1,8,34,33,3,209.5,103.8,561039,1132347.5
27500,100,18,1,6,47,46,24,182.1,69.1,1900250,5007750
12912,100,17,1,9,28,27,40,153.2,81.3,1049745.6,1978118.4
12400,100,102,1,15,65,64,68,116.9,76,942400,1449560
10000,100,102,1,5,3,0,18,305.4,122.2,1222000,3054000
7000,100,107,1,9,26,24,NA,105.5,72.4,506800,738500
11000,100,13,1,13,69,65,NA,164.3,75.2,827200,1807300
5442,100,22,1,9,30,28,95,81.7,59.3,322710.6,444611.4
5000,100,104,1,12,12,0,72,199.8,75.2,376000,999000
9000,100,102,1,6,50,0,54,196.1,66.1,594900,1764900
46557,100,57,4,21,893,866,91,138.8,87.8,4087704.6,6462111.6
7938,100,68,1,12,263,258,32,157.7,105.3,835871.4,1251822.6
18928,100,7,1,8,10,6,42,161.3,72.3,1368494.4,3053086.4
6560,100,67,5,10,439,439,81,96.5,52.8,346368,633040
5590,100,79,1,6,84,76,96,86.5,28,156520,483535
15987,100,17,1,12,64,63,2,467.2,235.8,3769734.6,7469126.4
85995,100,97,1,9,22,3,91,102.2,59.8,5142501,8788689
71186,100,14,1,14,363,361,12,200.6,94.3,6712839.8,14279911.6
10105,100,88,1,16,166,159,46,135.7,75.3,760906.5,1371248.5
7000,100,5,1,12,67,65,NA,147.4,70.6,494200,1031800
16856,100,92,1,7,75,65,28,191.9,99.5,1677172,3234666.4
14208,100,53,3,17,157,155,29,208.4,110.9,1575667.2,2960947.2
11000,100,67,1,10,61,54,64,121.7,76.9,845900,1338700
7859,100,91,1,12,42,41,5,184.8,75.4,592568.6,1452343.2
5200,100,110,1,12,15,0,NA,157.9,60.8,316160,821080
14943,100,115,1,11,18,0,65,248,114.3,1707984.9,3705864
16550,100,97,1,7,25,1,76,171.3,73.1,1209805,2835015
11000,100,107,1,9,40,39,NA,81.5,40.9,449900,896500
9600,100,105,1,6,42,0,78,159.3,67.4,647040,1529280
7906,100,12,1,7,17,14,NA,121.6,66,521796,961369.6
