"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
32505,30,43,1,32,5,0,NA,235.2,82.1,2668660.5,7645176
56000,100,111,1,10,11,0,66,47.6,40.1,2245600,2665600
104680,100,89,1,7,1,0,NA,55.2,34.4,3600992,5778336
10000,100,87,1,6,7,0,NA,240.5,93.7,937000,2405000
479500,75,68,1,3,2,0,29,178.3,84.8,40661600,85494850
150000,100,48,1,3,1,0,25,165.7,78.3,11745000,24855000
94622,100,104,1,9,1,0,9,157.2,50.1,4740562.2,14874578.4
120000,0,97,1,11,1,0,NA,18.2,5.8,696000,2184000
6000,100,92,1,12,19,18,NA,114.8,73.8,442800,688800
9000,100,90,1,15,25,24,88,77.2,67,603000,694800
87675,100,93,1,16,1,0,56,52.3,38.7,3393022.5,4585402.5
13607,100,90,1,21,67,0,NA,119.5,38.1,518426.7,1626036.5
39003,100,93,1,17,1,0,NA,89.4,28.5,1111585.5,3486868.2
179500,100,92,1,16,1,0,NA,141.5,87.4,15688300,25399250
24000,100,97,2,8,4,0,NA,247.7,150.2,3604800,5944800
30975,90,107,1,12,13,0,53,94.1,47.6,1474410,2914747.5
20000,100,87,1,10,81,0,96,119.8,46.7,934000,2396000
7000,100,97,1,12,13,0,61,167.9,69.8,488600,1175300
80193,100,39,1,3,1,0,48,115.7,44.2,3544530.6,9278330.1
793419,100,54,1,8,2,0,73,132.8,63,49985397,105366043.2
25818,100,112,1,8,10,0,48,133.6,57.5,1484535,3449284.8
22500,100,97,1,6,2,0,NA,57.8,42.6,958500,1300500
71400,100,92,1,4,2,0,65,95.2,30.3,2163420,6797280
15000,100,90,1,6,5,0,84,112.1,57.5,862500,1681500
4455,100,18,1,10,76,0,NA,254.1,121.1,539500.5,1132015.5
86100,100,95,1,11,5,0,NA,33.3,24.8,2135280,2867130
118944,100,90,1,14,1,0,90,21.6,8.9,1058601.6,2569190.4
120000,100,17,1,10,1,0,NA,359.5,155.9,18708000,43140000
71656,100,8,2,3,3,0,51,28.9,17.1,1225317.6,2070858.4
108769,100,96,2,6,3,0,62,65.7,28.2,3067285.8,7146123.3
98000,100,50,1,1,1,0,1,241.2,86.4,8467200,23637600
104334,100,104,1,6,1,0,100,16.7,11.9,1241574.6,1742377.8
89422,100,93,1,3,1,0,NA,31.1,12.2,1090948.4,2781024.2
