"SQFT","LODGRM_SQFT","NWKER_SQFT","RFG_SQFT","HDD65_HEATP","CDD65_COOLP","Kitchen","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
130000,1.346,0.231,1.423,5535,1063,"No",135.03,17554415.2,15.946
150000,1.167,0.2,1.247,3757,1788,"Yes",148.18,22227469.02,84.056
500001,1.4,0.4,0.082,4282,1058,"No",162.91,81454032.8,84.056
27000,2.963,0.407,3.333,2451,2132,"No",270.83,7312488.05,259.352
7e+05,1,0.357,1.129,219.6,3831.3,"Yes",196.72,137702999.91,17.191
480000,0.938,0.156,0.081,3865.5,1047.6,"Yes",142.19,68251408.4,84.056
194000,1.16,0.258,0.113,4940,941.16,"Yes",252.8,49043611.4,84.056
104000,1.442,0.24,1.587,2426.4,1673.1,"No",214.98,22357743.8,84.056
62000,1.613,0.242,1.71,2295.9,1692,"No",198.1,12282155.55,84.056
280000,1.071,0.254,0.1,4033,1527,"Yes",213.36,59740668.55,15.946
57000,1.754,0.14,0.228,5044,1301,"No",157.03,8950623.85,316.084
4e+05,0.438,2,0.462,3863,1489,"No",131.17,52469101.3,36.189
430000,1.628,0.814,0.035,4647,1131,"Yes",212.74,91478234.8,25.323
130000,1.346,0.308,1.415,1564,3298,"No",138.52,18007692.5,90.622
270000,1.481,0.352,0.426,76,4608,"Yes",195.48,52779908.27,17.191
290000,0.69,0.603,0.731,2139,2272,"Yes",214.99,62347689.15,30.431
65000,1.077,0.185,0.246,3302,1398,"Yes",103.34,6716928.05,239.385
24250,2.474,0.124,1.237,5068,1101,"No",122.24,2964208.1,308.206
124000,1.21,0.145,0.444,5235,1483,"No",162.27,20121805.2,15.946
29000,2.414,0.207,2.586,2527,1763,"No",175.46,5088391.35,751.727
290000,0.862,0.207,0.117,2052,1829,"Yes",279.97,81191778.12,62.585
5e+05,0.7,0.22,0.742,2539,1746,"Yes",237.52,118760262.24,15.946
104000,1.442,0.385,0.087,4146,1251,"No",251.66,26172962.55,212.426
57000,1.754,0.105,1.333,2542,1989,"No",117.15,6677801.2,259.352
124000,1.21,0.097,0.081,1868,3086,"No",154.38,19142936.29,28.039
104000,1.683,0.288,1.76,4548,1457,"Yes",309.15,32151432.25,15.946
186000,1.613,0.161,0.538,1082.4,3501,"No",222.38,41363216.3,17.191
7900,1.519,0.253,1.519,2352,780,"No",126.04,995747.55,1878.601
46000,1.739,0.152,1.848,921,3389.4,"No",199.81,9191033.25,259.352
460000,1.522,0.326,0.028,1899,3504,"Yes",249.42,114731266.26,90.622
11250,1.067,0.711,1.156,3606,1555,"No",120.21,1352311.8,2140.906
365000,1.37,0.205,1.534,1712,2972,"Yes",188.06,68641652.97,17.191
5e+05,0.9,0.33,0.95,1911,2443,"Yes",203.46,101728034.3,7.577
500001,1.4,1.05,1.552,3583,1038,"Yes",274.91,137457119.1,84.056
104000,1.202,0.385,1.288,6563.06,918,"No",189.56,19714343.95,15.946
124000,0.645,0.113,0.718,3809,1477,"No",60.8,7539694.05,212.426
160000,1.875,0.625,0.156,2539,2480,"Yes",279.43,44708708.8,17.191
9e+05,0.556,0.083,0.066,4623,960,"Yes",162.65,146383749.35,15.946
335000,0.896,0.239,0.251,7634,892,"Yes",172.7,57855051.8,15.946
4e+05,1,0.178,0.11,2119.9,1374.4,"Yes",119.66,47862280.55,15.946
500001,1,0.2,0.058,578.25,3641.25,"Yes",101.13,50565557.13,7.577
500001,0.9,0.22,0.056,4326.5,905.4,"Yes",174.72,87362345.25,15.946
67000,1.343,0.522,1.597,909,3114,"No",291.66,19541391.1,90.622
164000,0.915,0.75,0.335,8180,767.34,"Yes",243.05,39859673.35,84.056
27000,1.667,1.852,1.889,7680,619.2,"Yes",246.56,6657147.35,251.027
235000,1.277,0.638,0.455,4699,992.97,"Yes",202.28,47536723.15,84.056
270000,1.111,0.296,1.189,1070,1235,"Yes",121.71,32860722.37,84.056
