"NWKER_SQFT","HDD65_HEATP","CDD65_COOLP","IsCooking","IsOpenWeekends","IsHighSchool","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
0.811,1316,3548,"Yes","No","Yes",191.94,71018154.55,90.622
0.683,3674,1894,"Yes","Yes","No",161.66,16812947.9,139.17
0.53,5569,80.1,"Yes","No","No",103.06,4277141.75,311.134
0.494,2867,1811,"Yes","No","Yes",98.57,7984402.3,242.087
1.111,6297,308,"Yes","Yes","No",118.27,5854322.25,311.134
0.771,4504,1036,"Yes","No","No",191.29,9181908.4,239.385
0.381,2762.1,1970,"No","No","No",52.25,6583149.3,239.385
0.46,6075,484.8,"No","Yes","Yes",127.89,31972015.25,84.056
1.137,1644,3043,"Yes","No","No",99.13,7236514.25,316.263
0.719,2786,1723,"Yes","Yes","No",225.02,52879625.75,84.056
0.469,5019,126.75,"Yes","No","Yes",101.76,6512401.7,138.566
0.852,3634,1692,"Yes","No","No",86.89,7646147.25,138.566
0.833,1454,3954,"Yes","Yes","No",123.05,6644510.6,385.908
1.132,6194,1052,"No","No","No",97.11,2573364.15,583.351
0.634,7296,532.8,"Yes","Yes","Yes",86.96,17826093.25,179.596
0.261,6164,649,"Yes","Yes","Yes",104.17,23958536,84.056
1.245,6091,360.8,"No","No","No",115.08,3049519.2,499.12
0.613,7628,84.75,"Yes","Yes","No",110.55,15698348.05,125.65
0.375,2746,2155,"No","Yes","No",106.17,6795176.85,299.395
0.727,4747,44.35,"Yes","Yes","Yes",74.77,4112345.3,84.056
1.364,5610,583,"Yes","Yes","No",241.85,5320636.3,503.863
0.928,2285,2161,"No","No","Yes",181.82,3136394.15,583.351
0.735,5594,432.6,"Yes","No","Yes",110.35,30346646.4,125.65
0.635,914,3244,"Yes","Yes","Yes",127.63,16081167.55,171.867
1.471,6714,878,"Yes","Yes","No",89.05,6055274.05,242.087
0.735,3545,1990,"Yes","No","No",91.98,6254775.8,201.21
0.97,3234,1425,"Yes","No","No",48.06,3220089.6,360.218
0.976,3557,1779,"Yes","No","No",203.47,17091646.95,316.084
0.47,3189.75,166.5,"Yes","Yes","Yes",53.81,26905359.91,84.056
0.667,4103,1541,"Yes","Yes","No",141.78,29773537.85,84.056
0.672,4216,1745,"No","Yes","No",123.99,8307076.4,484.852
0.685,3473.1,1131.75,"Yes","No","No",115.09,8401775.71,356.198
0.88,5742.75,160.2,"Yes","Yes","No",134.21,19057290.35,160.426
0.633,5152,865,"Yes","No","Yes",88.72,7008641.82,239.385
0.385,6409,768.8,"Yes","No","Yes",101.69,26439249.2,84.056
0.733,365,3383,"Yes","No","No",101.27,11746774.55,171.867
0.533,1010.7,4647.4,"No","No","No",206.28,7735487.2,624.954
0.896,251.6,3043.85,"Yes","Yes","Yes",111.01,37188947.6,90.622
0.61,4366,1089.9,"Yes","No","No",112.12,15248303.7,271.015
0.968,2130.3,945.9,"No","No","No",54.59,169243.2,1849.185
0.912,3944,1524,"Yes","Yes","No",200.72,27298180.7,366.156
0.909,1370,1366,"No","No","No",115.75,2546588.8,316.263
0.349,2049,2409,"Yes","Yes","No",77.85,13389679.45,362.07
0.267,2707.5,1991.2,"Yes","Yes","Yes",59.14,13307271.25,15.946
0.588,472.56,508.2,"Yes","Yes","No",44.11,3528480.2,336.402
0.793,2810,2377,"Yes","No","No",81.6,9465352.4,138.566
0.97,1999,2802,"Yes","No","No",99.36,6657318.5,209.1
0.597,2773,2016,"No","No","Yes",115.51,3869649.35,84.056
1.039,3713,1278,"Yes","Yes","No",116.71,8986630.06,212.426
0.627,5564,860.18,"Yes","Yes","Yes",164.52,11022960.2,139.17
