"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
37500,68,0.667,0.747,7.965,"No",187.32,7024363.5,653.843
6e+05,72,2.5,2.877,7.452,"No",257.53,154516125.89,23.251
71000,60,1.746,2.887,6.468,"No",131.16,9312410.82,360.218
2350,40,2.553,1.702,7.894,"No",99.06,232783.6,1791.31
395000,66,2.785,3.582,7.588,"No",229.62,90699590.61,48.841
150000,60,1.333,1.773,7.163,"No",237.86,35679153.12,24.435
16500,45,0.727,1.455,7.358,"No",314.87,5195395.1,1117.742
1e+06,168,3.5,4.512,7.121,"No",269.44,269439803.4,15.946
8e+05,60,2.968,4.7,7.517,"No",162.31,129849378.4,25.323
295000,90,4.068,3.803,5.866,"Yes",129.29,38140115.73,86.871
10250,40,1.366,2.049,5.45,"No",215.84,2212380.97,1155.428
9900,40,1.717,1.717,6.851,"No",80.86,800482.9,1559.829
1200,40,2.5,2.5,6.004,"No",149.25,179100.25,1667.755
4950,44,1.212,1.616,6.047,"No",63.11,312379.9,1868.403
3100,168,0.968,1.613,6.553,"No",87.92,272554.74,1868.403
20000,40,1,1.4,3.063,"No",36.71,734197.1,692.221
160000,40,3.438,6.25,5.553,"No",1044.59,167134595.3,52.658
480000,63,3.125,2.327,5.935,"Yes",271.54,130341493.55,16.67
41000,60,2.439,3.244,8.295,"No",188.45,7726446,74.845
106000,50,2.594,4.057,6.912,"No",131.77,13968016.65,181.075
2300,55,2.609,6.087,6.709,"Yes",230.81,530866,1851.67
6000,81,1.167,1.833,5.459,"No",145.91,875481.6,1807.463
15000,40,1.333,2.2,2.245,"No",404.03,6060468.4,1807.463
255000,54,1.388,2.192,2.403,"No",48.7,12418980.89,48.841
1200,59,0.833,1.667,2.301,"No",20.32,24379.6,1451.617
6e+05,60,2.5,4.083,4.873,"No",144.51,86704648.43,23.718
7500,36,0.4,1.067,4.725,"No",19.28,144607.4,1729.173
122000,168,5.328,10.861,8.022,"Yes",553.35,67508780.37,183.793
172000,60,3.023,3.471,6.405,"No",187.62,32271029.35,53.724
14000,40,4.643,9.429,7.182,"No",512.96,7181507.2,1117.742
158000,55,3.576,6.487,7.576,"No",135.28,21374915.68,50.319
80000,50,0.625,0.388,6.836,"No",33.12,2649803.1,312.367
90000,50,2.778,3.6,7.269,"No",257.33,23159661.28,158.3
15000,84,2,3.6,8.2,"No",284.04,4260629.8,624.954
42000,55,2.167,3.476,7.718,"No",286.99,12053461,385.908
3650,55,1.918,2.192,7.472,"No",123.91,452273.5,1828.052
190000,168,3.158,2.632,3.446,"No",367.81,69883542.93,50.319
30000,50,1.667,5.833,8.327,"No",179.49,5384610,48.841
390000,60,3.077,5.131,8.177,"No",163.74,63858671.1,48.841
25000,44,2,2.84,6.942,"No",128.2,3204948.25,908.283
2600,40,2.692,3.077,7.127,"No",113.69,295601.6,1667.755
8200,60,0.976,1.463,3.201,"No",54.02,442976.1,1868.403
76000,60,0.987,1.211,6.586,"No",156.66,11906000.4,126.267
2200,45,3.182,4.091,6.777,"No",106.77,234901.8,1667.755
122000,59,4.098,5.77,7.425,"No",250.12,30514820,148.303
126000,66,2.778,4.841,7.479,"No",258.74,32601153.2,64.479
315000,168,3.492,9.016,6.821,"No",85.82,27033388.75,52.146
3300,44,0.303,0.303,2.071,"No",65.04,214624.2,1559.829
20000,40,3.25,1.15,8.024,"No",118.87,2377311.65,657.711
108000,168,1.62,1.796,6.658,"No",327.71,35392965.65,148.303
3800,40,2.105,2.632,6.52,"No",109.11,414603,1162.263
490000,55,1.531,2.163,5.848,"No",124.84,61170124.4,48.841
166000,46,1.729,1.494,2.65,"Yes",235.51,39095100.96,77.392
186000,50,1.817,2.016,7.274,"No",213.83,39771869.2,50.319
1001,48,7.992,3.996,8.32,"No",163.5,163667.7,48.841
71000,40,0.451,0.465,7.197,"No",184.85,13124206.2,9.285
65000,168,0.154,0.2,6.037,"No",47.38,3079830.81,356.198
1600,44,4.375,2.5,7.474,"No",207.87,332598.87,1729.173
132000,45,1.705,2.121,6.388,"No",197.64,26088364.58,53.724
1100,38,1.818,2.727,7.829,"No",517.79,569567.6,23.718
34500,50,2.377,2.957,6.568,"No",142.9,4930016.7,1031.346
186000,80,1.075,1.086,5.448,"Yes",86.64,16114812,161.867
3e+05,70,2.667,1.967,3.411,"No",282.29,84687451.45,52.146
2150,45,2.326,4.651,7.509,"No",130.18,279888,1868.403
6300,60,0.794,1.429,8.181,"Yes",297.95,1877111.6,1162.263
6000,40,0.333,2.167,7.387,"No",92.72,556343.2,1849.185
4000,45,1.5,4,6.957,"No",189.11,756425.95,1879.456
7e+05,168,2.143,5.957,7.562,"No",446.73,312711398.74,2.187
4000,49,1.5,2,7.26,"Yes",217.96,871826.9,1807.463
7000,80,2.143,3.857,8.323,"No",386.65,2706560.85,624.954
405000,75,2.469,3.511,7.643,"No",169.91,68815202.4,15.619
7e+05,65,1.714,1.75,6.861,"No",211.14,147800229.5,25.323
18500,60,1.351,4.973,4.493,"No",65.96,1220321.55,1145.08
90000,55,0.444,0.678,5.655,"No",70.86,6377847.35,190.59
210000,60,1.667,1.31,6.912,"No",159.49,33493455,9.093
100001,54,0.6,0.7,7.493,"No",140.01,14001125.6,50.319
405000,88,1.049,2.037,7.03,"No",169.85,68787646.37,52.146
3000,40,1.333,2.667,8.201,"No",49.63,148892.8,1879.456
1400,48,3.571,3.571,7.608,"No",82.7,115780,1667.755
3300,70,1.515,1.818,8.238,"Yes",320.36,1057201.6,1879.456
225000,65,1.778,3.649,7.604,"No",128.59,28932683.7,55.969
1600,60,1.25,4.375,2.944,"No",52.72,84351.54,1461.857
290000,60,1.207,1.741,6.336,"No",240.06,69616650.45,48.841
78000,45,1.641,2.628,6.011,"No",103.79,8095777.9,19.69
60000,40,1.417,1.683,7.292,"No",27.31,1638719.6,1117.742
1050,40,1.905,2.857,3.628,"No",175.33,184091.6,1868.403
58000,168,2.069,2.414,7.246,"No",155.6,9025059.6,665.409
73000,72,5.479,3.082,7.717,"No",143.09,10445542.8,48.841
9300,40,3.226,3.871,5.285,"No",75.28,700106.4,1031.346
160000,50,1.875,2.056,6.345,"No",99.89,15981693.31,139.17
4900,98,3.061,2.041,6.999,"No",92.91,455253.05,1145.08
2000,40,2,1.5,3.81,"No",81.93,163859.5,1069.328
120000,40,1.417,3.208,6.902,"No",137.81,16536908.85,53.724
