"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","RFGSTP","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","LODGRM","OCCUPYP","LODOCCP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
130000,5,2,NA,NA,12,1,168,30,1,2,100,100,2,2,1,2,2,1,2,NA,NA,1,1,2,NA,8,NA,6,10,2,6,2,200,2,1,5535,1063,38,18,15.945623796,9279859,4463179,4816680,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,175,2,NA,8,NA,175,NA,75,12496901.2,5057514,NA,NA,17554415.2,135.03,71.38,27.44,9279859
25000,3,1,NA,NA,12,1,168,10,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,4,2,5,2,5,1,68,NA,NA,4873,629,38,18,313.28621931,3053645,1697057,1356588,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,70,NA,NA,2,4,70,NA,91,4751759.6,1424417.4,NA,NA,6176177,247.05,122.15,21.96,3053645
40000,2,NA,NA,NA,12,1,168,20,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,4,4,1,3,1,138,NA,NA,2575,2313,39,18,239.38538189,3992368,2243410,1748958,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,NA,NA,NA,1,NA,125,NA,60,6281548,1836405.9,NA,NA,8117953.9,202.95,99.81,21.54,3992368
150000,4,5,NA,NA,12,1,168,30,1,2,100,100,2,2,1,1,2,1,2,NA,NA,1,1,2,8,NA,2,5,16,2,6,1,184,2,3,3757,1788,38,18,84.055763395,9308093,7116951,2173820,17322,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,175,2,8,NA,2,175,NA,76,19927462.8,2282511,17495.22,NA,22227469.02,148.18,62.05,9.78,9308093
50000,3,1,NA,NA,12,1,168,6,2,2,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,5,0,3,0,45,1,NA,1943,238,39,18,356.19828827,1130103,447760,682343,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,40,NA,NA,NA,1,40,NA,85,1253728,716460.15,NA,NA,1970188.15,39.4,22.6,34.63,1130103
500001,995,18,2,NA,12,1,168,200,1,2,100,100,2,2,1,2,2,2,2,NA,NA,1,1,5,1,7,28,24,40,10,3,1,995,5,7,4282,1058,38,18,84.055763395,43513501,20437061,23076440,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,5,1,7,28,700,NA,88,57223770.8,24230262,NA,NA,81454032.8,162.91,87.03,28.33,43513501
27000,3,1,NA,NA,12,1,168,11,1,2,100,100,1,2,2,2,1,2,2,NA,NA,1,1,NA,NA,2,3,3,5,0,2,0,119,1,NA,2451,2132,38,18,259.35186162,3330256,2180411,1149845,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,5,80,NA,NA,2,3,80,NA,95,6105150.8,1207337.25,NA,NA,7312488.05,270.83,123.34,15.72,3330256
8200,1,NA,NA,NA,12,1,168,3,2,2,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,8,NA,NA,786,4460,39,18,2293.5899096,415326,415326,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,8,NA,80,1162912.8,NA,NA,NA,1162912.8,141.82,50.65,NA,415326
700000,994,9,4,NA,12,1,168,250,1,2,20,90,2,1,1,1,1,2,2,NA,NA,2,NA,9,6,20,22,28,40,8,12,3,995,12,NA,1098,4257,38,18,17.191258213,63361720,40712161,20822363,1827196,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,33,700,9,6,20,22,700,NA,70,113994050.8,21863481.15,1845467.96,NA,137702999.91,196.72,90.52,15.12,63361720
480000,5,9,NA,NA,12,1,168,75,1,2,90,90,2,2,1,1,1,2,2,NA,NA,1,1,9,5,2,15,14,50,5,25,3,995,5,2,4295,1164,38,18,84.055763395,30111083,20934155,9176928,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,8,NA,9,5,2,15,450,NA,71,58615634,9635774.4,NA,NA,68251408.4,142.19,62.73,13.45,30111083
