"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
13900,20,1.44,1.3,25,458,2263,"Low-rise",1429787,620098,102.9,44.6,925.04
15710,20,1.27,1,20,148,2939,"Low-rise",1147266,774264,73,49.3,925.04
19740,20,1.01,1.4,27,669,2994,"Low-rise",1082169,509444,54.8,25.8,925.04
12730,20,1.57,1,20,2055,3348,"Low-rise",2078417,698558,163.3,54.9,925.04
20908,21,1,1,21,456,6104,"Low-rise",2153634,1442340,103,69,925.04
18288,24,1.31,1,24,3089,1730,"Low-rise",2313510,736787,126.5,40.3,925.04
15704,24,1.53,1.3,30,391,2339,"Low-rise",1388045,798440,88.4,50.8,925.04
21187,24,1.13,1.3,32,356,2340,"Low-rise",1424802,779466,67.2,36.8,925.04
14687,24,1.63,1,24,358,2621,"Low-rise",1463930,581188,99.7,39.6,925.04
35253,24,0.68,2,48,148,2939,"High-rise",5699938,3458779,161.7,98.1,925.04
15617,24,1.54,1,24,2132,3306,"Mid-rise",2130623,678542,136.4,43.4,925.04
18561,24,1.29,1.8,44,48,5282,"Low-rise",2479371,789609,133.6,42.5,925.04
24624,24,0.97,2.8,66,588,5882,"Low-rise",3243490,1032959,131.7,41.9,925.04
18789,24,1.28,1,24,1115,5955,"Low-rise",3805484,2275960,202.5,121.1,925.04
55339,25,0.45,2.8,69,1272,4423,"High-rise",12047915,6124064,217.7,110.7,433
67685,27,0.4,2.9,79,1272,4423,"High-rise",9664594,5880144,142.8,86.9,433
72090,27,0.37,1.7,45,1272,4423,"Mid-rise",11223685,4511794,155.7,62.6,433
20972,30,1.43,1.9,58,802,5117,"Low-rise",3096141,986032,147.6,47,925.04
20330,32,1.57,1,32,34,3345,"Mid-rise",3008704,2082717,148,102.4,925.04
59244,32,0.54,1.6,52,1272,4423,"High-rise",8422252,5168747,142.2,87.2,433
53297,36,0.68,1.5,53,1272,4423,"High-rise",6119294,4576754,114.8,85.9,433
30976,36,1.16,2.1,76,256,4715,"Low-rise",3317459,1056516,107.1,34.1,925.04
25200,36,1.43,1.1,40,725,5140,"Low-rise",3413518,1087108,135.5,43.1,433
30231,36,1.19,2.3,82,30,5269,"Low-rise",3021097,962133,99.9,31.8,925.04
60115,38,0.63,1.9,72,1272,4423,"High-rise",5894903,4092624,98.1,68.1,433
