"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",98,7,7,0.519,0.487,3225.436,56.793,43.441,0.242,51.91,17.73,30.992,79.723
"MLR","SOURCE_ENERGY",1,"meanCent",98,8,8,0.895,0.887,180370805966302,13430219.878,9080424.454,0.383,27.788,9.234,33.515,35.98
"MLRi2","SOURCE_EUI",2,"meanCent",98,22,22,0.62,0.515,3037.103,55.11,40.682,0.229,50.371,17.205,30.073,77.36
"MLRi3","SOURCE_EUI",3,"meanCent",98,42,42,0.797,0.648,2346.616,48.442,34.816,0.2,44.277,15.123,26.435,68
"MLRi4","SOURCE_EUI",4,"meanCent",98,57,57,0.874,0.703,2006.153,44.79,30.259,0.177,40.939,13.983,24.442,62.873
"MLRi5","SOURCE_EUI",5,"meanCent",98,63,63,0.895,0.708,1702.391,41.26,28.187,0.165,37.712,12.881,22.515,57.918
"MLRi6","SOURCE_EUI",6,"meanCent",98,64,64,0.895,0.699,1698.416,41.212,28.204,0.165,37.668,12.866,22.489,57.851
"MLRi2","SOURCE_ENERGY",2,"meanCent",98,29,29,0.953,0.934,129311538675495,11371523.147,7485864.471,0.237,23.528,7.819,28.378,30.465
"MLRi3","SOURCE_ENERGY",3,"meanCent",98,64,64,0.977,0.934,50391821808353.4,7098719.73,4217495.354,0.149,14.688,4.881,17.715,19.018
"MLRi4","SOURCE_ENERGY",4,"meanCent",98,98,99,1,NA,0,0,0,0,0,0,0,0
"MLRi5","SOURCE_ENERGY",5,"meanCent",98,98,120,1,NA,0,0,0,0,0,0,0,0
"MLRi6","SOURCE_ENERGY",6,"meanCent",98,98,127,1,NA,0,0,0,0,0,0,0,0
"MLRi7","SOURCE_ENERGY",7,"meanCent",98,98,128,1,NA,0,0,0,0,0,0,0,0
