"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",249,5,5,0.161,0.147,1924.033,43.864,32.496,0.685,76.605,19.282,61.754,92.264
"MLR","SOURCE_ENERGY",1,"meanCent",249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,110.9,7.303,95.402,55.241
"MLR","SOURCE_EUI",2,"meanCent",249,11,11,0.185,0.151,1895.424,43.536,32.343,0.676,76.032,19.138,61.292,91.574
"MLR","SOURCE_EUI",3,"meanCent",249,15,15,0.208,0.161,1847.425,42.982,31.872,0.665,75.065,18.894,60.512,90.408
"MLR","SOURCE_EUI",4,"meanCent",249,16,16,0.208,0.157,1846.693,42.973,31.871,0.665,75.049,18.89,60.5,90.389
"MLR","SOURCE_ENERGY",2,"meanCent",249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691,102.031,6.719,87.772,50.823
"MLR","SOURCE_ENERGY",3,"meanCent",249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672,99.557,6.556,85.644,49.591
"MLR","SOURCE_ENERGY",4,"meanCent",249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653,98.599,6.493,84.82,49.114
"MLR","SOURCE_ENERGY",5,"meanCent",249,32,32,0.822,0.796,1523798839398.19,1234422.472,558680.343,0.656,98.672,6.498,84.883,49.151
"XGBd1","SOURCE_EUI",1,"None",249,4,4,0.35,0.342,1444.194,38.003,28.17,0.562,66.369,16.705,53.503,79.936
"XGBd2","SOURCE_EUI",2,"None",249,4,4,0.84,0.838,500.775,22.378,15.554,0.309,39.081,9.837,31.505,47.07
"XGBd3","SOURCE_EUI",3,"None",249,4,4,0.977,0.977,142.934,11.956,6.848,0.133,20.88,5.256,16.832,25.148
"XGBg1","SOURCE_EUI",1,"None",249,4,4,0.243,0.234,1629.145,40.363,29.724,0.597,70.491,17.743,56.825,84.9
"XGBg2","SOURCE_EUI",2,"None",249,4,4,0.307,0.298,1410.061,37.551,27.784,0.574,65.58,16.507,52.866,78.985
"XGBg3","SOURCE_EUI",3,"None",249,4,4,0.382,0.374,1219.743,34.925,25.852,0.522,60.994,15.352,49.169,73.461
"XGBa1","SOURCE_EUI",1,"None",249,4,4,1,1,0.002,0.046,0.016,0,0.08,0.02,0.065,0.097
"XGBa2","SOURCE_EUI",2,"None",249,4,4,0.675,0.671,828.765,28.788,21.175,0.416,50.276,12.655,40.529,60.553
"XGBa3","SOURCE_EUI",3,"None",249,4,4,1,1,0.005,0.074,0.043,0.001,0.129,0.033,0.104,0.156
"XGBr1","SOURCE_EUI",1,"None",249,4,4,1,1,0.003,0.054,0.031,0.001,0.094,0.024,0.076,0.114
"XGBr2","SOURCE_EUI",2,"None",249,4,4,0.426,0.419,995.262,31.548,24.236,0.48,55.096,13.868,44.415,66.358
"XGBr3","SOURCE_EUI",3,"None",249,4,4,1,1,0,0.016,0.009,0,0.028,0.007,0.023,0.034
"XGBd1","SOURCE_ENERGY",1,"None",249,5,5,0.838,0.836,1264514431700.62,1124506.306,506736.396,0.636,89.886,5.919,77.325,44.774
"XGBd2","SOURCE_ENERGY",2,"None",249,5,5,0.978,0.978,189801899772.023,435662.599,234114.616,0.372,34.824,2.293,29.958,17.347
"XGBd3","SOURCE_ENERGY",3,"None",249,5,5,0.996,0.996,84848397994.563,291287.483,105489.107,0.181,23.284,1.533,20.03,11.598
"XGBg1","SOURCE_ENERGY",1,"None",249,4,4,0.745,0.742,1680821862308.92,1296465.141,601110.428,0.949,103.632,6.824,89.15,51.621
"XGBg2","SOURCE_ENERGY",2,"None",249,5,5,0.834,0.832,955682980083.481,977590.395,515241.247,0.812,78.143,5.146,67.223,38.924
"XGBg3","SOURCE_ENERGY",3,"None",249,5,5,0.923,0.921,509947705891.27,714106.229,394413.421,0.669,57.081,3.759,49.105,28.433
"XGBa1","SOURCE_ENERGY",1,"None",249,5,5,1,1,2.641,1.625,0.467,0,0,0,0,0
"XGBa2","SOURCE_ENERGY",2,"None",249,5,5,1,1,158025111.147,12570.804,3100.906,0.007,1.005,0.066,0.864,0.501
"XGBa3","SOURCE_ENERGY",3,"None",249,5,5,0.874,0.872,870727625476.104,933127.872,478319.847,0.749,74.589,4.912,64.165,37.154
"XGBr1","SOURCE_ENERGY",1,"None",249,5,5,0.998,0.998,13790083413.606,117431.186,66861.354,0.128,9.387,0.618,8.075,4.676
"XGBr2","SOURCE_ENERGY",2,"None",249,5,5,0.961,0.961,203018834385.12,450576.114,295684.144,0.558,36.016,2.372,30.983,17.94
"XGBr3","SOURCE_ENERGY",3,"None",249,5,5,0.996,0.996,34112621830.408,184696.025,111201.288,0.237,14.764,0.972,12.7,7.354
