parcelId,BuildinDescription,ENERGYSTARScore,SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode,SiteEnergyUseLog
0001800021,APTS & SHOPS,,2213115.5,184.8000031,28260,AVERAGE,MASONRY,48,104,,HOT WATER,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,2,830,HOT WATER,14.609911809266373
0001800033,WHSE/OFFICE,,2042771,118.5999985,44700,AVERAGE,MASONRY,39,56,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS,14.529817777453566
0001800113,WAREHOUSE,97,1809101.5,20.799999239999998,128800,AVERAGE,MASONRY,33,41,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,14.408340871150571
0001800159,SHOP/OFF,13,1224186.25,112.4000015,27800,AVERAGE,MASONRY,43,53,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS,14.017786895511163
0003600052,DISCOUNT STORE/OFFICE,80,11688601,113.1999969,291940,AVERAGE,MASONRY,33,38,,WARMED AND COOLED AIR,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,2,319,WARMED AND COOLED AIR,16.274124651350792
0007400015,WHSE/OFF,42,4383100.5,109,88400,AVERAGE,MASONRY,39,48,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,15.293266908638412
0007600129,Mixed Use - Apts/Retail/Office,,560334.5,77,37849,AVERAGE,WOOD FRAME,8,13,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,4,459,ELECTRIC,13.236289205814467
0007600192,OFFICE BLDG,69,1950713.25,132.8000031,38460,AVERAGE,MASONRY,29,108,Yes,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HOT WATER,14.483705632893441
0053000005,Mixed Use,78,6310254,101.5999985,286408,GOOD,WOOD FRAME,7,15,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,11,300,ELECTRIC,15.657686487273011
0072000090,Apartment-27 UNITS,26,784329.5,94.69999695,28200,AVERAGE,WOOD FRAME,4,5,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC,13.57258449165163
0091000085,CHURCH,54,945245.625,60.90000153,21022,GOOD,MASONRY,38,96,,STEAM,1,CHURCH (309),Rect or Slight Irreg,Yes,2,309,STEAM,13.759200093337284
0148000620,CHURCH,94,608359.6875,43.29999924,22128,AVERAGE,WOOD FRAME,43,92,Yes,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,No,2,309,HOT WATER,13.31852157731006
0164000005,DISCOUNT STORE (OFFICE DEPOT/CARPET LIQ),98,859236.625,47,48139,AVERAGE,MASONRY,50,50,,SPACE HEATERS,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,SPACE HEATERS,13.663799628690436
0164000035,LINDEN SQUARE,96,4555219.5,83.5,214388,GOOD,WOOD FRAME,10,25,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,5,300,ELECTRIC WALL,15.331784276318665
0164000120,"WAREHOUSE, DISTRIBUTION",96,930611.875,19.799999239999998,52311,AVERAGE,MASONRY,33,58,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,13.743597578895839
0194001030,CHURCH/TILDEN SCHOOL,86,965651.125,63.29999924,21364,AVERAGE,MASONRY,43,69,,STEAM,1,CHURCH (309),Rect or Slight Irreg,No,2,309,STEAM,13.780557893718449
0209000030,Office Building,,3085814,135.1999969,141131,GOOD/EXCELLENT,REINFORCED CONCRETE,9,9,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,5,344,COMPLETE HVAC,14.942326037891782
0209000050,Office Building,60,5803409,176.1000061,176532,GOOD,REINFORCED CONCRETE,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,COMPLETE HVAC,15.573956061474892
0209000075,CAROLINA COURT,98,1638562.75,56.40000153,56652,AVERAGE,WOOD FRAME,23,102,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,14.309330043610757
0225049063,Bldg H,35,1075019.375,105.6999969,31928,AVERAGE,WOOD FRAME,6,5,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,2,352,ELECTRIC,13.887849242637298
0225049067,Apartment Building B,86,841915.875,82.80000305,31930,AVERAGE,WOOD FRAME,6,7,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,352,ELECTRIC,13.64343537730667
0225049067,Apartment Building B,81,790039.8125,83.40000153,29646,AVERAGE,WOOD FRAME,6,7,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,352,ELECTRIC,13.579838618743011
0242200000,20 UNIT CONDO,67,556700.6875,89.5,20296,AVERAGE,WOOD FRAME,23,53,No,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,,3,352,ELECTRIC,13.229783009126827
0299900000,27 UNIT APTS,85,687953.6875,67.09999847,40948,AVERAGE/GOOD,WOOD FRAME,18,40,No,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,4,352,ELECTRIC,13.441476799969513
0323049025,WAREHOUSE,49,2143650.75,72.69999695,48001,AVERAGE,MASONRY,50,51,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,14.578020891448537
0323049146,WAREHOUSE,,509124,60.5,26380,AVERAGE,MASONRY,33,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS,13.140446880794599
0323049194,WHSE,47,3004271,68.90000153,123000,AVERAGE,MASONRY,9,52,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,406,SPACE HEATERS,14.915545500846477
0323049202,Industrial Warehouse,10,2559461.75,136.8999939,37351,AVERAGE,MASONRY,49,49,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS,14.755307540443043
0323049219,,73,345866.6875,35.79999924,30375,AVERAGE,MASONRY,37,37,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,12.753808683551418
0323049221,WAREHOUSE & OFFICE,90,1052244.75,39.70000076,60448,AVERAGE,MASONRY,36,40,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS,13.866436297311745
0323049241,WAREHOUSE,,369291.5,39.70000076,30004,AVERAGE,MASONRY,28,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS,12.819341584058034
0324000505,20 UNIT APT / IN BLDG PKG / OFFICE,72,596155.625,85.09999847,32235,AVERAGE/GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL,13.29825702773451
