"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"0659000030","NonResidential","Hotel","Hotel",1927,1,12,182.5,88434,"60",7226362.5,"AVERAGE","REINFORCED CONCRETE","Yes","STEAM WITHOUT BOILER","Approx Square","Yes"
"0659000220","NonResidential","Hotel","Hotel",1996,1,11,176.1000061,103566,"61",8387933,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0659000475","NonResidential","Hotel","Hotel",1969,1,41,241.8999939,956110,"43",72587024,"GOOD/EXCELLENT","STRUCTURAL STEEL","Yes","REFRIGERATED COOLING","Rect or Slight Irreg","Yes"
"0659000640","NonResidential","Hotel","Hotel",1926,1,10,216.1999969,61320,"56",6794584,"AVERAGE/GOOD","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Approx Square","Yes"
"0659000970","NonResidential","Hotel","Hotel",1980,1,18,211.3999939,175580,"75",14172606,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0660000560","Nonresidential COS","Other","Police Station",1999,1,2,316.2999878,97288,NA,12086616,"GOOD","MASONRY","Yes","PACKAGE UNIT","Long Rect or Irreg","Yes"
"0660000825","NonResidential","Hotel","Hotel",1926,1,11,146.6000061,83008,"27",5758795,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Approx Square","Yes"
"0660000955","NonResidential","Other","Other - Entertainment/Public Assembly",1926,1,8,141.6999969,102761,NA,6298131.5,"AVERAGE","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","No"
"0939000080","NonResidential","Hotel","Hotel",1904,1,15,180.8999939,163984,"43",13723820,"AVERAGE","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0939000105","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",1910,1,6,182.6999969,63712,"1",4573777,"AVERAGE","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"0942000145","NonResidential","Hotel","Hotel",1969,1,11,228.1999969,153163,"30",16016644,"GOOD/EXCELLENT","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0942000165","NonResidential","Hotel","Hotel",1998,1,25,199,333176,"36",26941110,"GOOD/EXCELLENT","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0942000210","NonResidential","Hotel","Hotel",1928,1,9,153.6000061,65009,"48",6596057.5,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","STEAM WITHOUT BOILER","Approx Square","Yes"
"0942000235","NonResidential","Hotel","Hotel",1980,1,33,179.8999939,315952,"58",22325364,"GOOD/EXCELLENT","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Approx Square","Yes"
"0942000265","NonResidential","Hotel","Hotel",1922,1,11,297.3999939,92190,"35",10750010,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","STEAM","Approx Square","Yes"
"0942000275","Nonresidential COS","Other","Library",2004,1,11,155.6000061,412000,NA,18588860,"EXCELLENT","STRUCTURAL STEEL","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0942000350","NonResidential","Other","Fitness Center/Health Club/Gym",1930,1,6,157.3999939,103911,NA,9956396,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","HOT WATER","Long Rect or Irreg","Yes"
"0942000430","NonResidential","Hotel","Hotel",1983,1,28,228.5,416281,"31",33556756,"GOOD","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0942000510","NonResidential","Mixed Use Property","Social/Meeting Hall",1907,1,5,280.7000122,57452,NA,7606084.5,"AVERAGE","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"0942000610","NonResidential","Hotel","Hotel",1916,1,10,225.5,104352,"39",10154608,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"0942000860","NonResidential","Other","Courthouse",1916,1,10,182.6999969,540360,"76",44984468,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"0942001010","NonResidential","Other","Other",1985,1,19,229.5,385274,NA,47859812,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1102000138","SPS-District K-12","K-12 School","K-12 School",1961,1,2,60.70000076,56228,"95",1539478.5,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"1142000755","NonResidential","Hotel","Hotel",2001,1,6,148,88592,"84",3663534.5,"GOOD","REINFORCED CONCRETE","Yes","EVAPORATIVE COOLING","Very Irreg","Yes"
"0660001420","NonResidential","University","College/University",1928,1,7,173,126593,NA,11343686,"AVERAGE","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"0660001725","NonResidential","Other","Automobile Dealership",1930,1,2,61.20000076,67224,NA,1310236.625,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0660001832","NonResidential","Hotel","Hotel",1991,1,8,58,158676,NA,5328051.5,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Long Rect or Irreg","Yes"
"0660002680","NonResidential","Hotel","Hotel",2001,1,10,181.1000061,171866,"57",11061916,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0697000170","NonResidential","Hotel","Hotel",1978,1,5,199.6999969,68410,"57",4456714.5,"AVERAGE","WOOD FRAME","Yes","ELECTRIC WALL","Rect or Slight Irreg","Yes"
"0752000170","SPS-District K-12","K-12 School","K-12 School",1949,1,2,68.09999847,160645,"75",6779173,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"0825049008","NonResidential","Small- and Mid-Sized Office","Office",1906,1,3,106.5,87262,NA,4145920.5,NA,NA,NA,NA,NA,NA
"0925049117","NonResidential","Hotel","Hotel",1994,1,4,162.5,81871,"29",6668568.5,"AVERAGE","WOOD FRAME","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0925049330","NonResidential","Self-Storage Facility","Self-Storage Facility",1955,1,2,35.20000076,110356,NA,318364.8125,"AVERAGE","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0022000005","Campus","Mixed Use Property","Office",1992,1,3,388.2000122,494835,"8",448385312,"AVERAGE","PREFAB STEEL","Yes","HOT & CHILLED WATER","Rect or Slight Irreg","Yes"
"0323049024","NonResidential","Warehouse","Non-Refrigerated Warehouse",1961,3,2,145.8999939,714095,NA,44731160,"LOW/AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0369000400","SPS-District K-12","K-12 School","K-12 School",1990,1,2,77.80000305,54986,"97",1650279.25,"AVERAGE/GOOD","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
