"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"1102000138","SPS-District K-12","K-12 School","K-12 School",1961,1,2,60.70000076,56228,"95",1539478.5,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"0752000170","SPS-District K-12","K-12 School","K-12 School",1949,1,2,68.09999847,160645,"75",6779173,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"0369000400","SPS-District K-12","K-12 School","K-12 School",1990,1,2,77.80000305,54986,"97",1650279.25,"AVERAGE/GOOD","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0425049022","SPS-District K-12","K-12 School","K-12 School",1950,1,2,55,175565,"88",6399127.5,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"0625049002","NonResidential","K-12 School","K-12 School",1954,1,3,74,175015,"95",6994740.5,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"2125049015","NonResidential","K-12 School","K-12 School",1911,1,3,81.09999847,56072,"76",3234787.75,"GOOD","MASONRY","Yes","HOT WATER","Very Irreg","Yes"
"1336800825","NonResidential","K-12 School","K-12 School",1923,1,3,82.30000305,67743,"34",2646879,"AVERAGE/GOOD","STRUCTURAL STEEL",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"1338800660","NonResidential","K-12 School","K-12 School",1908,1,6,54,194104,"100",6219841.5,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1624049214","SPS-District K-12","K-12 School","K-12 School",1957,1,1,85.59999847,130862,"61",6456026,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Very Irreg","Yes"
"1704900242","SPS-District K-12","K-12 School","K-12 School",1989,1,3,78.69999695,59955,"93",1633399.375,"GOOD","STRUCTURAL STEEL",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"1794501220","SPS-District K-12","K-12 School","K-12 School",1964,1,2,65.90000153,93218,"86",2887392,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1926049025","SPS-District K-12","K-12 School","K-12 School",1963,1,2,59.09999847,131013,"88",3894584.5,"GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1926049321","SPS-District K-12","K-12 School","K-12 School",1959,1,1,83.69999695,245587,"92",11765682,"GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"2768000375","SPS-District K-12","K-12 School","K-12 School",1991,1,2,80.40000153,55513,"93",1513570.75,"GOOD","MASONRY",NA,"HOT & CHILLED WATER","Rect or Slight Irreg","Yes"
"5700000455","SPS-District K-12","K-12 School","K-12 School",1990,1,4,78.5,289588,"90",8819852,"GOOD","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"6840701230","SPS-District K-12","K-12 School","K-12 School",2008,1,3,120.3000031,254523,"60",13567774,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"7129302300","SPS-District K-12","K-12 School","K-12 School",2001,1,3,76.90000153,78804,"92",2499140,"EXCELLENT","REINFORCED CONCRETE",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"7152200350","SPS-District K-12","K-12 School","K-12 School",2002,1,3,94.09999847,66994,"79",2371304.5,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"7243500230","SPS-District K-12","K-12 School","K-12 School",2000,1,3,77.80000305,98357,"88",3456131.5,"GOOD","MASONRY",NA,"FORCED AIR UNIT","Very Irreg","Yes"
"2826049152","SPS-District K-12","K-12 School","K-12 School",2011,1,2,78.69999695,236758,"96",8355988.5,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"2919200635","SPS-District K-12","K-12 School","K-12 School",2002,1,3,70.59999847,62526,"96",1986094.875,"GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","No"
"3050700050","SPS-District K-12","K-12 School","K-12 School",1999,1,2,107.3000031,242795,"80",9157150,"GOOD","REINFORCED CONCRETE",NA,"COMPLETE HVAC","Long Rect or Irreg","Yes"
"3332501090","SPS-District K-12","K-12 School","K-12 School",1952,1,2,58.90000153,173185,"79",6127771.5,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"3438501230","SPS-District K-12","K-12 School","K-12 School",1963,1,1,69.5,145341,"75",5499097,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"3524049149","SPS-District K-12","K-12 School","K-12 School",1960,1,2,84.19999695,184125,"86",8800292,"GOOD/EXCELLENT","WOOD FRAME",NA,"STEAM","Rect or Slight Irreg",NA
"3624039032","SPS-District K-12","K-12 School","K-12 School",2010,1,2,81.59999847,367884,"97",12265516,"AVERAGE/GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"3624039057","SPS-District K-12","K-12 School","K-12 School",1958,1,1,82.19999695,46797,"86",2075891,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"3812400550","SPS-District K-12","K-12 School","K-12 School",2004,1,2,78,67371,"92",2128459,"AVERAGE","WOOD FRAME",NA,"ELECTRIC WALL","Very Irreg","Yes"
"4083301505","SPS-District K-12","K-12 School","K-12 School",2010,1,3,100,127776,"75",4748137,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"4240400005","SPS-District K-12","K-12 School","K-12 School",1999,1,2,84.30000305,67235,"89",2284133.75,"AVERAGE/GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Long Rect or Irreg","Yes"
"4315700020","SPS-District K-12","K-12 School","K-12 School",1991,1,3,66.09999847,58118,"97",1407277.25,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"5129000050","SPS-District K-12","K-12 School","K-12 School",1925,1,1,68,70762,"87",3606416,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"7821200700","SPS-District K-12","K-12 School","K-12 School",1997,1,4,60.79999924,241066,"79",7791957,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"7972603210","SPS-District K-12","K-12 School","K-12 School",1999,1,1,91.40000153,71714,"87",2371358,"GOOD","MASONRY",NA,"HOT WATER","Very Irreg","Yes"
"8702100050","SPS-District K-12","K-12 School","K-12 School",2002,1,2,90,208981,"80",8164853,"GOOD/EXCELLENT","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"8816400900","NonResidential","K-12 School","K-12 School",1928,1,2,26.29999924,55653,"98",1377627,"LOW COST","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"8826900005","SPS-District K-12","K-12 School","K-12 School",2006,1,3,96.80000305,269297,"80",10498344,"GOOD","MASONRY",NA,"HOT WATER","Very Irreg","Yes"
"8827900180","SPS-District K-12","K-12 School","K-12 School",2001,1,3,82.40000153,75174,"77",2733846,"AVERAGE","MASONRY",NA,"HOT & CHILLED WATER","Rect or Slight Irreg","Yes"
"9270200005","SPS-District K-12","K-12 School","K-12 School",2003,1,3,80.80000305,75214,"88",2334260,"GOOD/EXCELLENT","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"9278300005","SPS-District K-12","K-12 School","K-12 School",2005,1,3,74.59999847,134918,"91",3822102.5,"GOOD/EXCELLENT","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"9344400300","SPS-District K-12","K-12 School","K-12 School",1991,1,2,110.3000031,64414,"67",2295176.5,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"9528103775","SPS-District K-12","K-12 School","K-12 School",1927,1,3,74.40000153,92437,"78",4626443,"GOOD","REINFORCED CONCRETE",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"7549802085","SPS-District K-12","K-12 School","K-12 School",2007,1,3,88.09999847,204961,"94",8190809,"AVERAGE","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"9277200005","SPS-District K-12","K-12 School","K-12 School",1950,1,1,64.30000305,61183,"92",2424724.25,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"0439000615","SPS-District K-12","K-12 School","K-12 School",1955,1,1,79,46732,"87",2331952.75,"AVERAGE","MASONRY","Yes","HOT WATER","Rect or Slight Irreg","Yes"
"0148000064","SPS-District K-12","K-12 School","K-12 School",1954,1,2,70.90000153,51489,"93",1984067.625,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"0519000290","SPS-District K-12","K-12 School","K-12 School",1925,1,2,73.19999695,37327,"92",1967476.375,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"0625049048","SPS-District K-12","K-12 School","K-12 School",1930,1,2,86.59999847,47602,"78",2249592.5,"GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0811000005","SPS-District K-12","K-12 School","K-12 School",2001,1,1,27,35805,"100",431471.6875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"0660001310","NonResidential","K-12 School","K-12 School",1957,1,2,120.3000031,21600,"72",1261536.75,"AVERAGE","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0660001365","NonResidential","K-12 School","K-12 School",1995,1,3,127.9000015,22860,"43",931148.625,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1125049134","SPS-District K-12","K-12 School","K-12 School",1958,1,1,76.40000153,38624,"83",1424157.25,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1513800010","Campus","K-12 School","K-12 School",1989,5,3,144.8999939,21500,"44",6689184,"AVERAGE","WOOD FRAME",NA,"ELECTRIC WALL","Rect or Slight Irreg","No"
"1624049006","SPS-District K-12","K-12 School","K-12 School",1971,1,1,96.09999847,55206,"75",2345752.5,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
