"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",1086,33,33,0.102,0.074,1006.76
"2","C1",1,"Reg","SiteEnergyUse",1086,33,33,0.832,0.826,1545775754939.74
"3","C1a",1,"Reg-Lasso","SourceEUI",1086,2,2,0.003,-0.031,1120.74
"4","C1a",1,"Reg-Ridge","SourceEUI",1086,37,37,0.072,0.04,1118.989
"5","C1a",1,"Reg-ElasticNet","SourceEUI",1086,1,1,NA,NA,1120.74
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",1086,5,5,0.8,0.793,1928194956255.9
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",1086,37,37,0.818,0.811,1799395900913.91
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",1086,13,13,0.821,0.815,1662084589101.22
"9","C2",2,"Reg","SourceEUI",1086,232,400,0.287,-0.13,799.446
"10","C2",2,"Reg","SiteEnergyUse",1086,232,400,0.917,0.868,764017883282.091
"11","C2",3,"Reg","SourceEUI",1086,485,2450,0.472,1.42,591.542
"12","C2",3,"Reg","SiteEnergyUse",1086,485,2450,0.972,1.022,258373059941.984
"13","C3a",1,"rpart","SourceEUI",1086,8,8,0.106,0.099,1002.095
"14","C3a",1,"rpart","SiteEnergyUse",1086,8,8,0.781,0.779,2013698970433.11
