"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",375,31,31,0.182,0.108,8894.827
"2","C1",1,"Reg","SiteEnergyUse",375,31,31,0.767,0.746,18235799340349.4
"3","C1a",1,"Reg-Lasso","SourceEUI",375,1,1,NA,NA,10875.634
"4","C1a",1,"Reg-Ridge","SourceEUI",375,35,35,0.116,0.028,10839.717
"5","C1a",1,"Reg-ElasticNet","SourceEUI",375,2,2,0.046,-0.049,10875.634
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",375,3,3,0.732,0.705,25319850002120.9
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",375,35,35,0.732,0.706,23663640633237.7
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",375,3,3,0.735,0.709,23547860056764.7
"9","C2",2,"Reg","SourceEUI",375,166,354,0.645,-5.63,3855.789
"10","C2",2,"Reg","SiteEnergyUse",375,166,354,0.913,-0.618,6765496682041.01
"11","C2",3,"Reg","SourceEUI",375,288,2050,0.939,1.014,658.211
"12","C2",3,"Reg","SiteEnergyUse",375,288,2050,0.983,1.004,1364472287292.01
"13","C3a",1,"rpart","SourceEUI",375,8,8,0.238,0.222,8285.501
"14","C3a",1,"rpart","SiteEnergyUse",375,8,8,0.756,0.75,19107066406848.6
