"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"1983200230","NonResidential","Retail Store","Retail Store",1929,1,2,25.79999924,58320,"96",1049748.625,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2926049025","NonResidential","Retail Store","Retail Store",1951,1,1,118.9000015,530039,"98",27717034,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"2926049528","NonResidential","Retail Store","Retail Store",1965,1,4,223.6999969,124342,"76",8765978,"GOOD","REINFORCED CONCRETE",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"3624039009","NonResidential","Retail Store","Retail Store",1966,1,1,130.6999969,64984,"72",2944296.25,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"3624039009","NonResidential","Retail Store","Retail Store",1965,1,1,223.8999939,67745,"37",9230223,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"0659000070","NonResidential","Retail Store","Retail Store",1925,1,10,173.6999969,693450,"93",40062888,"GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1142000075","NonResidential","Retail Store","Retail Store",1978,1,2,204.8999939,89200,"83",6461937,"GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"0767000060","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1956,1,1,518.7999878,60880,"54",14293972,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"0003600052","NonResidential","Retail Store","Retail Store",1980,1,2,113.1999969,291940,"80",11688601,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1975700115","NonResidential","Retail Store","Retail Store",1914,1,4,252.1000061,79957,"25",5252131,"AVERAGE","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1977201320","NonResidential","Retail Store","Retail Store",1929,1,8,56,861702,NA,17666646,NA,NA,NA,NA,NA,NA
"2617650020","NonResidential","Retail Store","Retail Store",2005,1,1,358.6000061,158415,"25",22394416,"AVERAGE","STRUCTURAL STEEL",NA,"SPACE HEATERS","Long Rect or Irreg","Yes"
"1982202070","NonResidential","Retail Store","Retail Store",1999,1,1,276,164437,"62",18390344,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1453601660","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1995,1,2,310.2000122,308965,"78",14512786,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1824049003","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2008,1,1,323.8999939,63225,"100",6522551.5,"AVERAGE","MASONRY",NA,"COMPLETE HVAC","Long Rect or Irreg","Yes"
"1926049033","NonResidential","Retail Store","Retail Store",1997,1,1,234.5,131387,"72",8773058,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"1926049371","NonResidential","Retail Store","Retail Store",1967,1,1,302,114000,"79",17225444,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1926049424","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1997,1,1,454.2000122,50083,"78",8663691,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"2738100425","NonResidential","Retail Store","Retail Store",1966,1,1,43,50200,NA,1047461,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"5335200380","NonResidential","Retail Store","Retail Store",1987,1,2,14.30000019,69492,"100",318962.8125,"AVERAGE/GOOD","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"6431500015","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2003,1,1,620.2000122,58184,"41",14715262,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"6632300290","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1980,1,1,581.9000244,58480,"37",11054535,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"6849700205","NonResidential","Retail Store","Retail Store",1996,1,4,260,264008,"42",9937707,"AVERAGE","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Very Irreg","Yes"
"2926049272","NonResidential","Retail Store","Retail Store",1950,1,2,63.90000153,302812,"97",7290824.5,"GOOD","REINFORCED CONCRETE",NA,"HOT & CHILLED WATER","Rect or Slight Irreg","Yes"
"3226049481","NonResidential","Retail Store","Retail Store",1965,1,2,105,168619,"78",6455828.5,"AVERAGE","REINFORCED CONCRETE",NA,"HOT & CHILLED WATER","Rect or Slight Irreg","Yes"
"5087400030","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2002,1,1,578.7000122,61053,"32",13133225,"AVERAGE","MASONRY",NA,"HEAT PUMP","Long Rect or Irreg","Yes"
"7666207295","NonResidential","Retail Store","Retail Store",1993,1,1,189.5,107930,"57",7221482.5,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"7886100495","NonResidential","Retail Store","Retail Store",1973,1,1,93.30000305,56572,"66",2409429,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"7666201690","NonResidential","Retail Store","Retail Store",1978,1,1,127.3000031,50660,"51",2661488,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666202570","NonResidential","Retail Store","Other",1910,1,6,596.7999878,86204,"89",3241917,"GOOD","REINFORCED CONCRETE","Yes","STEAM WITHOUT BOILER","Rect or Slight Irreg","No"
"9231900160","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1970,1,1,266.6000061,141890,"91",16865978,"AVERAGE/GOOD","MASONRY","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1976700005","NonResidential","Retail Store","Retail Store",1929,1,4,300.6000061,78920,"80",8303666.5,"GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"1975700300","NonResidential","Retail Store","Retail Store",1940,1,3,159.6000061,83118,"59",2443141.5,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1975700485","NonResidential","Retail Store","Retail Store",1924,1,3,333,77555,"39",7802205.5,"GOOD","REINFORCED CONCRETE",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"3624039166","NonResidential","Retail Store","Retail Store",1992,1,1,181.6000061,102500,"81",7305474,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"5260300005","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1963,1,1,615.5999756,50785,"57",7439009,"AVERAGE","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","No"
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,149.1000061,93803,NA,5453438.5,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"3026049093","NonResidential","Retail Store","Retail Store",1995,1,1,180.8999939,101830,"60",10713006,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"2738100620","NonResidential","Retail Store","Retail Store",1958,1,1,169.3000031,74178,NA,5402181,"AVERAGE/GOOD","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3148650000","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1996,1,3,491.2000122,119190,"71",10077532,"AVERAGE/GOOD","MASONRY","Yes","HEAT PUMP","Approx Square","Yes"
"0524049003","NonResidential","Retail Store","Retail Store",1917,1,2,106.9000015,147545,"69",6787070,NA,NA,NA,NA,NA,NA
"0164000005","NonResidential","Retail Store","Retail Store",1968,1,1,47,48139,"98",859236.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0925049406","NonResidential","Retail Store","Retail Store",1996,1,1,125.4000015,25735,"82",1169394.875,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"0925049426","NonResidential","Retail Store","Retail Store",1956,1,2,371.6000061,25862,"20",4801472,NA,NA,NA,NA,NA,NA
"0925049426","NonResidential","Retail Store","Retail Store",2003,1,2,206.8000031,49965,"82",3377209.75,NA,NA,NA,NA,NA,NA
"0939000300","NonResidential","Retail Store","Retail Store",1906,1,2,83.5,46800,"86",1245187.5,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0656000130","NonResidential","Retail Store","Retail Store",1931,1,2,147,26270,"32",1560461.75,"AVERAGE","REINFORCED CONCRETE",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0695000125","NonResidential","Retail Store","Retail Store",1925,1,1,41.59999847,24825,NA,439521.0938,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,406.7000122,39265,NA,5238803,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,375.7000122,54284,"18",6778694,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,1,320.7999878,23409,"67",2545405,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1997,1,1,219.8999939,63153,NA,4644178,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"1142000160","NonResidential","Retail Store","Retail Store",1900,1,3,77.5,32960,"71",813641,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0952007370","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1946,1,2,232.3999939,25762,"100",1906384.875,"AVERAGE/GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","No"
"1327300008","NonResidential","Retail Store","Retail Store",1914,1,1,87.59999847,20000,"75",557863.6875,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1794500895","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1962,1,1,755.2000122,25159,"38",8905287,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1824049074","NonResidential","Retail Store","Retail Store",1953,1,1,6.400000095,39900,"100",145468.7969,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1977201070","NonResidential","Retail Store","Retail Store",1916,1,2,58,25920,"5",478690.0938,"AVERAGE","MASONRY","Yes","HOT WATER","Rect or Slight Irreg","No"
"1977201135","NonResidential","Retail Store","Retail Store",1919,1,2,74,25920,"93",1011667.5,"AVERAGE","MASONRY","Yes","FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"1972203060","NonResidential","Retail Store","Retail Store",1911,1,2,89.59999847,20516,"98",1021796.625,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1972203160","NonResidential","Retail Store","Retail Store",1906,1,3,123.5,27480,"88",1215156.25,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1926049423","NonResidential","Retail Store","Retail Store",1998,1,1,159.8000031,26115,"43",1689372.625,"GOOD","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","Yes"
"1977200735","NonResidential","Retail Store","Retail Store",1920,1,2,121.3000031,26400,"36",983595.875,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1974700170","NonResidential","Retail Store","Retail Store",1900,1,4,82.09999847,34680,"92",1169948.875,"AVERAGE","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"1975700155","NonResidential","Retail Store","Retail Store",1915,1,1,390.1000061,36504,"2",2100982.75,"AVERAGE","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1983200180","NonResidential","Retail Store","Retail Store",1964,1,2,112.1999969,45271,"57",2553763.5,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2107700260","NonResidential","Retail Store","Retail Store",1993,1,3,184.6999969,25194,NA,1878742.875,"AVERAGE","REINFORCED CONCRETE",NA,"HEAT PUMP","Rect or Slight Irreg","No"
