"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"0323049024","NonResidential","Warehouse","Non-Refrigerated Warehouse",1961,3,2,145.8999939,714095,NA,44731160,"LOW/AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3466800065","NonResidential","Warehouse","Non-Refrigerated Warehouse",1904,1,4,36,114297,"61",2100097.75,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"3573700006","NonResidential","Warehouse","Non-Refrigerated Warehouse",1937,1,1,42,234144,"87",6744317,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"4088803530","Nonresidential COS","Warehouse","Non-Refrigerated Warehouse",1926,1,2,25.10000038,50292,NA,430473.6875,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"7666205660","Nonresidential COS","Warehouse","Non-Refrigerated Warehouse",1965,1,2,175.3999939,58640,NA,3928695.25,"AVERAGE","REINFORCED CONCRETE",NA,"ELECTRIC WALL","Rect or Slight Irreg","No"
"8033700250","NonResidential","Warehouse","Non-Refrigerated Warehouse",1991,1,3,21.70000076,75397,"91",549181.375,"AVERAGE/GOOD","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"7666202725","NonResidential","Warehouse","Non-Refrigerated Warehouse",2008,1,4,58.40000153,203504,"72",3785282.5,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0001800113","NonResidential","Warehouse","Non-Refrigerated Warehouse",1977,1,1,20.79999924,128800,"97",1809101.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0164000120","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,19.79999924,52311,"96",930611.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0467000050","NonResidential","Warehouse","Non-Refrigerated Warehouse",1973,1,1,191.8000031,52500,"2",3989399,"LOW/AVERAGE","PREFAB STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg",NA
"0467000420","NonResidential","Warehouse","Non-Refrigerated Warehouse",1959,1,2,151.1999969,57300,"55",4560492,"LOW/AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"2024049016","NonResidential","Warehouse","Non-Refrigerated Warehouse",2001,1,1,50.70000076,123061,"59",1987934.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2024049061","NonResidential","Warehouse","Non-Refrigerated Warehouse",1963,1,1,22.60000038,106000,"93",763364.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1984200035","NonResidential","Warehouse","Non-Refrigerated Warehouse",1914,1,5,64.40000153,127800,"56",2767491,"GOOD/EXCELLENT","MASONRY","Yes","HOT WATER","Rect or Slight Irreg","Yes"
"1324039093","NonResidential","Warehouse","Non-Refrigerated Warehouse",1997,1,4,27.89999962,98475,"83",1090496.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1824049063","NonResidential","Warehouse","Non-Refrigerated Warehouse",1999,1,1,9,243044,"100",1396082.25,"GOOD","STRUCTURAL STEEL","Yes","VENTILATION","Very Irreg","Yes"
"1926049045","NonResidential","Warehouse","Non-Refrigerated Warehouse",1999,1,3,33.5,94400,"38",784364.5,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"2738100355","NonResidential","Warehouse","Non-Refrigerated Warehouse",1967,1,2,46.20000076,90000,"87",1429146.375,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2767702765","NonResidential","Warehouse","Non-Refrigerated Warehouse",1941,1,2,6.599999905,63240,"100",227566.7031,"AVERAGE","WOOD FRAME",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2770605769","NonResidential","Warehouse","Non-Refrigerated Warehouse",1997,1,4,25.70000076,106041,"94",1123943,"AVERAGE/GOOD","STRUCTURAL STEEL","Yes","SPACE HEATERS","Rect or Slight Irreg","Yes"
"5367201155","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,55.40000153,22780,"33",402051.3125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"5367204745","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,56.5,85400,"49",1536998.25,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"5367204745","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,29.29999924,55700,"63",519806.0938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"5687500005","NonResidential","Warehouse","Non-Refrigerated Warehouse",1986,1,3,13,64660,"89",325513,"GOOD","MASONRY","Yes","SPACE HEATERS","Rect or Slight Irreg","No"
"6172900230","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1953,1,1,525.5,104099,NA,17695420,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7376600510","NonResidential","Warehouse","Non-Refrigerated Warehouse",1991,1,2,48.90000153,323916,"92",8024064.5,"AVERAGE/GOOD","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3024049159","NonResidential","Warehouse","Non-Refrigerated Warehouse",1968,1,1,36.09999847,140520,"61",2225512,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3126049011","NonResidential","Warehouse","Non-Refrigerated Warehouse",1948,1,2,31.89999962,53472,NA,971155.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3224049045","NonResidential","Warehouse","Non-Refrigerated Warehouse",1980,1,1,73.90000153,50417,"14",1847401,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3573200005","NonResidential","Warehouse","Non-Refrigerated Warehouse",1969,1,2,23.60000038,104786,"93",1028376.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3957900060","NonResidential","Warehouse","Non-Refrigerated Warehouse",1957,1,1,77.90000153,50832,"63",2551022.25,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3958900565","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1971,1,1,116.4000015,76354,"70",2843033.5,"AVERAGE","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","No"
"3958900851","NonResidential","Warehouse","Non-Refrigerated Warehouse",1956,1,1,81.19999695,98480,"65",2831565.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"5084400005","NonResidential","Warehouse","Non-Refrigerated Warehouse",1974,1,1,42.29999924,93020,"60",1252323.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204800","NonResidential","Warehouse","Non-Refrigerated Warehouse",1922,1,1,54.70000076,82852,"83",2153603.5,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"7666206285","NonResidential","Warehouse","Non-Refrigerated Warehouse",1954,1,1,28.29999924,78814,"69",861972.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666207175","NonResidential","Warehouse","Non-Refrigerated Warehouse",1926,1,7,63.29999924,144050,"26",3929371,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666207506","NonResidential","Warehouse","Non-Refrigerated Warehouse",1926,1,1,33.90000153,99084,"83",1618110.375,"LOW COST","REINFORCED CONCRETE","Yes","PACKAGE UNIT","Rect or Slight Irreg","Yes"
"7666202440","NonResidential","Warehouse","Non-Refrigerated Warehouse",1912,1,5,41.59999847,154330,"81",1262235.25,"GOOD","REINFORCED CONCRETE","Yes","FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"7666203240","Nonresidential COS","Warehouse","Non-Refrigerated Warehouse",1985,1,2,146.8999939,145158,"51",8384523,"AVERAGE","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"7666203467","NonResidential","Warehouse","Non-Refrigerated Warehouse",1951,1,4,26.79999924,149881,"97",2417401.25,"AVERAGE","MASONRY",NA,"STEAM","Rect or Slight Irreg","Yes"
"7666203530","NonResidential","Warehouse","Non-Refrigerated Warehouse",1951,1,3,146.3999939,98220,"12",6468090,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204430","NonResidential","Warehouse","Non-Refrigerated Warehouse",1931,1,2,145.1999969,61200,"16",4912143,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204495","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,61.79999924,73296,"83",2356376.75,"LOW/AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666207627","NonResidential","Warehouse","Non-Refrigerated Warehouse",1952,1,2,62.59999847,115668,NA,3534690.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2738100480","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,107.6999969,115620,"11",1951856.25,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2924049101","NonResidential","Warehouse","Non-Refrigerated Warehouse",1969,1,1,163.3000031,55450,"31",4345698,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1824049060","NonResidential","Warehouse","Non-Refrigerated Warehouse",1946,1,1,61,179413,"57",3459543,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666703967","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,11.10000038,170632,"98",602245,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"0323049194","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,2,68.90000153,123000,"47",3004271,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0323049221","NonResidential","Warehouse","Non-Refrigerated Warehouse",1978,1,1,39.70000076,60448,"90",1052244.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2516000215","NonResidential","Warehouse","Non-Refrigerated Warehouse",2004,1,4,38.59999847,87332,"87",1165598.875,"AVERAGE/GOOD","PREFAB STEEL","Yes","SPACE HEATERS","Very Irreg","Yes"
"6003500780","NonResidential","Warehouse","Non-Refrigerated Warehouse",1988,1,4,25.60000038,132828,"83",1083729.625,"AVERAGE","REINFORCED CONCRETE",NA,"NO HEAT","Rect or Slight Irreg","Yes"
"3024049003","NonResidential","Warehouse","Non-Refrigerated Warehouse",1970,1,1,502.7000122,70400,"1",13962749,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666705088","NonResidential","Warehouse","Non-Refrigerated Warehouse",1965,1,1,19.79999924,152365,"88",1069749.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"8902000245","NonResidential","Warehouse","Non-Refrigerated Warehouse",1987,1,4,20.29999924,80360,"96",686019.1875,"GOOD","MASONRY","Yes","SPACE HEATERS","Rect or Slight Irreg","No"
"0001800128","NonResidential","Warehouse","Non-Refrigerated Warehouse",1976,1,1,127.0999985,44100,"1",1618916.375,"AVERAGE","PREFAB STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0005000001","NonResidential","Warehouse","Non-Refrigerated Warehouse",2001,1,1,173.6999969,46340,"3",2564004,"AVERAGE","WOOD FRAME",NA,"NO HEAT","Rect or Slight Irreg","No"
