"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",144,27,28,0.189,-0.008,2863.227
"2","C1",1,"Reg","SiteEnergyUse",144,27,28,0.315,0.148,2184653560456.07
"3","C1a",1,"Reg-Lasso","SourceEUI",144,1,1,NA,NA,3532.639
"4","C1a",1,"Reg-Ridge","SourceEUI",144,31,31,0.134,-0.115,3524.545
"5","C1a",1,"Reg-ElasticNet","SourceEUI",144,2,2,0.03,-0.249,3532.639
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",144,2,2,0.172,-0.067,3189229676107.42
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",144,31,31,0.2,-0.031,3183855679224.08
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",144,2,2,0.195,-0.038,3189229676107.42
"9","C2",2,"Reg","SourceEUI",144,74,296,0.729,1.253,958.099
"10","C2",2,"Reg","SiteEnergyUse",144,74,296,0.833,1.156,532603208303.305
"11","C2",3,"Reg","SourceEUI",144,80,1614,0.784,1.021,762.399
"12","C2",3,"Reg","SiteEnergyUse",144,80,1614,0.847,1.015,489267530092.666
"13","C3a",1,"rpart","SourceEUI",144,8,8,0.166,0.116,2946.521
"14","C3a",1,"rpart","SiteEnergyUse",144,8,8,0.266,0.223,2339665028152.78
