"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"8823902255","NonResidential","Worship Facility","Worship Facility",1952,1,2,81,56772,"46",2439484.75,"AVERAGE","REINFORCED CONCRETE",NA,"HOT WATER","Rect or Slight Irreg","No"
"8823902325","NonResidential","Worship Facility","Worship Facility",1952,1,3,96.90000153,103000,"42",4854429.5,"AVERAGE","REINFORCED CONCRETE",NA,"HOT WATER","Rect or Slight Irreg","No"
"0431000005","NonResidential","Worship Facility","Worship Facility",1957,1,2,56.40000153,22220,"90",778355.8125,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"0091000085","NonResidential","Worship Facility","Worship Facility",1922,1,2,60.90000153,21022,"54",945245.625,"GOOD","MASONRY",NA,"STEAM","Rect or Slight Irreg","Yes"
"0461002400","NonResidential","Worship Facility","Worship Facility",1914,1,2,22.89999962,33589,"90",509836.1875,"AVERAGE/GOOD","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"0654000045","NonResidential","Worship Facility","Worship Facility",1948,1,2,80.80000305,20920,"15",1042108.5,"AVERAGE","REINFORCED CONCRETE",NA,"HOT WATER","Rect or Slight Irreg","No"
"0148000620","NonResidential","Worship Facility","Worship Facility",1926,1,2,43.29999924,22128,"94",608359.6875,"AVERAGE","WOOD FRAME","Yes","HOT WATER","Rect or Slight Irreg","No"
"0194001030","NonResidential","Worship Facility","Worship Facility",1949,1,2,63.29999924,21364,"86",965651.125,"AVERAGE","MASONRY",NA,"STEAM","Rect or Slight Irreg","No"
"0850000300","NonResidential","Worship Facility","Worship Facility",1928,1,2,50.20000076,45991,"77",1145535.75,"GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1257200735","NonResidential","Worship Facility","Worship Facility",1910,1,2,36.40000153,23931,"88",496477.3125,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1257203120","NonResidential","Worship Facility","Worship Facility",1948,1,2,67.5,21393,"57",845961.375,"GOOD","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1025049150","NonResidential","Worship Facility","Worship Facility",1972,1,1,61,26366,"88",888031.875,"AVERAGE/GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1102000351","NonResidential","Worship Facility","Worship Facility",1965,1,2,87.69999695,21732,"2",860364.1875,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1142001145","NonResidential","Worship Facility","Worship Facility",1926,1,2,107.1999969,47992,"17",3040195.5,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1513800009","NonResidential","Worship Facility","Worship Facility",2000,1,2,89,31386,"52",1128179.125,"GOOD","WOOD FRAME",NA,"PACKAGE UNIT","Rect or Slight Irreg","Yes"
"0952005960","NonResidential","Worship Facility","Worship Facility",1923,1,2,76.30000305,37816,"60",1411305.5,"AVERAGE","WOOD FRAME",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1370802570","NonResidential","Worship Facility","Worship Facility",1947,1,2,48.5,22612,"87",731321.8125,"GOOD","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"1731801135","NonResidential","Worship Facility","Worship Facility",1963,1,2,61,24227,"55",1086678.125,"AVERAGE/GOOD","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1868903240","NonResidential","Worship Facility","Worship Facility",1930,1,2,54.5,25521,"82",605186.3125,"GOOD","MASONRY",NA,"STEAM","Rect or Slight Irreg","Yes"
"1686400005","NonResidential","Worship Facility","Worship Facility",1954,1,2,71.40000153,27876,"69",1829981.375,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"1972204965","NonResidential","Worship Facility","Worship Facility",1949,1,3,40,62000,"81",1799664.125,"AVERAGE/GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1928300405","NonResidential","Worship Facility","Worship Facility",1949,1,1,63.79999924,26033,"78",1149140.25,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"1989200520","NonResidential","Worship Facility","Worship Facility",1955,1,5,177.6000061,31945,"4",1806468,"AVERAGE","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1975700006","NonResidential","Worship Facility","Worship Facility",1968,1,3,107.5999985,75058,"24",5587347,"EXCELLENT","MASONRY",NA,"STEAM","Rect or Slight Irreg","Yes"
"1979200090","NonResidential","Worship Facility","Worship Facility",1962,1,3,87.69999695,37796,"55",2465983.5,"AVERAGE","STRUCTURAL STEEL",NA,"ELECTRIC WALL","Rect or Slight Irreg","Yes"
"1985200090","NonResidential","Worship Facility","Worship Facility",2009,1,3,69.69999695,23241,"66",739210.5,"GOOD","STRUCTURAL STEEL","Yes","COMPLETE HVAC","Very Irreg","Yes"
"1991201375","NonResidential","Worship Facility","Worship Facility",1960,1,1,66.80000305,27338,"56",581289,"AVERAGE","REINFORCED CONCRETE",NA,"FORCED AIR UNIT","Rect or Slight Irreg",NA
"2124049098","NonResidential","Worship Facility","Worship Facility",1977,1,99,46.59999847,21948,"80",326001.1875,"GOOD","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"2197600015","NonResidential","Worship Facility","Worship Facility",1922,1,2,36.40000153,22688,"87",331675,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"2464400730","NonResidential","Worship Facility","Worship Facility",1908,1,3,71,45680,"79",2077039.375,"AVERAGE","MASONRY",NA,"STEAM","Rect or Slight Irreg","No"
"2492200485","NonResidential","Worship Facility","Worship Facility",1957,1,1,49.90000153,23562,"96",531737.1875,NA,NA,NA,NA,NA,NA
"2426039065","NonResidential","Worship Facility","Worship Facility",1962,1,1,36.40000153,22047,"100",265774.9063,"AVERAGE/GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
